Stat Name,Value
horse_one_cm,35985605
aviate_one_cm,17111855
fly_one_cm,13784965
sprint_one_cm,13476352
walk_one_cm,9167437
play_time,7471789
total_world_time,7471789
fall_one_cm,1886494
boat_one_cm,1119629
crouch_one_cm,638555
time_since_death,483501
walk_under_water_one_cm,472862
walk_on_water_one_cm,351114
climb_one_cm,252937
swim_one_cm,228462
sneak_time,193725
damage_dealt,182370
pig_one_cm,70487
jump,66383
time_since_rest,40598
damage_taken,30533
mob_kills,7254
drop,1936
open_barrel,1929
open_chest,1859
open_shulker_box,1727
damage_blocked_by_shield,1275
minecart_one_cm,1044
traded_with_villager,832
open_enderchest,481
animals_bred,361
interact_with_crafting_table,333
sleep_in_bed,260
enchant_item,218
interact_with_grindstone,203
talked_to_villager,165
leave_game,149
interact_with_stonecutter,114
damage_dealt_resisted,107
interact_with_furnace,98
interact_with_blast_furnace,90
interact_with_smoker,87
interact_with_anvil,79
damage_resisted,43
damage_absorbed,40
fish_caught,37
inspect_hopper,32
interact_with_brewingstand,22
inspect_dispenser,15
deaths,9
bell_ring,5
play_record,4
tune_noteblock,2
trigger_trapped_chest,2
inspect_dropper,1
interact_with_beacon,1
player_kills,1
fill_cauldron,1
