Stat Name,Value
bone,5818
arrow,5596
stone,871
deepslate,523
azalea_leaves,499
bow,405
brown_mushroom,401
quartz_block,384
wheat_seeds,368
oak_leaves,282
granite,238
cobbled_deepslate,193
ender_pearl,193
diamond,166
iron_block,164
flowering_azalea_leaves,160
andesite,133
sugar_cane,131
coal,119
moss_block,107
cooked_beef,100
gravel,93
firework_rocket,87
oak_log,84
stick,75
iron_ingot,70
poppy,68
dripstone_block,64
chiseled_tuff,63
oak_sapling,47
golden_boots,39
polished_deepslate,37
cobblestone,35
lapis_lazuli,33
chorus_fruit,33
bone_block,33
beehive,33
golden_leggings,33
exposed_copper_bulb,32
grass_block,32
leather_leggings,31
quartz,31
sweet_berries,29
leather,28
golden_helmet,28
oak_trapdoor,28
raw_gold,28
oak_planks,27
leather_boots,27
pink_petals,27
birch_log,26
rotten_flesh,25
raw_iron,25
bone_meal,24
baked_potato,24
dirt,23
red_tulip,23
cod,23
cooked_mutton,22
golden_chestplate,21
cooked_salmon,19
player_head,19
deepslate_diamond_ore,18
netherrack,18
leather_helmet,17
apple,17
string,17
diamond_pickaxe,17
barrel,17
yellow_wool,17
leather_chestplate,17
snow,17
mutton,16
snowball,16
carrot,16
vine,15
blue_concrete_powder,14
moss_carpet,13
dark_oak_log,13
gunpowder,13
acacia_leaves,13
goat_horn,12
pointed_dripstone,12
tropical_fish,12
glow_ink_sac,11
iron_helmet,11
diorite,11
coarse_dirt,11
egg,10
birch_leaves,10
chainmail_helmet,10
chainmail_leggings,10
tuff,10
chainmail_chestplate,9
iron_ore,9
salmon,8
snow_block,8
clay_ball,8
azalea,8
obsidian,7
diamond_sword,7
stone_bricks,7
iron_leggings,7
feather,6
pufferfish,6
iron_boots,6
chainmail_boots,6
glow_berries,5
fishing_rod,5
amethyst_shard,5
iron_sword,4
iron_pickaxe,4
wheat,4
birch_sapling,4
deepslate_tile_slab,4
ink_sac,4
honeycomb,4
spruce_leaves,4
oak_slab,4
spruce_log,4
glass_bottle,3
warped_roots,3
rooted_dirt,3
elytra,3
white_wool,3
cooked_chicken,3
beef,3
enchanted_book,3
prismarine_crystals,3
oak_fence,3
yellow_carpet,3
chicken,3
diamond_axe,3
beetroot_seeds,3
bread,3
flint_and_steel,3
magma_cream,3
crafting_table,2
yellow_dye,2
netherite_boots,2
brick_stairs,2
spruce_slab,2
netherite_helmet,2
oxeye_daisy,2
potion,2
iron_shovel,2
spruce_sapling,2
bowl,2
peony,2
dark_oak_sapling,2
diamond_shovel,2
stone_brick_wall,2
diamond_leggings,2
iron_axe,2
raw_copper,2
shulker_box,2
netherite_leggings,2
shield,2
stripped_mangrove_wood,1
black_bed,1
stone_button,1
gold_nugget,1
wooden_sword,1
phantom_membrane,1
sand,1
diorite_slab,1
stone_axe,1
pink_dye,1
netherite_shovel,1
ghast_tear,1
mangrove_leaves,1
dark_prismarine_slab,1
coal_block,1
jungle_slab,1
wooden_axe,1
diamond_helmet,1
white_banner,1
lily_pad,1
gray_carpet,1
bricks,1
stone_sword,1
polished_tuff_slab,1
stone_slab,1
shears,1
blast_furnace,1
light_blue_dye,1
potato,1
spider_eye,1
exposed_cut_copper_stairs,1
flint,1
cornflower,1
white_tulip,1
ochre_froglight,1
scaffolding,1
splash_potion,1
water_bucket,1
stone_hoe,1
mangrove_propagule,1
lead,1
amethyst_block,1
copper_ingot,1
torch,1
smooth_quartz,1
orange_bed,1
dandelion,1
ender_chest,1
sculk_sensor,1
iron_chestplate,1
golden_sword,1
stone_pickaxe,1
light_blue_bed,1
