Stat Name,Value
stone,12353
deepslate,10415
sugar_cane,2871
tuff,2020
dirt,1841
mangrove_leaves,1745
oak_log,1267
gravel,1264
brown_mushroom_block,1216
wheat,961
andesite,732
coal_ore,724
azalea_leaves,650
mud,635
spruce_log,453
grass_block,451
oak_leaves,442
deepslate_redstone_ore,418
dark_oak_log,367
netherrack,348
mangrove_log,336
birch_log,325
acacia_log,287
end_stone,265
flowering_azalea_leaves,219
sand,219
mangrove_roots,217
deepslate_iron_ore,215
granite,192
acacia_leaves,183
deepslate_gold_ore,175
iron_block,165
dripstone_block,165
packed_ice,154
copper_ore,151
calcite,149
deepslate_diamond_ore,140
obsidian,128
light_blue_bed,126
mushroom_stem,123
snow_block,112
diorite,111
cobblestone,108
blackstone,99
iron_ore,93
muddy_mangrove_roots,83
powder_snow,82
shulker_box,78
ochre_froglight,66
short_grass,64
moss_block,61
nether_quartz_ore,61
deepslate_copper_ore,56
cobbled_deepslate,53
deepslate_lapis_ore,50
scaffolding,48
vine,47
snow,44
end_stone_bricks,40
cyan_terracotta,40
smooth_basalt,38
tuff_bricks,38
ender_chest,37
bamboo,33
polished_tuff,33
carrots,33
light_blue_shulker_box,31
gray_shulker_box,29
fire,28
pink_petals,28
barrel,27
brown_shulker_box,27
hay_block,27
chiseled_tuff_bricks,26
torch,26
coarse_dirt,26
birch_leaves,24
end_rod,22
chiseled_tuff,21
mossy_cobblestone,20
spruce_leaves,20
polished_deepslate,19
crafting_table,19
red_tulip,18
sweet_berry_bush,18
chest,17
brown_mushroom,16
polished_tuff_stairs,16
sculk,16
tall_grass,15
white_shulker_box,14
gray_concrete_powder,14
beehive,14
red_shulker_box,13
crafter,13
pointed_dripstone,13
wall_torch,13
smooth_quartz,12
moss_carpet,11
chorus_flower,10
stone_bricks,10
polished_andesite,10
iron_trapdoor,9
polished_tuff_slab,9
dark_oak_leaves,9
sandstone,9
chorus_plant,9
lapis_ore,9
light_gray_bed,8
seagrass,8
deepslate_tile_slab,7
blast_furnace,7
blue_shulker_box,7
light_blue_wool,7
potatoes,7
green_shulker_box,7
dirt_path,6
stonecutter,6
flowering_azalea,6
polished_deepslate_slab,5
dark_oak_sapling,5
polished_deepslate_stairs,5
purpur_block,5
glow_lichen,5
stone_slab,5
smoker,4
soul_fire,4
smooth_quartz_slab,4
jukebox,4
dandelion,4
emerald_ore,4
purpur_stairs,4
blue_bed,4
gray_carpet,4
player_head,3
cyan_bed,3
cobweb,3
spruce_planks,3
clay,3
yellow_candle,3
white_tulip,3
ice,3
deepslate_bricks,2
oxeye_daisy,2
spawner,2
tall_seagrass,2
sticky_piston,2
twisting_vines,2
orange_bed,2
amethyst_cluster,2
bricks,2
amethyst_block,2
tuff_brick_stairs,2
infested_deepslate,2
sea_lantern,2
cobblestone_slab,2
smooth_quartz_stairs,2
purpur_pillar,2
oak_sapling,2
sculk_vein,2
budding_amethyst,2
mud_bricks,2
azalea,2
beacon,2
stone_stairs,2
tuff_stairs,2
rooted_dirt,2
spruce_sapling,2
redstone_wall_torch,2
oak_fence,2
andesite_slab,2
bee_nest,2
yellow_bed,2
exposed_cut_copper_stairs,1
dark_oak_trapdoor,1
piston_head,1
blue_concrete_powder,1
dead_bush,1
spruce_wall_sign,1
verdant_froglight,1
cobbled_deepslate_slab,1
acacia_button,1
orange_shulker_box,1
black_stained_glass_pane,1
bamboo_sapling,1
bone_block,1
light_gray_carpet,1
observer,1
cornflower,1
birch_sign,1
gold_ore,1
fern,1
brewing_stand,1
cave_vines_plant,1
smooth_stone,1
birch_wall_sign,1
grindstone,1
cauldron,1
spruce_wall_hanging_sign,1
smooth_stone_slab,1
lever,1
mangrove_propagule,1
spore_blossom,1
diorite_slab,1
oak_trapdoor,1
lantern,1
basalt,1
sculk_sensor,1
black_wool,1
purple_shulker_box,1
