Stat Name,Value
bone,6152
arrow,6120
deepslate,3962
sugar_cane,3885
dirt,2868
wheat_seeds,2725
cobbled_deepslate,2562
tuff,1729
stone,1625
cobblestone,1605
mangrove_leaves,1570
oak_log,1485
coal,1015
wheat,949
andesite,828
redstone,739
gravel,729
mud,631
raw_copper,593
azalea_leaves,563
spruce_log,533
brown_mushroom,444
bow,418
mangrove_log,407
dark_oak_log,407
ender_pearl,400
torch,400
lapis_lazuli,398
sand,333
netherrack,324
raw_iron,307
birch_log,306
mangrove_roots,306
bamboo,306
stick,299
granite,298
cooked_beef,294
acacia_log,287
diamond,284
oak_leaves,282
end_stone,256
beef,253
leather,249
deepslate_redstone_ore,246
scaffolding,239
moss_block,228
cooked_mutton,207
dripstone_block,200
grass_block,186
flowering_azalea_leaves,182
acacia_leaves,178
iron_block,166
calcite,150
packed_ice,146
oak_sapling,144
obsidian,137
carrot,135
chorus_fruit,130
light_blue_bed,130
mutton,120
gold_ingot,116
raw_gold,115
diorite,106
deepslate_gold_ore,101
quartz,100
blackstone,99
coal_ore,92
acacia_sapling,90
deepslate_diamond_ore,84
chiseled_tuff,84
muddy_mangrove_roots,83
shulker_box,83
moss_carpet,82
salmon,74
ink_sac,73
deepslate_iron_ore,73
white_wool,71
egg,70
birch_sapling,64
snow_block,64
baked_potato,60
sugar,60
iron_ingot,57
ochre_froglight,56
apple,56
gunpowder,56
spruce_sapling,52
bone_block,49
dark_oak_sapling,48
beehive,47
gold_nugget,46
rotten_flesh,45
oak_planks,45
barrel,44
oak_fence,44
vine,43
coarse_dirt,41
golden_boots,41
cyan_terracotta,40
clay_ball,40
copper_ore,38
tuff_bricks,38
smooth_basalt,38
cobblestone_slab,38
polished_deepslate,36
ender_chest,36
pointed_dripstone,36
end_stone_bricks,35
player_head,35
azalea,34
oak_trapdoor,34
polished_tuff,33
golden_leggings,33
snowball,32
sweet_berries,32
shulker_shell,32
leather_leggings,31
light_blue_shulker_box,31
gray_shulker_box,30
potato,30
golden_helmet,28
red_tulip,28
golden_carrot,28
firework_rocket,27
brown_shulker_box,27
pink_petals,27
leather_boots,27
hay_block,26
mangrove_propagule,26
cooked_porkchop,25
chiseled_tuff_bricks,25
feather,24
yellow_candle,24
goat_horn,24
cod,24
bone_meal,24
crafting_table,23
golden_chestplate,22
end_rod,20
short_grass,20
mossy_cobblestone,19
snow,17
chest,17
leather_helmet,17
leather_chestplate,17
emerald,17
string,16
white_tulip,16
polished_tuff_stairs,15
diamond_pickaxe,15
gray_concrete_powder,14
white_shulker_box,14
crafter,14
nether_quartz_ore,14
iron_ore,13
oak_boat,13
red_shulker_box,13
glow_ink_sac,13
polished_tuff_slab,13
tropical_fish,12
flowering_azalea,12
smooth_quartz,12
chainmail_helmet,11
amethyst_shard,11
polished_andesite,10
birch_leaves,10
chorus_flower,10
chicken,10
blue_concrete_powder,10
chainmail_leggings,10
iron_helmet,10
lead,9
sandstone,9
stone_bricks,9
iron_trapdoor,9
porkchop,9
chainmail_chestplate,9
deepslate_lapis_ore,8
iron_boots,8
deepslate_tile_slab,8
book,8
light_blue_wool,7
bricks,7
iron_sword,7
iron_pickaxe,7
green_shulker_box,7
orange_tulip,7
blue_shulker_box,7
blast_furnace,7
chainmail_boots,6
stone_slab,6
pufferfish,6
stonecutter,6
spruce_leaves,6
oak_door,6
iron_leggings,6
shield,6
saddle,6
oak_slab,6
blue_concrete,5
purpur_block,5
elytra,5
poppy,5
polished_deepslate_slab,5
oak_sign,5
polished_deepslate_stairs,5
beacon,5
dandelion,5
diamond_sword,4
jukebox,4
water_bucket,4
smoker,4
rooted_dirt,4
acacia_button,4
flint_and_steel,4
spyglass,4
warped_roots,4
smooth_quartz_slab,4
music_disc_13,4
phantom_membrane,4
iron_chestplate,3
