Stat Name,Value
diamond_pickaxe,27606
diamond_axe,4293
diamond_shovel,3736
diamond_hoe,2614
iron_pickaxe,2599
dirt,2375
torch,1684
bow,1287
diamond_sword,1259
wooden_sword,1107
wheat_seeds,991
iron_shovel,941
iron_sword,934
polished_deepslate,780
iron_axe,675
cyan_terracotta,600
deepslate,497
firework_rocket,491
tuff,472
stone_sword,445
bone_meal,396
chiseled_tuff_bricks,341
cooked_beef,332
cobblestone,304
spyglass,266
end_stone,256
shears,252
light_blue_wool,243
polished_tuff,239
polished_tuff_slab,218
oak_log,213
gray_concrete_powder,213
oak_planks,212
andesite,202
mossy_cobblestone,200
ochre_froglight,198
iron_block,192
tuff_bricks,185
cooked_mutton,185
bucket,181
water_bucket,180
scaffolding,176
cobbled_deepslate,160
end_rod,147
deepslate_bricks,144
stone,142
stone_pickaxe,134
light_blue_bed,131
ender_pearl,126
iron_trapdoor,100
polished_andesite,98
fishing_rod,97
smooth_quartz,94
barrel,89
oak_sapling,87
stone_axe,87
chiseled_tuff,85
shulker_box,77
grass_block,73
sea_lantern,67
golden_carrot,66
netherrack,63
acacia_sapling,62
egg,61
smooth_quartz_slab,60
polished_tuff_stairs,60
wooden_pickaxe,48
cooked_salmon,47
wooden_axe,47
oak_fence,46
brown_mushroom,43
black_wool,42
polished_deepslate_slab,39
beehive,39
deepslate_diamond_ore,37
bread,37
packed_ice,36
carrot,36
end_stone_bricks,35
ender_chest,35
dark_oak_sapling,33
light_blue_shulker_box,31
gray_shulker_box,30
coarse_dirt,30
crafting_table,27
spruce_sapling,27
shield,27
coal_ore,27
brown_shulker_box,27
yellow_candle,24
cooked_porkchop,24
bamboo,22
potato,21
black_stained_glass_pane,20
diorite,20
blast_furnace,20
crafter,19
yellow_stained_glass,19
short_grass,18
chorus_fruit,17
mangrove_roots,17
snowball,16
polished_deepslate_stairs,15
white_tulip,15
redstone,15
white_shulker_box,14
acacia_log,14
spruce_log,14
lever,14
smoker,14
smooth_quartz_stairs,13
red_shulker_box,13
ender_eye,13
oak_boat,12
decorated_pot,12
black_stained_glass,12
moss_block,11
chest,11
birch_log,11
elytra,10
tuff_brick_stairs,10
chorus_flower,10
obsidian,10
rotten_flesh,9
birch_sapling,9
stone_stairs,9
sticky_piston,9
baked_potato,9
stone_slab,9
iron_bars,8
smooth_basalt,8
tuff_brick_wall,8
stonecutter,8
oak_trapdoor,7
glow_ink_sac,7
lantern,7
blue_shulker_box,7
mangrove_leaves,7
grindstone,7
glass_bottle,7
apple,7
green_shulker_box,7
observer,6
player_head,6
bricks,6
dripstone_block,6
flint_and_steel,6
cobblestone_slab,6
polished_blackstone_pressure_plate,6
smooth_stone,6
writable_book,5
acacia_button,5
blue_concrete,5
yellow_dye,5
carrot_on_a_stick,5
spruce_hanging_sign,5
redstone_torch,5
smooth_stone_slab,5
purpur_block,5
red_tulip,5
beacon,5
spruce_button,4
polished_deepslate_wall,4
blue_concrete_powder,4
mangrove_propagule,4
jukebox,4
iron_chestplate,4
deepslate_tile_slab,4
music_disc_13,4
honey_bottle,4
azalea,4
cooked_chicken,4
iron_boots,4
iron_leggings,4
diorite_wall,3
sweet_berries,3
purpur_pillar,3
light_gray_carpet,3
anvil,3
goat_horn,3
potion,3
moss_carpet,3
mangrove_log,3
dark_oak_sign,3
cyan_bed,3
chain,3
air,3
stone_pressure_plate,3
tuff_stairs,3
birch_boat,3
splash_potion,3
bamboo_sign,2
blue_dye,2
sand,2
ice,2
mud_bricks,2
oak_button,2
iron_helmet,2
stone_bricks,2
repeater,2
diamond_boots,2
gray_carpet,2
deepslate_redstone_ore,2
gravel,2
spruce_planks,2
light_gray_bed,2
azure_bluet,1
orange_shulker_box,1
dark_oak_leaves,1
furnace,1
mangrove_slab,1
golden_apple,1
verdant_froglight,1
stone_button,1
lectern,1
orange_bed,1
brewing_stand,1
flowering_azalea,1
rooted_dirt,1
diamond_chestplate,1
basalt,1
tripwire_hook,1
lead,1
cauldron,1
light_gray_banner,1
brown_dye,1
birch_sign,1
sculk_shrieker,1
cod,1
oxeye_daisy,1
bone_block,1
oak_sign,1
purple_shulker_box,1
hay_block,1
sandstone,1
chainmail_helmet,1
oak_door,1
spruce_fence,1
andesite_slab,1
spruce_sign,1
warped_roots,1
golden_leggings,1
yellow_bed,1
