Stat Name,Value
bone_meal,11649
honeycomb_block,3074
dark_oak_planks,2432
stick,1916
spruce_planks,1892
torch,1860
oak_planks,1764
bricks,1204
bone_block,1157
brick,1090
iron_ingot,987
baked_potato,968
charcoal,832
iron_nugget,810
dark_oak_stairs,776
redstone,684
glass,592
dark_oak_trapdoor,588
raw_copper_block,576
jungle_planks,576
raw_copper,576
copper_ingot,560
birch_planks,540
clay,540
terracotta,498
raw_iron,468
dark_oak_wood,416
yellow_concrete_powder,408
raw_gold,387
black_terracotta,376
black_dye,364
dark_oak_slab,360
yellow_dye,355
spruce_trapdoor,348
white_dye,340
spruce_stairs,328
mangrove_planks,324
quartz_block,279
glass_bottle,273
light_gray_terracotta,264
gold_ingot,233
light_gray_dye,227
diorite_slab,218
nether_brick,212
light_gray_stained_glass,208
yellow_wool,197
jack_o_lantern,192
oak_slab,192
black_wool,175
redstone_block,171
lapis_lazuli,171
cooked_mutton,150
spruce_slab,138
warped_planks,132
acacia_planks,132
light_gray_concrete_powder,128
red_terracotta,128
wheat,126
red_dye,124
barrel,118
birch_sign,114
smooth_quartz,113
cooked_beef,113
bow,111
dark_oak_fence_gate,107
spruce_fence_gate,101
light_gray_stained_glass_pane,96
chest,94
green_wool,94
orange_dye,91
chain,90
diorite_wall,90
jungle_slab,90
candle,84
coarse_dirt,84
gold_nugget,81
stripped_spruce_wood,80
honey_block,78
gray_dye,74
spruce_fence,72
bread,72
raw_gold_block,67
iron_block,66
diorite_stairs,64
iron_bars,64
raw_iron_block,64
polished_deepslate,64
crimson_planks,64
brown_terracotta,64
dark_oak_fence,63
copper_block,57
lapis_block,57
orange_terracotta,56
orange_wool,56
redstone_torch,54
nether_bricks,50
jungle_trapdoor,48
cooked_porkchop,47
campfire,46
brown_carpet,45
white_banner,45
red_sandstone,42
hopper,42
smooth_red_sandstone,42
lime_dye,42
iron_trapdoor,41
mangrove_stairs,40
brown_dye,38
light_gray_wool,37
acacia_trapdoor,36
oak_trapdoor,36
smooth_stone,36
shears,33
red_stained_glass,32
quartz_pillar,32
tinted_glass,32
oak_sign,30
brown_wool,30
polished_granite,28
iron_pickaxe,27
black_banner,27
diamond,27
paper,27
coal,27
crimson_trapdoor,24
birch_trapdoor,24
mangrove_slab,24
oak_fence,24
gray_terracotta,24
furnace,24
hay_block,24
warped_trapdoor,24
gray_concrete_powder,24
gold_block,24
pumpkin_seeds,24
green_banner,23
lectern,22
bookshelf,22
warped_fence,21
spruce_sign,21
lantern,20
beehive,20
cut_copper,20
acacia_slab,18
red_wool,18
dispenser,18
birch_slab,18
ladder,18
jungle_fence,18
nether_wart,18
mangrove_fence_gate,17
red_stained_glass_pane,16
warped_stairs,16
yellow_stained_glass_pane,16
crimson_stairs,16
black_stained_glass_pane,16
comparator,16
yellow_terracotta,16
rail,16
yellow_stained_glass,16
light_blue_stained_glass_pane,16
mangrove_fence,15
loom,15
white_carpet,15
gray_carpet,15
black_candle,14
warped_fence_gate,14
nether_brick_slab,14
lime_banner,12
mossy_cobblestone,12
jungle_sign,12
scaffolding,12
orange_carpet,12
flower_pot,12
green_dye,12
mangrove_trapdoor,12
birch_fence,12
polished_andesite,12
iron_axe,12
iron_shovel,11
lightning_rod,11
golden_boots,11
jungle_fence_gate,11
crafting_table,11
amethyst_block,11
gray_wool,10
quartz_slab,10
spruce_button,10
observer,10
golden_carrot,9
dark_oak_button,9
note_block,9
mossy_stone_bricks,9
acacia_fence,9
dark_oak_door,9
book,9
brick_wall,8
golden_leggings,8
stone_slab,8
brick_stairs,8
soul_torch,8
jungle_stairs,8
light_blue_stained_glass,8
anvil,8
target,8
yellow_banner,8
spruce_wood,8
orange_banner,8
black_stained_glass,8
stone_axe,7
polished_deepslate_wall,6
red_nether_bricks,6
cobblestone_slab,6
granite_wall,6
smooth_quartz_slab,6
lever,6
daylight_detector,6
warped_slab,6
dark_oak_sign,6
bucket,6
acacia_button,5
golden_chestplate,5
diamond_axe,5
golden_helmet,5
leather_chestplate,5
painting,4
leather_helmet,4
iron_helmet,4
leather_boots,4
smooth_quartz_stairs,4
iron_sword,4
cut_copper_stairs,4
iron_leggings,4
white_bed,4
iron_chestplate,4
shield,4
light_blue_dye,4
stone_button,4
bowl,4
chainmail_helmet,3
iron_door,3
grindstone,3
stone,3
stone_bricks,3
warped_door,3
beetroot_soup,3
mangrove_door,3
birch_door,3
spruce_door,3
leather_leggings,3
coal_block,3
iron_boots,3
stone_hoe,3
light_gray_carpet,3
diamond_block,3
diamond_helmet,2
stone_pressure_plate,2
diamond_hoe,2
red_banner,2
stone_pickaxe,2
brick_slab,2
soul_lantern,2
chainmail_boots,2
cauldron,2
chainmail_chestplate,2
tripwire_hook,2
repeater,2
stone_shovel,2
smooth_red_sandstone_slab,2
diamond_boots,2
red_bed,2
wooden_axe,2
diamond_pickaxe,2
diamond_sword,2
mossy_cobblestone_wall,2
blue_dye,2
birch_boat,1
diamond_shovel,1
composter,1
enchanting_table,1
black_bed,1
stonecutter,1
diamond_chestplate,1
diamond_leggings,1
melon_seeds,1
stone_sword,1
wooden_sword,1
iron_hoe,1
birch_chest_boat,1
air,0
