Stat Name,Value
fly_one_cm,34766558
sprint_one_cm,17749814
aviate_one_cm,15355572
walk_one_cm,10577058
play_time,7048304
total_world_time,7048304
horse_one_cm,6611149
fall_one_cm,4614656
swim_one_cm,2406890
crouch_one_cm,980489
boat_one_cm,969254
walk_under_water_one_cm,770565
climb_one_cm,696464
walk_on_water_one_cm,452230
sneak_time,355674
damage_dealt,337729
time_since_death,164462
jump,146307
damage_taken,58518
pig_one_cm,45075
time_since_rest,10340
open_barrel,6777
mob_kills,5703
damage_blocked_by_shield,5420
open_chest,4040
damage_dealt_resisted,2238
minecart_one_cm,2198
interact_with_furnace,1215
drop,993
interact_with_crafting_table,624
inspect_dispenser,360
sleep_in_bed,306
player_kills,282
leave_game,147
interact_with_grindstone,138
interact_with_stonecutter,117
open_shulker_box,108
animals_bred,88
enchant_item,81
open_enderchest,73
tune_noteblock,47
interact_with_loom,44
inspect_hopper,43
interact_with_anvil,37
traded_with_villager,36
deaths,23
interact_with_lectern,16
talked_to_villager,13
eat_cake_slice,8
pot_flower,7
play_record,5
play_noteblock,1
bell_ring,1
interact_with_blast_furnace,1
