Stat Name,Value
clay_ball,1020
pumpkin_seeds,771
dark_oak_trapdoor,695
ender_pearl,685
honeycomb,632
dark_oak_planks,550
oak_log,546
stripped_dark_oak_log,519
cobbled_deepslate,500
dirt,463
dark_oak_stairs,445
bone,441
netherrack,414
dark_oak_log,294
clay,288
yellow_wool,284
stone,274
spruce_stairs,256
cornflower,236
blackstone,210
wheat_seeds,203
calcite,194
lapis_lazuli,193
honeycomb_block,160
granite,145
smooth_basalt,145
oak_leaves,137
iron_ingot,134
redstone,133
birch_planks,130
iron_nugget,128
stick,125
stripped_spruce_log,120
stripped_dark_oak_wood,114
jack_o_lantern,105
sand,95
pink_tulip,95
arrow,95
cactus,93
grass_block,93
andesite,91
moss_block,90
cobblestone,90
barrel,86
raw_iron,84
player_head,75
spruce_planks,75
rotten_flesh,72
white_wool,69
golden_carrot,68
mutton,65
diorite_wall,64
cooked_beef,64
raw_copper_block,64
deepslate_tiles,64
shroomlight,64
red_terracotta,63
quartz,62
azalea_leaves,61
jungle_log,61
black_wool,61
beetroot_seeds,59
raw_copper,57
dark_oak_fence_gate,56
dark_oak_slab,47
dark_oak_fence,45
birch_leaves,45
polished_granite,43
oak_sapling,41
beehive,40
dandelion,39
spruce_trapdoor,36
wheat,34
beef,34
jungle_trapdoor,33
oak_planks,32
polished_blackstone_bricks,32
tuff,31
spruce_slab,30
light_gray_wool,29
bone_block,28
light_gray_stained_glass,27
light_gray_stained_glass_pane,26
birch_log,26
porkchop,24
pointed_dripstone,24
oak_trapdoor,24
honey_block,24
smooth_stone_slab,24
potato,24
raw_gold,22
beetroot,20
warped_planks,18
diamond,17
dark_oak_leaves,17
gravel,17
yellow_stained_glass,14
acacia_log,14
brick,14
flint,13
diorite_slab,12
gunpowder,12
raw_gold_block,11
stripped_jungle_log,11
granite_wall,10
purpur_block,10
amethyst_cluster,10
glow_ink_sac,9
book,9
dark_oak_sapling,9
spruce_log,9
birch_sapling,9
string,9
furnace,9
honey_bottle,9
torch,9
bow,8
magma_block,8
spider_eye,8
baked_potato,8
diorite,8
amethyst_shard,7
granite_stairs,7
dripstone_block,6
rail,6
iron_shovel,6
orange_wool,6
diamond_axe,6
crimson_roots,6
bee_nest,6
golden_boots,5
iron_pickaxe,5
spruce_sapling,5
bowl,5
big_dripleaf,5
cobblestone_slab,5
deepslate_tile_stairs,5
carrot,5
iron_chestplate,5
chorus_fruit,4
mangrove_slab,4
ink_sac,4
iron_boots,4
diamond_sword,4
jungle_leaves,4
sweet_berries,4
orange_tulip,4
detector_rail,4
yellow_stained_glass_pane,4
red_tulip,4
white_tulip,4
melon_seeds,4
blackstone_slab,4
basalt,4
poisonous_potato,4
iron_sword,3
stone_axe,3
azure_bluet,3
diamond_pickaxe,3
loom,3
cooked_mutton,3
birch_sign,3
crying_obsidian,3
iron_trapdoor,3
crimson_fungus,3
poppy,3
powered_rail,3
diamond_leggings,3
lead,3
iron_leggings,3
iron_axe,3
shield,3
stone_pickaxe,3
glass_bottle,2
birch_fence,2
obsidian,2
glass,2
acacia_planks,2
leather,2
stripped_oak_log,2
crossbow,2
green_wool,2
golden_chestplate,2
egg,2
cobbled_deepslate_stairs,2
apple,2
moss_carpet,2
warped_stem,2
chest,2
water_bucket,2
bucket,2
cooked_porkchop,1
glow_berries,1
small_amethyst_bud,1
dark_oak_door,1
cooked_chicken,1
black_carpet,1
netherite_sword,1
music_disc_far,1
coal_ore,1
leather_leggings,1
warped_wart_block,1
wooden_axe,1
white_banner,1
smooth_stone,1
peony,1
large_amethyst_bud,1
music_disc_13,1
music_disc_otherside,1
bread,1
jungle_wood,1
nether_wart_block,1
white_concrete,1
flint_and_steel,1
medium_amethyst_bud,1
short_grass,1
rooted_dirt,1
purpur_stairs,1
stone_button,1
bone_meal,1
brain_coral_fan,1
sugar_cane,1
ladder,1
polished_blackstone,1
oak_fence,1
iron_helmet,1
spruce_button,1
music_disc_pigstep,1
coal,1
diamond_helmet,1
deepslate,1
spruce_fence,1
yellow_bed,1
brown_mushroom,1
chainmail_boots,1
enchanting_table,1
mossy_cobblestone,1
music_disc_cat,1
nether_brick_slab,1
jukebox,1
iron_hoe,1
diamond_chestplate,1
stripped_warped_stem,1
