Stat Name,Value
deepslate,5522
grass_block,2622
clay,2098
oak_log,1602
stone,1554
copper_ore,1476
dirt,1466
oak_leaves,1355
dark_oak_log,1311
netherrack,1149
diorite,923
sand,881
stripped_dark_oak_log,667
spruce_log,645
short_grass,631
gravel,567
granite,548
tuff,486
wheat,478
nether_quartz_ore,460
moss_block,447
yellow_concrete,408
potatoes,399
deepslate_copper_ore,384
azalea_leaves,383
iron_ore,382
coal_ore,366
stripped_spruce_log,359
tall_grass,347
smooth_basalt,345
mangrove_leaves,338
deepslate_redstone_ore,337
calcite,312
dandelion,305
birch_log,301
stripped_dark_oak_wood,300
andesite,298
poppy,290
mangrove_roots,276
blackstone,271
deepslate_gold_ore,264
deepslate_iron_ore,260
glass,254
oak_slab,250
flowering_azalea_leaves,249
fire,248
amethyst_block,246
cobweb,241
pumpkin,224
jungle_log,220
sculk,217
oak_planks,214
bookshelf,209
carved_pumpkin,192
spruce_leaves,191
cobblestone,182
dark_oak_leaves,181
birch_leaves,172
jungle_leaves,170
red_sand,168
mud,165
mangrove_log,159
bone_block,157
nether_wart_block,143
deepslate_diamond_ore,140
birch_planks,132
white_bed,116
dripstone_block,113
vine,111
oak_stairs,102
player_head,91
cobbled_deepslate,86
obsidian,86
chest,86
end_stone,84
glow_lichen,83
furnace,77
bee_nest,76
sugar_cane,74
crimson_nylium,71
torch,71
brain_coral_block,71
shroomlight,70
fire_coral,68
tube_coral_block,68
bubble_coral_block,67
horn_coral,66
bubble_coral,66
horn_coral_block,66
fire_coral_block,65
dark_oak_stairs,65
muddy_mangrove_roots,64
brain_coral,64
tube_coral,64
fire_coral_wall_fan,60
sculk_vein,60
gold_ore,59
cornflower,58
candle,58
sculk_sensor,58
wall_torch,56
acacia_log,54
dark_oak_trapdoor,54
horn_coral_wall_fan,54
lapis_ore,54
campfire,53
tube_coral_wall_fan,53
redstone_wire,52
oxidized_cut_copper,52
brain_coral_wall_fan,51
amethyst_cluster,51
bubble_coral_wall_fan,51
soul_fire,50
crafting_table,50
deepslate_lapis_ore,49
cactus,48
cobblestone_wall,46
brown_mushroom_block,46
red_mushroom_block,45
stripped_warped_stem,42
crimson_roots,41
spruce_trapdoor,40
redstone_ore,37
sea_pickle,36
azure_bluet,36
deepslate_tiles,35
warped_stem,34
stripped_acacia_log,34
moss_carpet,33
coarse_dirt,32
stripped_jungle_log,32
spruce_stairs,31
dead_brain_coral_block,31
pointed_dripstone,29
tall_seagrass,27
diorite_slab,26
barrel,25
waxed_oxidized_cut_copper,24
gray_concrete,24
beetroots,23
budding_amethyst,22
smooth_quartz_stairs,22
stripped_oak_log,21
cocoa,21
seagrass,21
oak_trapdoor,21
dead_fire_coral_block,20
player_wall_head,20
spruce_planks,20
redstone_lamp,20
oxidized_copper,19
brain_coral_fan,19
quartz_stairs,19
scaffolding,18
magma_block,17
red_terracotta,17
oak_fence,17
spruce_sapling,17
crimson_stem,16
horn_coral_fan,16
dark_oak_door,16
cobblestone_slab,15
black_terracotta,15
jack_o_lantern,15
tube_coral_fan,14
bubble_coral_fan,14
cobbled_deepslate_slab,14
peony,13
cobblestone_stairs,13
stripped_spruce_wood,12
stripped_mangrove_log,12
black_wool,12
sculk_shrieker,12
orange_tulip,12
red_tulip,11
fire_coral_fan,11
purpur_block,11
spruce_slab,10
orange_terracotta,10
dark_oak_slab,10
ladder,10
honey_block,10
loom,10
nether_bricks,10
cobbled_deepslate_wall,10
mushroom_stem,10
diamond_ore,10
weathered_cut_copper,9
dirt_path,9
comparator,9
carrots,9
oak_wall_sign,8
bricks,8
repeater,8
dead_bubble_coral_fan,8
dark_oak_planks,8
sticky_piston,8
light_gray_stained_glass,8
cut_copper,8
white_wool,8
mangrove_propagule,8
flowering_azalea,8
spruce_door,8
iron_trapdoor,7
azalea,7
quartz_slab,7
dark_oak_fence_gate,7
pink_tulip,6
spruce_fence,6
lily_of_the_valley,6
acacia_leaves,6
deepslate_bricks,6
hopper,6
deepslate_tile_stairs,6
oxeye_daisy,6
mangrove_fence_gate,6
dark_oak_fence,5
polished_blackstone_brick_slab,5
sculk_catalyst,5
light_gray_terracotta,5
smooth_red_sandstone,5
cave_vines,5
black_bed,5
cracked_deepslate_bricks,5
birch_wall_sign,5
end_stone_bricks,5
honeycomb_block,5
deepslate_tile_slab,4
white_candle,4
smooth_quartz,4
mossy_cobblestone,4
ender_chest,4
waxed_cut_copper_stairs,4
dispenser,4
crying_obsidian,4
crimson_fungus,4
enchanting_table,4
small_amethyst_bud,4
mangrove_stairs,4
polished_deepslate_stairs,4
bell,4
chorus_plant,4
rose_bush,4
sweet_berry_bush,4
spawner,3
tinted_glass,3
glass_pane,3
brown_terracotta,3
stone_bricks,3
polished_diorite,3
basalt,3
flower_pot,3
oak_sign,3
black_concrete_powder,3
warped_fungus,3
stonecutter,3
warped_door,3
bamboo,3
white_carpet,3
anvil,3
diorite_wall,3
jungle_trapdoor,2
white_stained_glass_pane,2
spruce_wall_sign,2
chain,2
jukebox,2
exposed_cut_copper,2
redstone_block,2
polished_blackstone_brick_wall,2
purpur_pillar,2
warped_wart_block,2
birch_sign,2
chipped_anvil,2
brewing_stand,2
medium_amethyst_bud,2
lever,2
weathered_copper,2
magenta_stained_glass,2
polished_granite,2
deepslate_coal_ore,2
dead_bubble_coral_wall_fan,2
diorite_stairs,2
weeping_vines_plant,2
polished_diorite_stairs,2
cyan_wool,2
jungle_planks,2
black_stained_glass_pane,2
warped_trapdoor,2
stone_brick_slab,2
spruce_button,2
emerald_ore,2
smooth_stone,2
grindstone,2
light_gray_wool,2
white_stained_glass,2
polished_deepslate,2
lectern,2
gray_carpet,2
dragon_wall_head,1
deepslate_tile_wall,1
twisting_vines,1
melon,1
nether_brick_slab,1
smooth_quartz_slab,1
acacia_trapdoor,1
rail,1
orange_carpet,1
farmland,1
white_concrete,1
composter,1
mossy_cobblestone_slab,1
quartz_block,1
exposed_copper,1
purpur_stairs,1
red_stained_glass,1
hay_block,1
nether_sprouts,1
gold_block,1
snow_block,1
mangrove_planks,1
white_wall_banner,1
small_dripleaf,1
stone_brick_wall,1
polished_deepslate_slab,1
brown_mushroom,1
lilac,1
birch_door,1
stone_brick_stairs,1
copper_block,1
light_gray_stained_glass_pane,1
stripped_birch_log,1
shulker_box,1
yellow_concrete_powder,1
red_sandstone,1
cake,1
light_gray_carpet,1
brown_carpet,1
large_amethyst_bud,1
cave_vines_plant,1
mangrove_fence,1
target,1
black_candle,1
yellow_wool,1
cracked_deepslate_tiles,1
polished_deepslate_wall,1
granite_wall,1
nether_gold_ore,1
oak_door,1
brick_stairs,1
white_tulip,1
redstone_wall_torch,1
gray_wool,1
yellow_bed,1
