Stat Name,Value
raw_copper,5393
clay_ball,5056
cobbled_deepslate,3756
dirt,3691
clay,2570
stripped_dark_oak_log,2408
oak_log,2404
dark_oak_stairs,2173
bone,2132
dark_oak_log,1991
arrow,1851
potato,1581
redstone,1558
cobblestone,1524
granite,1501
dark_oak_trapdoor,1485
wheat_seeds,1470
netherrack,1390
dark_oak_planks,1200
stone,1193
grass_block,1151
diorite,1096
sand,1080
honeycomb,1006
quartz,984
white_wool,975
lapis_lazuli,973
raw_iron,969
stripped_dark_oak_wood,962
oak_leaves,909
moss_block,868
blackstone,860
yellow_concrete,852
torch,809
stripped_spruce_log,808
pumpkin_seeds,771
coal,759
ender_pearl,749
spruce_log,724
deepslate,717
azalea_leaves,711
honeycomb_block,672
spruce_planks,651
book,640
gravel,638
deepslate_tiles,621
bricks,609
tuff,598
spruce_stairs,588
stick,566
black_wool,559
wheat,550
raw_gold,539
red_terracotta,517
calcite,514
terracotta,510
player_head,488
glass,483
yellow_wool,480
andesite,479
dandelion,475
smooth_basalt,467
oak_sapling,440
birch_planks,414
deepslate_tile_slab,409
mud,395
candle,393
birch_log,384
ink_sac,368
oak_planks,350
firework_rocket,346
jungle_log,344
poppy,333
spruce_trapdoor,332
cornflower,329
cooked_porkchop,328
jack_o_lantern,316
string,315
black_terracotta,313
shroomlight,294
copper_ore,276
mangrove_roots,276
light_gray_terracotta,271
dark_oak_slab,255
amethyst_block,246
bone_block,243
pumpkin,241
amethyst_shard,235
glow_lichen,234
oak_slab,233
polished_blackstone_bricks,227
mutton,225
cooked_beef,221
diamond,211
flowering_azalea_leaves,209
mangrove_log,207
polished_deepslate_wall,205
deepslate_redstone_ore,203
polished_deepslate,196
carved_pumpkin,192
barrel,191
polished_diorite,185
spruce_sapling,182
dark_oak_fence_gate,180
short_grass,177
golden_carrot,176
dark_oak_wood,176
bow,171
light_gray_stained_glass,170
glow_berries,170
red_sand,168
bone_meal,168
brick,168
vine,162
sugar_cane,160
brown_terracotta,159
leather,158
beef,154
moss_carpet,149
spruce_slab,146
nether_wart_block,142
sea_pickle,136
green_dye,136
muddy_mangrove_roots,128
iron_nugget,128
oxidized_cut_copper,126
diorite_wall,124
cut_copper,124
cooked_mutton,122
white_bed,120
rose_bush,116
charcoal,115
kelp,114
rotten_flesh,113
cactus,111
stripped_spruce_wood,106
obsidian,104
chest,99
cocoa_beans,99
dripstone_block,99
chain,96
oak_stairs,95
white_dye,93
deepslate_copper_ore,93
spruce_fence_gate,93
iron_bars,92
baked_potato,91
dark_oak_sapling,91
oak_trapdoor,90
brown_mushroom_block,89
bee_nest,89
stripped_jungle_log,89
campfire,88
furnace,87
spruce_fence,85
pointed_dripstone,85
stripped_warped_stem,84
birch_leaves,84
cobweb,84
smooth_quartz_stairs,83
deepslate_gold_ore,82
lime_wool,81
light_gray_stained_glass_pane,81
end_stone,80
beetroot_seeds,79
black_dye,77
brown_carpet,76
honey_block,76
dark_oak_fence,74
crimson_trapdoor,72
porkchop,71
polished_granite,70
horn_coral_fan,69
fire_coral_fan,69
acacia_log,68
raw_copper_block,67
brain_coral_fan,67
horn_coral_block,66
light_gray_concrete_powder,66
tube_coral_fan,66
tube_coral_block,66
mangrove_propagule,66
light_gray_wool,66
bubble_coral,65
fire_coral,65
sculk_vein,65
bubble_coral_fan,65
sculk,65
bubble_coral_block,65
fire_coral_block,65
tube_coral,64
brain_coral_block,64
horn_coral,64
brain_coral,64
podzol,64
crimson_nylium,63
redstone_lamp,60
beehive,60
quartz_pillar,59
birch_sapling,57
crafting_table,57
white_banner,57
red_dye,56
scaffolding,56
polished_andesite_stairs,55
stone_brick_stairs,55
gunpowder,55
dead_brain_coral_block,55
lead,54
apple,54
jungle_trapdoor,54
flint,53
acacia_trapdoor,53
bamboo,51
nether_bricks,51
black_banner,48
gray_concrete,48
deepslate_diamond_ore,48
crimson_roots,47
iron_trapdoor,47
smooth_stone_slab,47
deepslate_tile_wall,47
smooth_red_sandstone,46
diorite_slab,46
red_mushroom_block,45
waxed_oxidized_cut_copper,44
azure_bluet,44
cobblestone_stairs,44
beetroot,42
dead_fire_coral_block,42
smooth_quartz,41
deepslate_iron_ore,41
tinted_glass,41
birch_trapdoor,40
polished_deepslate_stairs,40
redstone_block,40
gold_block,40
pink_tulip,38
cobblestone_wall,38
deepslate_lapis_ore,36
cobblestone_slab,36
black_stained_glass_pane,36
chorus_fruit,36
light_blue_stained_glass_pane,36
hay_block,35
warped_stem,35
stripped_acacia_log,35
sculk_sensor,34
gray_terracotta,34
deepslate_bricks,34
ladder,33
blue_orchid,32
white_candle,31
coarse_dirt,31
painting,30
iron_ingot,30
diamond_pickaxe,29
amethyst_cluster,29
oak_fence,29
comparator,28
dark_oak_door,28
smooth_stone,27
lantern,26
carrot,26
andesite_wall,24
repeater,24
loom,24
egg,24
warped_trapdoor,24
lectern,24
azalea,23
coal_block,23
peony,23
flowering_azalea,23
orange_tulip,22
mushroom_stem,22
gold_ingot,22
raw_gold_block,21
lilac,21
spruce_sign,21
stone_bricks,21
oak_sign,21
warped_fence,21
mangrove_planks,20
crimson_planks,20
spider_eye,20
dead_bubble_coral_fan,19
smooth_quartz_slab,19
oxidized_copper,19
stripped_oak_log,19
allium,19
jungle_fence,18
gray_carpet,18
stone_brick_slab,18
soul_soil,18
polished_diorite_slab,18
quartz_stairs,18
golden_boots,18
dark_oak_leaves,18
cobbled_deepslate_wall,18
stone_brick_wall,17
diamond_axe,17
lightning_rod,16
sponge,16
purpur_block,16
polished_blackstone_wall,16
sweet_berries,16
crimson_stairs,16
coal_ore,16
birch_sign,16
polished_andesite_slab,16
crimson_stem,16
glow_ink_sac,16
sculk_shrieker,15
spruce_button,15
dark_oak_button,15
diamond_sword,15
diamond_leggings,14
golden_leggings,14
spruce_door,14
flower_pot,14
magma_block,14
cobbled_deepslate_slab,14
golden_chestplate,13
jungle_sapling,13
orange_carpet,13
polished_diorite_stairs,13
deepslate_tile_stairs,13
shulker_shell,13
sticky_piston,13
poisonous_potato,13
red_tulip,12
polished_andesite,12
elytra,12
white_carpet,12
diamond_hoe,12
jungle_sign,12
yellow_terracotta,12
oxeye_daisy,12
iron_ore,12
deepslate_brick_stairs,12
mangrove_leaves,12
waxed_cut_copper_stairs,12
bread,12
stripped_mangrove_log,12
diamond_boots,12
glass_bottle,12
jungle_fence_gate,11
polished_blackstone,11
granite_wall,11
gold_nugget,11
golden_helmet,11
yellow_stained_glass,10
orange_terracotta,10
brick_slab,10
twisting_vines,10
shears,10
lily_of_the_valley,10
rail,9
brick_stairs,9
crimson_fungus,9
weathered_cut_copper,9
leather_boots,9
brick_wall,8
warped_door,8
leather_leggings,8
leather_helmet,8
leather_chestplate,8
emerald,8
birch_fence,8
iron_boots,8
yellow_concrete_powder,8
quartz_slab,8
stone_button,8
jungle_stairs,8
red_nether_brick_stairs,8
polished_blackstone_brick_slab,7
flint_and_steel,7
note_block,7
granite_stairs,7
sculk_catalyst,7
iron_chestplate,7
soul_sand,7
acacia_sapling,7
dark_oak_sign,6
mangrove_fence_gate,6
lever,6
enchanting_table,6
mossy_stone_bricks,6
jungle_slab,6
black_candle,6
birch_door,6
daylight_detector,6
melon_seeds,6
target,6
orange_wool,6
big_dripleaf,5
diamond_helmet,5
diamond_shovel,5
black_bed,5
grindstone,5
crossbow,5
yellow_bed,5
anvil,5
mossy_cobblestone_slab,5
water_bucket,4
iron_shovel,4
diamond_chestplate,4
tripwire_hook,4
hopper,4
ender_chest,4
white_tulip,4
mossy_cobblestone,4
jungle_leaves,4
