Stat Name,Value
diamond_pickaxe,12682
diamond_axe,6942
iron_pickaxe,6029
diamond_shovel,4987
diamond_sword,4222
dirt,2827
diamond_hoe,2551
iron_shovel,2096
iron_axe,1826
torch,1664
grass_block,1013
stone_axe,1004
baked_potato,952
shears,905
cobbled_deepslate,824
clay,666
bricks,640
bone_meal,631
cobblestone,552
wheat_seeds,548
black_wool,530
iron_sword,525
bone_block,524
potato,519
spruce_planks,492
netherrack,479
stripped_dark_oak_log,467
dark_oak_stairs,458
deepslate_tiles,416
yellow_concrete_powder,409
granite,378
dark_oak_trapdoor,352
mud,349
glass,339
stone_hoe,333
black_terracotta,312
moss_block,298
dark_oak_wood,296
diorite,275
light_gray_terracotta,268
spruce_trapdoor,265
stone_pickaxe,262
stone_shovel,262
tuff,257
netherite_sword,254
stripped_dark_oak_wood,250
iron_hoe,250
pumpkin,235
firework_rocket,234
deepslate_tile_slab,231
dark_oak_log,229
diorite_slab,220
bucket,219
andesite,216
water_bucket,215
calcite,214
spruce_log,214
deepslate,214
azalea_leaves,212
oak_leaves,209
stone,196
birch_planks,188
spruce_stairs,186
cooked_mutton,186
dark_oak_planks,168
oak_log,162
cooked_beef,161
cobblestone_stairs,148
oak_planks,145
white_wool,140
chest,130
red_terracotta,126
diorite_wall,124
redstone,119
nether_wart_block,117
white_bed,117
coarse_dirt,115
stripped_spruce_log,113
cooked_porkchop,111
shield,108
blackstone,105
spruce_sapling,105
light_gray_stained_glass,105
flowering_azalea_leaves,103
sand,102
honeycomb_block,97
light_gray_concrete_powder,97
spruce_slab,96
quartz_stairs,89
barrel,88
smooth_quartz_stairs,88
shroomlight,85
deepslate_gold_ore,82
stripped_spruce_wood,81
end_stone,80
cut_copper,79
furnace,79
dark_oak_slab,78
birch_log,77
red_stained_glass,77
stone_sword,75
campfire,74
bread,74
quartz_slab,72
smooth_quartz,69
jack_o_lantern,67
orange_terracotta,66
bee_nest,63
flint_and_steel,61
player_head,58
jungle_log,57
sugar_cane,55
short_grass,55
cobweb,55
polished_blackstone_bricks,54
cornflower,54
brown_terracotta,53
crafting_table,52
cobbled_deepslate_slab,51
glow_berries,49
polished_blackstone_brick_slab,49
deepslate_diamond_ore,48
iron_trapdoor,48
hopper,48
rotten_flesh,46
smooth_red_sandstone,46
wooden_sword,46
wooden_axe,45
glass_bottle,44
gravel,42
deepslate_iron_ore,41
light_gray_stained_glass_pane,41
mushroom_stem,40
dandelion,40
polished_diorite,40
oak_trapdoor,38
