Stat Name,Value
spruce_planks,5864
bone_meal,5736
stick,3340
oak_planks,2932
torch,1364
dried_kelp_block,1202
birch_wood,1108
baked_potato,1095
polished_deepslate,1072
deepslate_bricks,1052
jungle_planks,1000
spruce_stairs,992
redstone,918
spruce_fence,897
spruce_slab,894
dark_oak_planks,892
mossy_cobblestone,825
oak_wood,660
packed_mud,572
sandstone_slab,546
cobbled_deepslate_wall,498
jungle_wood,496
spruce_wood,488
clay,484
coarse_dirt,416
spruce_trapdoor,396
mangrove_planks,392
iron_ingot,325
spruce_fence_gate,323
redstone_block,313
brick,292
oak_stairs,272
birch_planks,268
cobblestone_slab,252
black_carpet,252
oak_slab,252
rail,240
scaffolding,234
stone_bricks,192
andesite_slab,186
bricks,184
deepslate_brick_stairs,184
jungle_slab,180
acacia_planks,180
chest,179
glass,166
redstone_torch,160
oak_trapdoor,156
sandstone_stairs,144
mangrove_slab,138
mud_bricks,136
jungle_trapdoor,136
dark_oak_fence,135
deepslate_brick_wall,120
iron_nugget,117
polished_diorite_slab,114
raw_copper_block,109
jungle_stairs,104
cobblestone_wall,102
andesite_wall,102
bone_block,101
ladder,99
wheat,99
piston,98
acacia_fence_gate,87
barrel,87
hopper,85
oak_fence,84
diorite_wall,84
deepslate_brick_slab,82
diamond,81
polished_diorite,80
cobbled_deepslate_stairs,80
cobblestone_stairs,72
lapis_lazuli,72
golden_carrot,66
lime_stained_glass,64
orange_stained_glass_pane,64
white_stained_glass_pane,64
mangrove_stairs,64
dripstone_block,64
glass_bottle,60
lever,57
diorite_stairs,56
stone_stairs,56
andesite_stairs,56
gold_ingot,54
powered_rail,54
sticky_piston,53
repeater,53
lime_carpet,48
iron_bars,48
raw_iron_block,48
dark_oak_trapdoor,48
jungle_fence_gate,45
crafting_table,42
dark_oak_slab,42
stone_brick_stairs,40
quartz_slab,36
diorite_slab,36
observer,36
raw_gold_block,33
brick_stairs,32
stone,32
oak_button,32
smooth_stone,32
polished_granite,28
quartz_block,27
oak_sign,24
stone_slab,24
orange_stained_glass,24
tinted_glass,24
white_stained_glass,24
spruce_sign,24
dark_oak_stairs,24
oak_fence_gate,23
jungle_fence,21
white_dye,20
mangrove_wood,20
polished_andesite,20
lapis_block,20
iron_shovel,19
polished_deepslate_wall,18
polished_andesite_stairs,16
polished_diorite_stairs,16
dark_oak_wood,16
player_head,16
light_gray_stained_glass_pane,16
shulker_box,15
mossy_stone_bricks,15
iron_axe,15
lantern,14
shears,14
dark_oak_button,13
brick_slab,12
flower_pot,12
warped_trapdoor,12
mangrove_trapdoor,12
cobbled_deepslate_slab,12
hay_block,11
bread,11
iron_pickaxe,9
comparator,9
spruce_button,9
diamond_block,9
minecart,9
orange_dye,8
warped_planks,8
bow,8
granite_stairs,8
mud_brick_stairs,8
dispenser,8
hopper_minecart,8
composter,7
yellow_dye,7
diamond_pickaxe,7
mangrove_fence,6
furnace,6
granite_wall,6
mud_brick_slab,6
iron_sword,5
diamond_chestplate,4
stripped_dark_oak_wood,4
stripped_mangrove_wood,4
diamond_sword,4
diamond_shovel,3
diamond_helmet,3
moss_carpet,3
iron_trapdoor,3
campfire,3
iron_block,3
diamond_boots,3
shield,3
stone_sword,3
nautilus_shell,2
note_block,2
dropper,2
iron_helmet,2
fishing_rod,2
diamond_leggings,2
diamond_axe,2
lime_bed,2
iron_leggings,2
iron_hoe,2
jukebox,1
stone_pickaxe,1
enchanted_book,1
oak_chest_boat,1
black_bed,1
flint_and_steel,1
stonecutter,1
anvil,1
stone_shovel,1
conduit,1
iron_boots,1
stone_hoe,1
smoker,1
wooden_pickaxe,1
iron_chestplate,1
stone_button,1
bucket,1
stone_axe,1
oak_boat,1
white_wool,1
carrot_on_a_stick,1
air,0
