Stat Name,Value
aviate_one_cm,53789807
fly_one_cm,31295078
sprint_one_cm,23947587
walk_one_cm,17590885
play_time,8845711
total_world_time,8845711
fall_one_cm,4301879
horse_one_cm,3495679
crouch_one_cm,3029528
time_since_death,1827368
walk_on_water_one_cm,993082
walk_under_water_one_cm,965535
sneak_time,681890
swim_one_cm,605705
boat_one_cm,445138
climb_one_cm,410485
damage_dealt,165286
jump,143014
pig_one_cm,119346
time_since_rest,70142
damage_taken,50583
open_barrel,8808
damage_blocked_by_shield,8520
open_chest,6037
mob_kills,2649
open_shulker_box,2275
interact_with_crafting_table,822
drop,770
minecart_one_cm,730
interact_with_furnace,355
damage_dealt_resisted,315
sleep_in_bed,215
leave_game,188
animals_bred,176
inspect_hopper,146
interact_with_smoker,111
open_enderchest,95
inspect_dispenser,68
talked_to_villager,36
interact_with_anvil,34
pot_flower,31
enchant_item,30
deaths,28
traded_with_villager,27
bell_ring,12
inspect_dropper,11
interact_with_stonecutter,9
interact_with_grindstone,9
interact_with_blast_furnace,8
play_record,6
play_noteblock,6
interact_with_lectern,5
fish_caught,5
damage_resisted,4
tune_noteblock,2
interact_with_brewingstand,2
raid_win,1
interact_with_smithing_table,1
player_kills,1
