Stat Name,Value
arrow,704
potato,343
wheat_seeds,340
ender_pearl,265
dirt,238
red_tulip,228
bone,183
yellow_wool,148
yellow_stained_glass,142
cactus,136
cobblestone,133
white_wool,129
rotten_flesh,124
cobbled_deepslate,94
cooked_mutton,82
bow,81
lime_wool,81
grass_block,77
string,75
redstone,75
lapis_lazuli,72
kelp,69
andesite,68
redstone_block,67
raw_iron,60
spruce_stairs,59
raw_iron_block,52
porkchop,45
bread,40
spruce_slab,38
iron_ingot,38
cobblestone_slab,37
diamond,35
cooked_beef,35
lime_dye,34
end_stone,33
coal,31
black_wool,31
spruce_trapdoor,30
oxidized_cut_copper,29
oak_planks,27
stick,27
mossy_cobblestone,26
stripped_jungle_log,25
redstone_torch,24
warped_trapdoor,22
spider_eye,22
moss_block,20
oak_sapling,20
diorite,19
pumpkin,18
oak_log,17
dandelion,17
jungle_planks,15
pointed_dripstone,15
glass_bottle,14
yellow_concrete_powder,14
gunpowder,14
obsidian,12
deepslate_redstone_ore,12
netherrack,11
cooked_salmon,10
green_dye,10
birch_sapling,10
spruce_planks,8
diamond_pickaxe,8
gravel,8
dark_oak_fence,7
dripstone_block,7
sandstone,7
repeater,7
poppy,7
poisonous_potato,7
leather,6
spruce_sapling,6
lightning_rod,6
flint,6
amethyst_shard,6
basalt,6
dark_oak_slab,5
golden_helmet,5
orange_tulip,5
apple,5
honey_bottle,5
coarse_dirt,5
glow_ink_sac,4
lime_stained_glass,4
chain,4
golden_chestplate,4
hopper,4
end_stone_bricks,4
iron_shovel,4
oak_slab,4
music_disc_cat,4
yellow_candle,4
shield,4
crafting_table,3
sand,3
leather_boots,3
leather_leggings,3
beef,3
golden_boots,3
player_head,3
iron_boots,3
beetroot_seeds,3
sweet_berries,3
oak_trapdoor,3
iron_pickaxe,3
pufferfish,3
oxeye_daisy,3
golden_carrot,3
diamond_axe,3
diamond_shovel,3
diamond_leggings,3
iron_leggings,3
raw_copper,3
diamond_block,2
potion,2
diamond_sword,2
stone_bricks,2
music_disc_13,2
golden_leggings,2
crossbow,2
saddle,2
ghast_tear,2
enchanted_book,2
granite,2
deepslate,2
cornflower,2
birch_log,2
oak_leaves,2
water_bucket,2
torch,2
ender_chest,2
golden_sword,2
diamond_boots,2
calcite,2
dark_oak_trapdoor,1
lever,1
music_disc_far,1
coal_ore,1
golden_apple,1
name_tag,1
peony,1
iron_horse_armor,1
mutton,1
music_disc_otherside,1
white_candle,1
leather_chestplate,1
shulker_box,1
netherite_leggings,1
flint_and_steel,1
elytra,1
leather_helmet,1
jungle_sapling,1
blue_wool,1
white_bed,1
egg,1
birch_leaves,1
purpur_slab,1
music_disc_pigstep,1
diamond_helmet,1
stone_sword,1
diamond_hoe,1
stone,1
yellow_bed,1
baked_potato,1
cut_sandstone,1
white_tulip,1
chest,1
firework_rocket,1
sculk_vein,1
iron_axe,1
tuff,1
diamond_chestplate,1
iron_chestplate,1
light_gray_bed,1
