Stat Name,Value
dirt,8025
stone,7540
grass_block,6417
sand,5351
deepslate,3699
andesite,2145
spruce_log,1900
cobblestone,1717
oak_log,1712
oak_leaves,1653
mangrove_leaves,1609
netherrack,1499
birch_log,1357
sandstone,1108
mud,1067
dark_oak_log,945
jungle_log,943
short_grass,909
gravel,810
deepslate_redstone_ore,696
potatoes,667
tuff,631
clay,576
sculk,564
wheat,496
deepslate_iron_ore,486
diorite,478
moss_block,456
coal_ore,443
cobbled_deepslate,430
oak_planks,426
granite,415
end_stone,400
copper_ore,351
iron_ore,317
mangrove_roots,307
deepslate_gold_ore,293
shulker_box,272
redstone_wire,269
oak_stairs,246
podzol,246
dark_oak_planks,233
basalt,227
tall_grass,216
dirt_path,213
stripped_dark_oak_log,184
red_mushroom_block,161
pointed_dripstone,157
mangrove_log,152
yellow_stained_glass,129
deepslate_diamond_ore,125
blackstone,123
spruce_slab,122
azalea_leaves,114
nether_quartz_ore,113
carrots,105
packed_mud,98
seagrass,94
crafting_table,93
spruce_stairs,91
rail,87
brown_mushroom_block,87
dripstone_block,87
chest,87
spruce_trapdoor,86
calcite,83
sticky_piston,82
sculk_vein,76
farmland,75
spruce_planks,75
torch,74
vine,73
oak_wood,73
yellow_wool,70
mossy_cobblestone,69
scaffolding,67
polished_blackstone_bricks,66
fire,65
dandelion,64
jungle_leaves,63
jungle_planks,62
spruce_wood,58
bamboo,57
spruce_leaves,56
tall_seagrass,56
birch_leaves,56
stripped_spruce_log,56
cactus,52
mangrove_planks,51
acacia_log,49
deepslate_lapis_ore,46
dark_oak_fence,46
yellow_concrete,45
observer,45
obsidian,44
muddy_mangrove_roots,43
orange_tulip,43
stripped_oak_wood,41
iron_block,40
flowering_azalea_leaves,39
prismarine,39
oak_trapdoor,38
spruce_fence,37
melon,36
deepslate_bricks,36
dark_oak_stairs,36
stripped_jungle_log,36
bookshelf,34
azure_bluet,33
mud_bricks,32
cobbled_deepslate_wall,29
stone_bricks,26
red_tulip,26
barrel,25
dark_oak_trapdoor,24
gold_ore,24
oak_sapling,24
yellow_carpet,24
sculk_sensor,24
repeater,23
polished_diorite,23
black_carpet,23
candle,23
cut_sandstone,21
moss_carpet,21
lilac,21
deepslate_copper_ore,21
jungle_wood,20
white_wool,20
end_rod,20
dark_oak_leaves,19
hopper,19
pumpkin,19
mushroom_stem,19
bricks,18
ladder,18
lever,18
spruce_fence_gate,18
cobblestone_stairs,18
oak_slab,17
cracked_polished_blackstone_bricks,17
stripped_oak_log,17
yellow_bed,17
player_head,16
wall_torch,16
powered_rail,16
beetroots,16
deepslate_brick_stairs,16
diorite_slab,16
sugar_cane,15
shroomlight,15
stone_brick_stairs,15
redstone_ore,14
infested_stone,14
soul_soil,14
purpur_block,14
lantern,14
white_tulip,14
sandstone_slab,13
cobblestone_slab,13
purpur_pillar,13
stripped_spruce_wood,13
fern,13
gold_block,13
flower_pot,13
oxeye_daisy,13
poppy,13
honeycomb_block,13
andesite_slab,13
pink_tulip,12
deepslate_brick_wall,12
ender_chest,12
lily_of_the_valley,12
brown_mushroom,12
end_stone_bricks,12
glass_pane,11
cornflower,11
peony,11
cobbled_deepslate_slab,11
smooth_stone,11
redstone_wall_torch,11
mangrove_slab,11
iron_bars,10
ochre_froglight,10
blue_orchid,10
infested_deepslate,10
jack_o_lantern,10
lapis_ore,10
coarse_dirt,9
