Stat Name,Value
dirt,11895
cobblestone,6157
sand,5392
wheat_seeds,4816
stone,3779
cobbled_deepslate,3609
grass_block,3468
redstone,3314
potato,2473
andesite,2429
clay_ball,2249
spruce_log,1999
oak_log,1804
deepslate,1580
oak_leaves,1563
mangrove_leaves,1521
birch_log,1359
netherrack,1355
raw_copper,1191
arrow,1165
bone,1117
sandstone,1098
mud,1033
dandelion,1014
dark_oak_log,990
jungle_log,940
moss_block,875
tuff,857
end_stone,856
gravel,829
raw_iron,810
bamboo,736
stick,695
coal,679
baked_potato,595
wheat,575
torch,574
oak_planks,549
diorite,518
red_tulip,511
pink_tulip,495
granite,477
oak_sapling,469
carrot,440
ender_pearl,412
black_wool,387
spruce_fence,379
blue_orchid,342
pointed_dripstone,325
raw_gold,320
lapis_lazuli,314
mangrove_roots,304
white_tulip,288
spruce_stairs,281
spruce_slab,276
shulker_box,276
birch_sapling,268
scaffolding,265
glass_bottle,255
podzol,245
oak_stairs,244
dark_oak_planks,237
kelp,235
rotten_flesh,234
white_wool,228
quartz,217
bone_meal,215
basalt,207
yellow_wool,206
potion,201
diamond,200
cactus,190
orange_tulip,189
oxeye_daisy,185
melon_slice,180
stripped_dark_oak_log,180
allium,171
spruce_sapling,170
iron_ore,165
short_grass,161
poppy,155
azure_bluet,152
mangrove_log,152
deepslate_iron_ore,147
spruce_planks,147
yellow_stained_glass,146
copper_ore,139
green_dye,136
cornflower,133
obsidian,132
moss_carpet,126
lily_of_the_valley,126
redstone_block,125
blackstone,117
deepslate_redstone_ore,116
stripped_spruce_log,111
barrel,110
spruce_trapdoor,109
azalea_leaves,107
rail,98
dark_oak_stairs,98
crafting_table,97
dripstone_block,97
packed_mud,92
firework_rocket,91
dark_oak_fence,90
bread,87
spruce_fence_gate,87
bow,86
chest,83
sticky_piston,83
cooked_mutton,82
polished_blackstone_bricks,80
calcite,78
book,78
emerald,77
mossy_cobblestone,72
dark_oak_sapling,72
peony,71
lime_stained_glass,71
coal_ore,70
dark_oak_trapdoor,70
oak_wood,68
string,67
gunpowder,63
sculk,61
jungle_planks,61
player_head,61
spruce_wood,58
deepslate_gold_ore,57
dark_oak_fence_gate,57
apple,55
shulker_shell,55
candle,54
sculk_vein,53
beetroot_seeds,51
jack_o_lantern,50
red_mushroom,50
acacia_log,49
mangrove_planks,49
redstone_torch,47
stripped_jungle_log,47
