Stat Name,Value
diamond_pickaxe,23315
diamond_shovel,19167
diamond_axe,7917
dirt,7534
cobblestone,5161
iron_shovel,3860
sand,3843
iron_axe,3732
shears,2725
andesite,2443
iron_pickaxe,2395
stone,2097
torch,1779
bone_meal,1616
diamond_sword,1547
baked_potato,1396
grass_block,1383
firework_rocket,1372
oak_planks,1354
cobbled_deepslate,1115
netherrack,1064
oak_leaves,948
spruce_stairs,940
iron_sword,927
tuff,925
spruce_fence,885
redstone,870
end_stone,811
dark_oak_planks,810
potato,783
spruce_slab,740
mossy_cobblestone,710
dark_oak_log,706
deepslate_bricks,688
mangrove_leaves,681
diamond_hoe,675
deepslate,668
bucket,656
water_bucket,647
oak_wood,631
wheat_seeds,608
moss_block,591
sandstone_slab,518
iron_hoe,500
coarse_dirt,481
mud,476
packed_mud,457
cobbled_deepslate_wall,442
oak_log,405
yellow_concrete,400
spruce_fence_gate,396
spruce_trapdoor,394
dark_oak_stairs,393
jungle_wood,381
diorite,379
jungle_planks,377
glass_bottle,377
potion,354
air,354
rail,337
scaffolding,335
oak_stairs,334
stripped_dark_oak_log,328
black_wool,313
jungle_log,304
mangrove_planks,303
honeycomb_block,286
clay,284
shulker_box,281
spruce_log,265
spruce_wood,239
oak_sapling,236
spruce_planks,228
gravel,212
black_carpet,211
stone_sword,211
bow,204
dark_oak_trapdoor,203
polished_diorite,199
sandstone,195
short_grass,195
cobblestone_slab,193
yellow_wool,192
deepslate_brick_stairs,191
carrot,182
granite,182
jungle_slab,168
barrel,161
oak_trapdoor,158
stone_bricks,157
mud_bricks,149
chest,147
dark_oak_fence,147
shield,146
oak_slab,145
stripped_spruce_log,141
andesite_slab,141
stone_axe,140
sticky_piston,136
stone_shovel,133
lime_stained_glass,131
jack_o_lantern,128
calcite,126
sandstone_stairs,126
bricks,122
deepslate_brick_wall,120
dripstone_block,120
mangrove_slab,117
cooked_porkchop,114
stone_hoe,114
crafting_table,114
azalea_leaves,112
spruce_sapling,108
andesite_wall,103
stone_pickaxe,100
podzol,94
dark_oak_slab,89
birch_planks,88
yellow_stained_glass,87
polished_diorite_slab,86
chain,86
hopper,86
vine,85
white_wool,84
oak_fence,84
cobblestone_stairs,83
repeater,82
melon_slice,81
observer,78
dark_oak_fence_gate,77
diorite_wall,76
lever,75
ladder,72
dark_oak_sapling,71
cobblestone_wall,71
jungle_trapdoor,70
light_gray_stained_glass,66
golden_carrot,66
lime_wool,65
jungle_stairs,64
basalt,62
powered_rail,60
white_stained_glass_pane,60
blue_orchid,59
cobbled_deepslate_stairs,59
ender_pearl,56
piston,52
birch_sapling,52
peony,51
polished_deepslate_wall,49
deepslate_brick_slab,47
birch_wood,46
glow_berries,45
acacia_fence_gate,45
moss_carpet,44
flower_pot,44
redstone_torch,44
jungle_fence_gate,43
birch_log,43
ochre_froglight,43
honey_bottle,42
andesite_stairs,41
red_mushroom,40
mangrove_stairs,39
smooth_stone,38
light_gray_stained_glass_pane,37
obsidian,37
stripped_warped_stem,36
lime_carpet,35
iron_ore,35
mangrove_log,34
spruce_sign,34
deepslate_diamond_ore,33
polished_blackstone_bricks,33
oak_button,31
stripped_jungle_log,31
diorite_stairs,30
orange_stained_glass_pane,30
iron_bars,30
oxidized_cut_copper,30
azure_bluet,29
jungle_sapling,29
jungle_fence,29
oak_sign,29
smooth_stone_slab,28
prismarine,26
egg,26
sculk,26
polished_diorite_stairs,25
sugar_cane,24
stone_slab,24
sweet_berries,24
kelp,24
lantern,23
bread,23
rose_bush,23
cooked_beef,23
coal_ore,23
oak_fence_gate,22
flowering_azalea_leaves,20
stone_stairs,20
stripped_oak_wood,20
deepslate_iron_ore,19
bamboo,19
mangrove_roots,19
mangrove_wood,19
stripped_spruce_wood,19
tinted_glass,18
polished_andesite_stairs,18
twisting_vines,18
warped_fence,18
deepslate_tile_wall,18
quartz_slab,18
dark_oak_wood,18
string,18
apple,18
yellow_bed,18
diorite_slab,17
dandelion,17
allium,17
beetroot_seeds,17
dispenser,16
polished_blackstone_wall,16
lilac,16
brick_stairs,16
oxeye_daisy,15
jungle_sign,15
pink_tulip,15
campfire,14
warped_trapdoor,14
warped_fence_gate,14
cobbled_deepslate_slab,14
flowering_azalea,14
comparator,14
wooden_pickaxe,13
granite_stairs,13
carrot_on_a_stick,13
birch_leaves,13
loom,13
white_dye,13
white_tulip,12
polished_granite,12
shroomlight,12
mangrove_propagule,12
rotten_flesh,11
blackstone,11
stripped_oak_log,11
dark_oak_button,11
stone_brick_stairs,11
furnace,11
lightning_rod,11
lectern,11
cornflower,11
note_block,11
mangrove_trapdoor,11
hopper_minecart,10
red_tulip,10
poppy,9
diamond_boots,9
brown_mushroom,9
purpur_pillar,9
spruce_button,9
stonecutter,9
lime_bed,9
mossy_stone_bricks,8
mud_brick_stairs,8
glow_ink_sac,8
birch_trapdoor,8
bee_nest,8
soul_soil,8
iron_trapdoor,8
granite_wall,8
polished_andesite,8
iron_leggings,7
elytra,7
orange_tulip,7
redstone_block,7
azalea,7
bookshelf,7
mangrove_fence,6
warped_stairs,6
diamond_leggings,6
gray_carpet,6
warped_planks,6
brick_slab,6
honey_block,6
white_stained_glass,6
melon_seeds,6
purpur_block,6
cracked_polished_blackstone_bricks,6
fishing_rod,6
lily_of_the_valley,5
diamond_chestplate,5
warped_slab,5
pointed_dripstone,5
jukebox,5
axolotl_bucket,5
stripped_dark_oak_wood,4
stripped_mangrove_wood,4
raw_gold_block,4
iron_boots,4
birch_boat,4
warped_roots,4
cookie,4
purpur_slab,4
player_head,4
iron_helmet,4
warped_fungus,4
music_disc_otherside,4
diamond_helmet,4
composter,3
big_dripleaf,3
flint_and_steel,3
stripped_birch_wood,3
minecart,3
copper_ore,3
stone_button,3
polished_andesite_slab,3
acacia_log,3
anvil,3
cracked_stone_bricks,3
iron_chestplate,3
nether_wart_block,2
iron_block,2
conduit,2
written_book,2
end_rod,2
dropper,2
deepslate_lapis_ore,2
iron_door,2
ender_chest,2
dried_kelp_block,2
cut_sandstone,2
acacia_sapling,2
stripped_mangrove_log,2
red_stained_glass,2
spore_blossom,2
warped_wart_block,2
birch_sign,2
cake,2
milk_bucket,2
brown_carpet,2
grindstone,2
oak_door,2
stone_brick_slab,2
mud_brick_slab,2
painting,2
white_banner,2
soul_sand,1
music_disc_pigstep,1
warped_stem,1
leather_boots,1
bone_block,1
polished_blackstone_brick_wall,1
music_disc_far,1
emerald_ore,1
brick_wall,1
rooted_dirt,1
oak_chest_boat,1
golden_boots,1
black_bed,1
smoker,1
