Stat Name,Value
spruce_planks,8872
bone_meal,7521
stone_bricks,5716
oak_planks,4292
dark_oak_planks,3820
copper_ingot,3395
quartz_block,3355
torch,3320
iron_ingot,3208
packed_mud,3174
iron_nugget,3066
moss_carpet,3049
glass,2721
stick,2652
raw_copper,2174
spruce_trapdoor,2144
deepslate_bricks,1974
stone_brick_stairs,1928
polished_andesite,1844
polished_deepslate,1802
mangrove_planks,1740
deepslate_tile_slab,1692
mud_bricks,1668
deepslate_brick_stairs,1536
wheat,1507
white_stained_glass,1232
cobblestone_slab,1092
spruce_slab,1056
light_blue_concrete_powder,1040
baked_potato,1035
dark_oak_stairs,1000
dark_oak_trapdoor,960
lapis_lazuli,936
paper,864
white_dye,810
birch_planks,808
dark_oak_slab,800
spruce_stairs,780
deepslate_tiles,756
brown_concrete_powder,728
oak_trapdoor,664
stone_brick_slab,660
stone_slab,654
stone_button,633
diamond,630
spruce_fence,522
redstone_block,516
stone_stairs,504
brick,496
blue_dye,485
candle,481
mossy_cobblestone,459
rail,448
spruce_sign,447
yellow_stained_glass,432
coarse_dirt,416
dark_oak_fence,414
light_blue_dye,412
smooth_stone,387
gold_ingot,380
quartz_bricks,372
spruce_button,356
barrel,350
purple_dye,348
blue_stained_glass_pane,336
yellow_stained_glass_pane,336
stone,331
acacia_planks,328
polished_andesite_slab,324
oak_slab,324
red_stained_glass_pane,320
dark_oak_wood,300
purple_candle,296
cobblestone_stairs,288
mud_brick_stairs,272
white_stained_glass_pane,272
gray_concrete_powder,272
white_concrete_powder,264
mangrove_trapdoor,264
mangrove_slab,252
mud_brick_wall,252
lapis_block,252
red_dye,249
green_dye,246
chain,244
raw_copper_block,242
scaffolding,240
chest,238
cooked_beef,236
andesite_slab,228
book,224
mangrove_fence,216
copper_block,216
light_blue_stained_glass,208
lantern,204
birch_slab,192
polished_andesite_stairs,162
cyan_carpet,162
light_blue_stained_glass_pane,160
polished_blackstone,148
dark_oak_sign,147
smooth_quartz,146
green_terracotta,144
terracotta,132
clay,132
light_blue_carpet,129
blue_stained_glass,128
red_stained_glass,128
green_concrete_powder,120
brown_dye,113
polished_diorite_slab,108
yellow_dye,108
redstone,108
lime_dye,107
light_blue_candle,104
mud_brick_slab,102
hay_block,101
flower_pot,100
dark_oak_button,98
diamond_block,98
cyan_stained_glass,96
anvil,93
cauldron,91
sugar,91
redstone_torch,87
cobblestone_wall,84
orange_stained_glass_pane,80
shears,73
mangrove_stairs,72
red_terracotta,72
cyan_concrete_powder,72
sandstone,71
mangrove_fence_gate,71
black_dye,69
bricks,68
light_gray_carpet,66
polished_granite,65
polished_diorite,64
oak_fence_gate,64
mossy_stone_bricks,64
warped_hyphae,64
smooth_sandstone,64
andesite_wall,60
deepslate_brick_slab,60
cyan_dye,60
iron_block,57
mangrove_button,56
bookshelf,55
