Stat Name,Value
aviate_one_cm,220387503
fly_one_cm,66034663
walk_one_cm,61385925
sprint_one_cm,51753849
horse_one_cm,42606056
play_time,27479917
total_world_time,27479917
crouch_one_cm,11284646
fall_one_cm,6499857
walk_under_water_one_cm,2975759
time_since_death,2722491
sneak_time,2649743
climb_one_cm,1321785
walk_on_water_one_cm,1185461
boat_one_cm,938863
swim_one_cm,705819
damage_dealt,526800
jump,282538
damage_taken,71173
strider_one_cm,54869
time_since_rest,22693
mob_kills,21099
open_barrel,18173
open_shulker_box,12845
open_chest,11292
damage_blocked_by_shield,7920
pig_one_cm,5318
interact_with_crafting_table,2396
drop,1826
open_enderchest,1755
interact_with_furnace,1573
sleep_in_bed,1560
damage_dealt_resisted,1164
leave_game,654
interact_with_stonecutter,457
damage_resisted,409
enchant_item,227
damage_absorbed,218
interact_with_anvil,216
animals_bred,208
inspect_hopper,203
inspect_dispenser,194
interact_with_grindstone,148
interact_with_brewingstand,107
pot_flower,97
interact_with_smoker,73
interact_with_blast_furnace,59
interact_with_smithing_table,49
interact_with_lectern,38
player_kills,33
play_noteblock,27
inspect_dropper,18
deaths,17
interact_with_beacon,12
interact_with_loom,12
tune_noteblock,11
talked_to_villager,10
use_cauldron,5
play_record,4
fill_cauldron,3
fish_caught,3
interact_with_cartography_table,2
clean_banner,1
raid_trigger,1
