Stat Name,Value
ender_pearl,3903
netherrack,2540
dirt,800
wheat_seeds,779
arrow,722
moss_block,683
deepslate,506
ice,449
andesite,390
jungle_fence_gate,384
moss_carpet,334
basalt,333
bone,310
torch,275
firework_rocket,258
mangrove_leaves,253
raw_gold,192
gravel,191
cobblestone,164
tuff,143
obsidian,137
stone,133
scaffolding,130
green_concrete_powder,120
cooked_beef,113
gold_ingot,106
rotten_flesh,102
light_blue_concrete_powder,101
cobbled_deepslate,99
red_wool,97
gray_concrete,93
diamond,92
stick,86
dandelion,82
azure_bluet,81
granite,81
spruce_fence,75
blackstone,72
muddy_mangrove_roots,72
egg,67
birch_slab,65
oak_sapling,65
light_blue_concrete,65
deepslate_tile_slab,64
dark_oak_log,64
smooth_quartz_slab,64
gold_nugget,60
spruce_trapdoor,60
iron_block,60
oak_planks,59
cobblestone_slab,56
string,54
oak_log,52
yellow_wool,52
smooth_stone,51
oak_leaves,51
sand,50
purpur_block,50
yellow_dye,50
stone_slab,49
grass_block,49
yellow_concrete_powder,48
white_concrete_powder,48
smooth_quartz,48
lapis_lazuli,47
mangrove_propagule,46
hay_block,45
feather,44
polished_andesite,44
chicken,43
acacia_planks,42
player_head,41
ochre_froglight,40
flowering_azalea_leaves,40
sea_pickle,37
cooked_chicken,36
calcite,35
birch_sapling,34
raw_copper,34
verdant_froglight,32
red_concrete_powder,32
brick,30
deepslate_brick_stairs,30
stone_bricks,29
bow,29
soul_sand,29
iron_ingot,28
poppy,28
wheat,27
smooth_basalt,26
warped_fungus,25
mangrove_log,25
gunpowder,25
polished_andesite_stairs,24
cyan_concrete_powder,24
apple,23
dripstone_block,21
azalea_leaves,20
green_dye,20
end_stone_bricks,19
coal,19
sugar_cane,18
tnt,18
stripped_mangrove_wood,17
jungle_fence,17
leather,17
chain,17
light_gray_dye,17
beef,16
packed_ice,16
polished_diorite_slab,16
nether_gold_ore,16
yellow_candle,16
ink_sac,15
birch_leaves,15
brown_mushroom,15
kelp,14
quartz,14
sandstone,13
glow_ink_sac,12
clay_ball,12
diamond_pickaxe,12
golden_chestplate,12
oxeye_daisy,12
lead,12
spruce_button,11
golden_carrot,11
diamond_axe,11
bucket,11
blaze_rod,11
nether_quartz_ore,11
crafting_table,10
spruce_planks,10
magma_block,10
stone_sword,10
cornflower,10
white_tulip,10
acacia_leaves,10
stripped_mangrove_log,9
birch_planks,9
coal_ore,8
golden_boots,8
smooth_quartz_stairs,8
diamond_sword,8
copper_ore,8
mud_bricks,8
orange_tulip,8
elytra,8
rose_bush,8
pink_tulip,8
deepslate_tile_wall,8
water_bucket,8
poisonous_potato,8
leather_chestplate,7
diamond_helmet,7
purpur_pillar,7
diamond_leggings,7
mossy_stone_bricks,7
diamond_boots,7
podzol,6
potion,6
snow_block,6
peony,6
red_tulip,6
mangrove_roots,6
dark_oak_fence,5
oak_sign,5
pointed_dripstone,5
golden_helmet,5
tropical_fish,5
crossbow,5
jungle_slab,5
paper,5
birch_log,5
azalea,5
ender_chest,5
diamond_chestplate,5
cooked_porkchop,4
red_mushroom,4
jungle_log,4
leather_boots,4
twisting_vines,4
iron_ore,4
lilac,4
amethyst_block,4
fire_charge,4
flint_and_steel,4
birch_sign,4
purpur_stairs,4
pink_dye,4
netherite_pickaxe,4
dark_oak_sign,4
diamond_shovel,4
copper_ingot,4
diorite,4
stripped_acacia_log,4
diamond_block,3
iron_nugget,3
netherite_sword,3
diorite_wall,3
deepslate_redstone_ore,3
white_banner,3
torchflower_seeds,3
purple_glazed_terracotta,3
mutton,3
magenta_stained_glass,3
splash_potion,3
packed_mud,3
snout_armor_trim_smithing_template,3
white_bed,3
nether_bricks,3
lily_of_the_valley,3
spruce_sign,3
glistering_melon_slice,3
chainmail_boots,3
stripped_spruce_log,3
shield,3
glass_bottle,2
black_bed,2
fishing_rod,2
name_tag,2
large_amethyst_bud,2
nether_star,2
dark_oak_sapling,2
cracked_polished_blackstone_bricks,2
vine,2
andesite_wall,2
pearlescent_froglight,2
cactus,2
spruce_log,2
magma_cream,2
clay,2
wooden_hoe,2
spider_eye,2
black_wool,2
baked_potato,2
flint,2
coast_armor_trim_smithing_template,2
white_stained_glass_pane,2
amethyst_shard,2
chiseled_stone_bricks,2
chest,2
iron_axe,2
filled_map,2
white_stained_glass,2
iron_sword,1
dark_oak_slab,1
crafter,1
cracked_stone_bricks,1
emerald,1
mangrove_stairs,1
white_wool,1
leather_leggings,1
stone_brick_stairs,1
orange_shulker_box,1
lava_bucket,1
brown_concrete_powder,1
mud,1
bricks,1
powder_snow_bucket,1
honeycomb,1
music_disc_13,1
spyglass,1
dune_armor_trim_smithing_template,1
netherite_axe,1
golden_axe,1
milk_bucket,1
orange_bed,1
oak_trapdoor,1
short_grass,1
mossy_stone_brick_stairs,1
saddle,1
rail,1
stone_button,1
bone_meal,1
phantom_membrane,1
netherite_shovel,1
blaze_powder,1
white_dye,1
spruce_slab,1
ghast_tear,1
polished_blackstone,1
purpur_slab,1
pufferfish,1
rib_armor_trim_smithing_template,1
spruce_sapling,1
netherite_upgrade_smithing_template,1
lantern,1
seagrass,1
cut_sandstone,1
carrot,1
chainmail_chestplate,1
deepslate_iron_ore,1
iron_hoe,1
orange_terracotta,1
beacon,1
light_blue_bed,1
