Stat Name,Value
grass_block,37465
stone,28247
deepslate,20604
dirt,18955
nether_quartz_ore,12300
netherrack,10378
gravel,7193
mud,6497
sand,5930
mangrove_leaves,5338
basalt,3487
oak_log,3405
spruce_log,3274
dark_oak_log,2838
wheat,2831
short_grass,2594
andesite,2591
coal_ore,2405
tuff,2331
oak_leaves,2134
coarse_dirt,2085
sandstone,1960
azalea_leaves,1890
smooth_stone_slab,1887
moss_block,1808
mangrove_log,1688
packed_ice,1640
mangrove_roots,1580
deepslate_redstone_ore,1539
birch_leaves,1468
scaffolding,1452
copper_ore,1362
diorite,1248
cobblestone,1120
cherry_leaves,1090
granite,982
birch_log,904
moss_carpet,812
terracotta,783
light_blue_concrete,741
flowering_azalea_leaves,704
gray_concrete,661
deepslate_gold_ore,612
stripped_dark_oak_log,591
light_blue_shulker_box,578
deepslate_diamond_ore,549
calcite,547
tall_grass,540
potatoes,533
cyan_bed,530
gray_concrete_powder,509
vine,505
deepslate_iron_ore,476
stone_bricks,449
shulker_box,446
magma_block,428
podzol,407
spruce_planks,381
mossy_cobblestone,378
sugar_cane,375
light_blue_bed,373
ender_chest,367
fern,361
white_stained_glass_pane,359
clay,354
pink_petals,346
iron_block,343
fire,324
brown_mushroom_block,321
stripped_spruce_log,318
obsidian,288
torch,286
iron_ore,269
deepslate_lapis_ore,264
cobblestone_slab,231
polished_deepslate,229
blackstone,222
stone_brick_slab,218
wall_torch,216
warped_stem,213
mud_bricks,211
nether_bricks,207
light_gray_bed,205
cobbled_deepslate,202
ice,202
orange_terracotta,191
muddy_mangrove_roots,190
stone_brick_stairs,185
ochre_froglight,180
bricks,179
amethyst_block,178
stripped_birch_log,177
spruce_leaves,172
large_fern,170
chest,169
dandelion,167
spruce_trapdoor,167
polished_andesite,158
deepslate_bricks,156
oak_planks,155
lime_shulker_box,151
glow_lichen,151
spruce_slab,150
polished_deepslate_slab,148
rooted_dirt,148
cherry_log,141
stone_slab,132
cocoa,132
spruce_wall_sign,131
cyan_shulker_box,129
oak_stairs,129
polished_blackstone_bricks,120
spruce_stairs,116
acacia_log,115
soul_sand,115
allium,115
mangrove_fence,114
packed_mud,113
orange_shulker_box,113
powder_snow,110
white_tulip,107
orange_bed,104
hay_block,101
amethyst_cluster,100
mangrove_planks,99
polished_andesite_stairs,99
red_shulker_box,98
purpur_block,96
crafting_table,94
spruce_fence,89
dirt_path,89
warped_wart_block,86
tall_seagrass,82
deepslate_tile_slab,77
brick_wall,77
deepslate_brick_stairs,76
pink_tulip,73
crimson_stem,73
