Stat Name,Value
dirt,34905
grass_block,26893
stone,25120
deepslate,13502
quartz,13483
wheat_seeds,8862
netherrack,8666
gravel,7284
mud,6250
nether_quartz_ore,6108
sand,6047
cobblestone,5807
redstone,4937
ender_pearl,4930
andesite,4808
moss_carpet,4778
wheat,4211
oak_log,4156
mangrove_leaves,4101
moss_block,3897
basalt,3466
spruce_log,3431
scaffolding,3077
dark_oak_log,2988
coal,2919
arrow,2874
raw_copper,2798
azalea_leaves,2766
bone,2663
lapis_lazuli,2654
tuff,2584
smooth_stone_slab,2323
coarse_dirt,2140
sandstone,1997
potato,1955
cobbled_deepslate,1882
oak_leaves,1843
mangrove_roots,1724
mangrove_log,1696
packed_ice,1529
verdant_froglight,1487
birch_leaves,1372
stick,1316
clay_ball,1284
deepslate_bricks,1230
stone_bricks,1223
torch,1219
diorite,1215
cherry_leaves,1083
coal_ore,1080
birch_log,1072
flowering_azalea_leaves,1053
ochre_froglight,1020
granite,1010
gray_concrete,987
copper_ore,963
diamond,921
light_blue_concrete,843
terracotta,776
deepslate_redstone_ore,745
sugar_cane,737
raw_gold,724
oak_sapling,706
raw_iron,699
fern,672
pink_petals,672
deepslate_brick_stairs,668
ice,665
magma_block,651
stone_brick_slab,649
short_grass,635
white_stained_glass_pane,632
stripped_dark_oak_log,629
bamboo,627
light_blue_shulker_box,579
mossy_cobblestone,567
spruce_planks,565
cobblestone_slab,547
cyan_bed,535
calcite,530
gray_concrete_powder,509
firework_rocket,506
lead,489
spruce_slab,485
vine,474
oak_planks,469
shulker_box,446
cooked_beef,428
obsidian,416
pearlescent_froglight,405
iron_block,402
magma_cream,395
cocoa_beans,389
polished_deepslate,387
jungle_fence_gate,384
light_blue_bed,380
rotten_flesh,378
ender_chest,376
stone_stairs,374
blackstone,373
brown_mushroom_block,365
deepslate_tiles,365
deepslate_tile_slab,334
deepslate_gold_ore,326
stone_brick_stairs,325
stripped_spruce_log,324
rail,324
oak_stairs,304
dandelion,299
quartz_bricks,276
honeycomb,265
deepslate_diamond_ore,265
podzol,263
polished_deepslate_slab,259
spruce_trapdoor,258
stone_slab,257
beef,252
deepslate_iron_ore,251
mangrove_propagule,249
packed_mud,247
rose_bush,246
amethyst_block,246
polished_andesite,245
baked_potato,236
gold_nugget,236
warped_stem,222
jungle_log,222
light_gray_bed,221
leather,216
bricks,215
mud_bricks,212
glass,206
dark_oak_slab,204
nether_bricks,203
spruce_sign,200
dark_oak_sapling,196
glow_lichen,194
chest,194
andesite_slab,192
stripped_birch_log,190
orange_terracotta,188
bow,186
warped_fungus,186
red_wool,185
allium,180
polished_andesite_slab,179
egg,179
bone_meal,178
white_wool,174
spruce_stairs,173
muddy_mangrove_roots,173
cyan_wool,172
yellow_wool,171
spruce_sapling,170
oak_trapdoor,168
spruce_fence,162
hay_block,161
rooted_dirt,160
birch_sapling,160
tipped_arrow,160
dark_oak_fence,157
white_stained_glass,153
player_head,153
cobbled_deepslate_slab,152
lime_shulker_box,151
smooth_stone,151
soul_sand,145
pointed_dripstone,144
polished_andesite_stairs,141
cherry_log,140
dark_oak_trapdoor,136
cactus,133
deepslate_lapis_ore,132
mangrove_fence,132
sea_pickle,132
cyan_shulker_box,129
amethyst_shard,129
stripped_dark_oak_wood,128
cracked_deepslate_tiles,128
dark_oak_stairs,127
green_concrete,126
acacia_log,124
azalea,121
cyan_concrete,121
polished_blackstone_bricks,120
white_concrete_powder,120
oxeye_daisy,119
deepslate_tile_wall,118
orange_shulker_box,114
crafting_table,110
azure_bluet,108
cobblestone_wall,107
orange_bed,106
white_tulip,104
andesite_wall,103
amethyst_cluster,103
cooked_chicken,101
light_blue_wool,101
purpur_block,100
red_shulker_box,98
mangrove_planks,98
flint,97
iron_ore,95
snowball,93
spruce_button,93
string,92
apple,91
spectral_arrow,91
deepslate_brick_wall,91
warped_wart_block,88
dripstone_block,86
iron_ingot,84
brick,83
barrel,83
mud_brick_wall,83
mangrove_trapdoor,81
cobblestone_stairs,80
birch_slab,79
pink_tulip,77
brick_wall,76
smooth_quartz,76
blaze_rod,75
oak_sign,75
flowering_azalea,74
gunpowder,73
crimson_stem,72
lantern,70
oak_fence_gate,70
gold_ingot,70
white_concrete,70
mud_brick_stairs,69
soul_soil,69
glass_bottle,69
glow_ink_sac,66
poppy,65
acacia_planks,64
cooked_mutton,64
wither_rose,64
candle,64
carrot,63
white_terracotta,62
smooth_basalt,62
painting,62
bucket,61
acacia_leaves,61
stripped_mangrove_log,59
iron_nugget,59
light_gray_wool,59
golden_carrot,58
seagrass,55
deepslate_brick_slab,55
mangrove_slab,54
mud_brick_slab,53
warped_hyphae,52
glow_berries,50
blue_bed,50
red_tulip,49
ink_sac,49
yellow_concrete,49
name_tag,48
cut_copper_stairs,47
feather,47
cobbled_deepslate_wall,46
dark_oak_planks,46
oak_fence,45
tropical_fish,44
purple_shulker_box,43
chicken,43
dark_oak_sign,42
brick_stairs,41
shulker_shell,41
mangrove_stairs,41
chiseled_quartz_block,41
polished_blackstone_slab,40
cyan_carpet,40
light_gray_stained_glass,39
acacia_slab,39
chiseled_stone_bricks,38
lever,37
dark_oak_leaves,37
orange_stained_glass_pane,35
mushroom_stem,34
cornflower,33
cherry_sapling,33
exposed_copper_bulb,32
mossy_stone_bricks,32
light_blue_glazed_terracotta,32
furnace,32
cooked_porkchop,32
white_shulker_box,31
warped_nylium,31
redstone_block,31
brown_concrete_powder,30
dead_bush,30
stone_button,30
mangrove_button,29
powder_snow_bucket,29
polished_diorite,29
powered_rail,29
diamond_pickaxe,28
hopper,28
red_nether_bricks,27
nether_brick,27
oak_boat,27
pitcher_plant,27
black_stained_glass,26
decorated_pot,26
anvil,26
lily_pad,25
light_blue_stained_glass,25
orange_tulip,25
cracked_polished_blackstone_bricks,25
andesite_stairs,25
stonecutter,24
elytra,24
cooked_salmon,24
golden_chestplate,23
diamond_block,23
stone_brick_wall,23
stripped_oak_log,23
birch_stairs,23
lily_of_the_valley,23
emerald,22
diamond_axe,22
shroomlight,21
iron_bars,21
crying_obsidian,21
brown_mushroom,21
blue_dye,21
quartz_block,21
green_wool,21
cyan_stained_glass,20
diorite_slab,20
mossy_cobblestone_slab,20
peony,20
slime_ball,19
lilac,19
granite_wall,19
flower_pot,19
lime_stained_glass_pane,19
end_stone_bricks,19
item_frame,19
orange_dye,19
nether_wart_block,19
blackstone_slab,18
torchflower,18
shield,18
tnt,18
stripped_mangrove_wood,18
acacia_sapling,18
pumpkin,18
end_rod,17
jungle_fence,17
white_bed,17
lightning_rod,16
bee_nest,16
spore_blossom,16
nether_brick_fence,16
ladder,16
warped_planks,16
nether_gold_ore,16
quartz_pillar,16
birch_planks,16
smooth_sandstone,16
red_concrete_powder,16
red_concrete,16
yellow_dye,15
smooth_quartz_stairs,15
twisting_vines,15
waxed_exposed_copper_bulb,15
stone_sword,14
paper,14
diamond_sword,14
golden_boots,14
kelp,14
potion,14
polished_granite,14
gold_block,14
big_dripleaf,13
exposed_cut_copper_stairs,13
dark_oak_hanging_sign,13
chain,13
blue_stained_glass_pane,13
melon_slice,13
pitcher_pod,13
raw_copper_block,13
lapis_ore,13
snow_block,13
gold_ore,13
diamond_shovel,12
red_carpet,12
acacia_trapdoor,12
deepslate_tile_stairs,12
stripped_acacia_log,12
torchflower_seeds,12
warped_roots,12
redstone_torch,12
charcoal,12
water_bucket,11
smooth_quartz_slab,11
leather_chestplate,11
soul_lantern,11
yellow_stained_glass_pane,11
polished_diorite_slab,11
filled_map,11
leather_boots,11
purpur_pillar,10
milk_bucket,10
golden_leggings,10
jungle_leaves,10
orange_stained_glass,10
golden_helmet,10
ancient_debris,10
light_gray_dye,10
poisonous_potato,10
black_wool,10
diamond_leggings,9
cyan_dye,9
diamond_boots,9
turtle_egg,9
copper_ingot,9
light_blue_stained_glass_pane,9
sponge,8
diamond_helmet,8
mangrove_fence_gate,8
blue_wool,8
repeater,8
crossbow,8
netherite_boots,8
mossy_cobblestone_stairs,8
spruce_leaves,8
oak_door,8
red_mushroom,8
white_banner,8
wither_skeleton_skull,8
mossy_cobblestone_wall,8
salmon,8
pufferfish,7
cauldron,7
acacia_stairs,7
light_gray_carpet,7
netherite_sword,7
polished_blackstone,7
purpur_stairs,7
sniffer_egg,7
netherite_helmet,7
dark_oak_button,7
chainmail_boots,7
shears,7
spyglass,7
chiseled_deepslate,7
black_shulker_box,7
spruce_hanging_sign,7
warped_trapdoor,7
oak_slab,7
stripped_crimson_stem,6
angler_pottery_sherd,6
leather_leggings,6
stripped_warped_stem,6
netherite_pickaxe,6
snort_pottery_sherd,6
birch_sign,6
beacon,6
weeping_vines,6
granite_stairs,6
polished_diorite_stairs,6
sculk_sensor,6
mangrove_door,6
netherite_leggings,6
ghast_tear,6
music_disc_cat,5
brown_carpet,5
large_amethyst_bud,5
dragon_head,5
diamond_chestplate,5
magenta_stained_glass,5
leather_helmet,5
polished_deepslate_stairs,5
jungle_slab,5
splash_potion,5
chainmail_leggings,5
iron_chestplate,5
composter,5
snow,5
iron_boots,5
spider_eye,5
yellow_candle,4
piston,4
fire_charge,4
lime_bed,4
goat_horn,4
black_bed,4
golden_apple,4
chainmail_chestplate,4
cobbled_deepslate_stairs,4
sculk_catalyst,4
pink_bed,4
brick_slab,4
beehive,4
black_dye,4
blackstone_stairs,4
quartz_stairs,4
sandstone_stairs,4
iron_sword,4
pink_dye,4
iron_trapdoor,4
iron_leggings,4
netherite_ingot,4
cyan_candle,4
polished_blackstone_button,4
fishing_rod,4
saddle,4
yellow_glazed_terracotta,4
birch_boat,4
iron_helmet,4
yellow_banner,3
blue_terracotta,3
shelter_pottery_sherd,3
flint_and_steel,3
mutton,3
light_blue_banner,3
oak_wood,3
netherite_shovel,3
netherite_axe,3
diorite_wall,3
glistering_melon_slice,3
soul_torch,3
nether_brick_slab,3
netherite_chestplate,3
loom,3
black_concrete_powder,3
plenty_pottery_sherd,3
chiseled_tuff,3
purple_glazed_terracotta,3
music_disc_13,3
spruce_boat,3
nether_star,3
book,3
dark_oak_fence_gate,3
enchanted_book,2
cherry_boat,2
jukebox,2
rabbit,2
snout_armor_trim_smithing_template,2
iron_shovel,2
mangrove_sign,2
purpur_slab,2
emerald_ore,2
grindstone,2
nether_brick_stairs,2
cherry_wood,2
gray_carpet,2
brewing_stand,2
acacia_sign,2
iron_door,2
chipped_anvil,2
glowstone_dust,2
red_terracotta,2
mourner_pottery_sherd,2
cartography_table,2
blue_carpet,2
tuff_bricks,2
waxed_exposed_copper_grate,2
light_blue_carpet,2
oak_button,2
green_stained_glass_pane,2
activator_rail,2
jungle_door,2
cod,2
black_terracotta,2
jungle_planks,2
spruce_fence_gate,2
clay,2
iron_axe,2
phantom_membrane,2
cherry_trapdoor,2
cut_sandstone,2
wooden_hoe,2
blast_furnace,2
campfire,2
smithing_table,1
sculk_shrieker,1
golden_axe,1
green_terracotta,1
honey_bottle,1
medium_amethyst_bud,1
iron_hoe,1
acacia_button,1
minecart,1
diamond_hoe,1
totem_of_undying,1
rib_armor_trim_smithing_template,1
comparator,1
brown_shulker_box,1
warped_fungus_on_a_stick,1
orange_carpet,1
smooth_sandstone_stairs,1
purple_stained_glass_pane,1
