Stat Name,Value
diamond_pickaxe,109109
diamond_shovel,78253
dirt,27973
diamond_axe,21851
grass_block,20434
diamond_hoe,9323
moss_block,8131
stone,7191
firework_rocket,6586
stone_bricks,6197
nether_quartz_ore,6100
cobblestone,6098
moss_carpet,5879
netherrack,4945
diamond_sword,4874
spruce_planks,3910
andesite,3841
deepslate_bricks,3722
shears,3556
torch,3388
stone_brick_stairs,3334
polished_andesite,3073
wheat_seeds,3052
scaffolding,3011
smooth_stone_slab,2961
spruce_trapdoor,2328
netherite_sword,2243
iron_shovel,2003
cobbled_deepslate,1990
deepslate_brick_stairs,1979
cooked_beef,1838
mud,1832
deepslate_tile_slab,1717
basalt,1668
azalea_leaves,1612
tuff,1492
stripped_dark_oak_log,1469
coarse_dirt,1440
polished_andesite_stairs,1364
cobblestone_slab,1328
quartz_bricks,1314
bone_meal,1282
stone_brick_slab,1248
gray_concrete_powder,1161
light_blue_wool,1120
deepslate_tiles,1105
spruce_stairs,1074
dark_oak_trapdoor,1030
white_stained_glass,1025
packed_mud,1025
dark_oak_stairs,1014
iron_hoe,1006
mud_bricks,970
bow,958
ochre_froglight,941
oak_leaves,894
glass,889
mangrove_log,855
coal_ore,843
gray_concrete,841
spruce_slab,832
deepslate,791
mangrove_planks,781
deepslate_redstone_ore,781
potato,780
iron_pickaxe,780
light_blue_concrete,753
light_blue_concrete_powder,707
iron_axe,701
oak_trapdoor,698
mossy_cobblestone,697
baked_potato,673
flowering_azalea_leaves,670
stone_slab,656
glass_bottle,647
potion,642
air,633
smooth_quartz,626
spruce_fence,625
brown_concrete_powder,609
birch_leaves,606
smooth_stone,606
dark_oak_slab,600
stripped_spruce_log,600
bucket,600
spruce_sign,594
light_blue_shulker_box,584
dark_oak_log,578
mangrove_leaves,574
polished_deepslate_slab,533
spruce_log,530
cyan_bed,529
stone_button,522
mud_brick_wall,518
chiseled_stone_bricks,516
iron_block,507
water_bucket,496
deepslate_brick_slab,493
polished_andesite_slab,492
stone_brick_wall,490
short_grass,470
rail,458
shulker_box,451
crossbow,450
cobblestone_wall,448
cobblestone_stairs,444
dark_oak_planks,442
stone_stairs,438
sandstone,429
spyglass,429
diorite,426
barrel,415
cobbled_deepslate_wall,413
calcite,405
iron_sword,393
light_blue_bed,379
ender_chest,373
mud_brick_stairs,369
spruce_button,368
fern,363
polished_deepslate,363
smooth_quartz_slab,338
yellow_stained_glass_pane,318
mangrove_trapdoor,306
white_wool,305
smooth_quartz_stairs,305
mangrove_fence,303
mangrove_slab,294
glow_ink_sac,290
deepslate_gold_ore,286
chest,279
magma_block,275
copper_ore,274
mangrove_roots,273
white_concrete_powder,272
deepslate_tile_wall,268
deepslate_diamond_ore,265
andesite_stairs,264
dark_oak_fence,262
purple_candle,260
verdant_froglight,257
andesite_wall,251
white_dye,240
oak_log,234
yellow_stained_glass,234
green_wool,232
andesite_slab,227
cyan_wool,225
light_gray_bed,216
lantern,200
deepslate_iron_ore,195
birch_slab,192
stone_sword,189
orange_terracotta,186
brown_mushroom_block,185
mud_brick_slab,184
dark_oak_sign,178
deepslate_tile_stairs,176
honeycomb,173
dark_oak_sapling,167
chain,166
cyan_carpet,166
blue_stained_glass_pane,160
acacia_planks,157
cherry_leaves,152
lime_shulker_box,151
birch_planks,150
quartz_pillar,148
amethyst_block,146
polished_diorite,140
stripped_mangrove_log,136
deepslate_lapis_ore,132
obsidian,129
cyan_shulker_box,129
deepslate_brick_wall,123
green_concrete,122
light_blue_carpet,119
spruce_sapling,117
flint_and_steel,116
light_blue_stained_glass_pane,116
light_blue_stained_glass,116
flower_pot,115
orange_shulker_box,114
stripped_birch_log,113
cocoa_beans,112
birch_log,112
crafting_table,112
green_terracotta,108
sand,108
orange_bed,106
brush,98
red_shulker_box,98
polished_diorite_slab,96
egg,96
anvil,95
cyan_stained_glass,92
dark_oak_button,88
mangrove_stairs,85
pink_petals,83
yellow_wool,81
smooth_basalt,81
chiseled_quartz_block,79
elytra,79
mangrove_fence_gate,79
painting,79
orange_stained_glass_pane,78
flowering_azalea,76
mangrove_button,76
oak_sign,76
mangrove_propagule,75
light_blue_candle,72
red_terracotta,72
dark_oak_wood,70
pearlescent_froglight,70
blackstone,68
oak_fence_gate,68
polished_blackstone_slab,67
packed_ice,67
iron_ore,67
bricks,65
cyan_concrete,63
granite,63
fishing_rod,63
cauldron,62
rose_bush,62
diorite_slab,61
polished_granite,61
mossy_stone_bricks,60
acacia_trapdoor,60
candle,59
decorated_pot,58
dark_oak_hanging_sign,57
white_stained_glass_pane,57
netherite_chestplate,57
powder_snow_bucket,56
stripped_dark_oak_wood,55
glow_lichen,55
blue_bed,54
shield,53
writable_book,51
amethyst_cluster,51
smooth_sandstone,51
bookshelf,51
cut_copper_stairs,49
oak_wood,49
jungle_log,48
cyan_concrete_powder,48
furnace,47
redstone,46
ladder,46
azalea,46
light_gray_carpet,45
yellow_concrete,45
allium,45
waxed_exposed_copper_bulb,45
soul_sand,44
purple_shulker_box,43
iron_trapdoor,42
white_concrete,42
purple_stained_glass_pane,42
pink_tulip,42
blue_carpet,41
soul_lantern,40
hopper,40
powered_rail,39
carrot,39
book,37
nether_brick_fence,36
campfire,35
mossy_cobblestone_slab,35
glow_berries,34
lever,33
stonecutter,33
diorite_stairs,32
golden_pickaxe,32
cyan_banner,32
sea_pickle,31
white_shulker_box,31
diorite_wall,30
cherry_wood,30
soul_soil,30
cobbled_deepslate_stairs,29
acacia_slab,29
oak_planks,28
white_carpet,28
yellow_carpet,27
warped_stem,27
spruce_fence_gate,27
item_frame,27
pitcher_pod,26
warped_nylium,26
polished_blackstone_bricks,26
smooth_sandstone_stairs,26
redstone_torch,26
polished_deepslate_stairs,25
gravel,25
torchflower_seeds,24
cyan_candle,24
lightning_rod,23
acacia_stairs,23
green_stained_glass_pane,22
black_terracotta,22
cobbled_deepslate_slab,22
polished_blackstone,22
vine,22
repeater,22
oak_fence,22
light_blue_banner,21
piston,21
birch_stairs,21
polished_diorite_stairs,21
seagrass,20
acacia_log,20
brick_stairs,20
sandstone_stairs,20
purple_stained_glass,20
birch_fence,19
pitcher_plant,19
dark_oak_fence_gate,19
dead_bush,18
acacia_sapling,18
player_head,18
wooden_pickaxe,17
green_carpet,17
mossy_stone_brick_wall,17
rooted_dirt,17
cooked_salmon,16
cherry_log,16
warped_planks,16
iron_bars,16
brown_carpet,16
waxed_exposed_copper_grate,16
chiseled_deepslate,15
white_tulip,15
light_gray_stained_glass,15
yellow_banner,15
redstone_block,15
polished_granite_stairs,14
oak_sapling,14
stripped_mangrove_wood,14
white_bed,14
bread,14
weeping_vines,13
oak_boat,13
podzol,13
gold_ore,13
end_rod,13
gray_carpet,13
mossy_cobblestone_wall,13
lapis_ore,13
gray_wool,13
waxed_exposed_cut_copper_stairs,13
red_carpet,13
tadpole_bucket,12
warped_hyphae,12
cherry_button,12
red_concrete,12
warped_wart_block,12
nether_brick_slab,12
shroomlight,12
orange_carpet,12
grindstone,12
blue_wool,12
cyan_dye,11
nether_wart_block,11
chiseled_bookshelf,11
cherry_sapling,11
gold_block,11
torchflower,11
blackstone_stairs,11
twisting_vines,11
goat_horn,11
glow_item_frame,11
lava_bucket,10
red_wool,10
diamond_chestplate,10
blue_terracotta,10
red_nether_bricks,10
red_stained_glass_pane,10
smooth_sandstone_slab,10
oxeye_daisy,10
spruce_hanging_sign,10
heavy_weighted_pressure_plate,10
magenta_carpet,9
mangrove_sign,9
acacia_fence_gate,9
dispenser,8
acacia_hanging_sign,8
acacia_sign,8
spruce_pressure_plate,8
mossy_stone_brick_slab,8
beehive,8
brick_wall,8
blue_dye,8
cake,8
crimson_nylium,8
brown_candle,8
dark_oak_door,8
azure_bluet,7
mossy_stone_brick_stairs,7
composter,7
golden_apple,7
mangrove_door,7
mossy_cobblestone_stairs,7
turtle_egg,7
sniffer_egg,7
crimson_stem,7
cornflower,7
black_shulker_box,7
polished_blackstone_pressure_plate,7
cactus,6
light_blue_dye,6
copper_trapdoor,6
warped_hanging_sign,6
yellow_dye,6
stripped_oak_log,6
crimson_hanging_sign,6
spruce_door,6
lime_dye,6
nether_brick_wall,6
fletching_table,6
sandstone_slab,6
crimson_roots,6
string,6
beacon,6
map,6
poppy,5
green_dye,5
warped_trapdoor,5
copper_bulb,5
bee_nest,5
nether_brick_stairs,5
mangrove_wood,5
cartography_table,5
hay_block,5
loom,5
blackstone_slab,5
cherry_trapdoor,5
granite_wall,5
yellow_glazed_terracotta,4
muddy_mangrove_roots,4
sugar_cane,4
netherite_helmet,4
lectern,4
pointed_dripstone,4
crimson_sign,4
ender_pearl,4
jungle_wood,4
smoker,4
polished_blackstone_button,4
chiseled_tuff,3
warped_sign,3
spruce_boat,3
acacia_fence,3
smithing_table,3
brewing_stand,3
cooked_porkchop,3
wither_skeleton_skull,3
birch_boat,3
music_disc_cat,3
spore_blossom,3
observer,3
comparator,3
birch_sign,3
hopper_minecart,3
golden_helmet,3
cherry_boat,3
purpur_block,3
tuff_bricks,2
lily_of_the_valley,2
dark_oak_leaves,2
netherite_boots,2
blast_furnace,2
armor_stand,2
honey_bottle,2
raw_gold_block,2
netherite_leggings,2
iron_door,2
granite_stairs,2
cooked_chicken,2
wooden_axe,2
oak_stairs,2
golden_leggings,2
crimson_fungus,2
lapis_block,2
orange_dye,2
emerald_ore,2
black_concrete_powder,2
tripwire_hook,2
jukebox,2
mangrove_hanging_sign,2
nether_bricks,2
milk_bucket,2
polished_blackstone_stairs,2
black_bed,2
tropical_fish_bucket,2
oak_door,2
red_candle,2
red_dye,2
netherite_axe,2
jungle_door,2
red_banner,2
splash_potion,2
crafter,1
music_disc_pigstep,1
enchanting_table,1
chipped_anvil,1
polished_deepslate_wall,1
lead,1
waxed_exposed_copper,1
brown_dye,1
bamboo_slab,1
pink_bed,1
dandelion,1
diamond_leggings,1
big_dripleaf,1
diamond_boots,1
dropper,1
lime_stained_glass_pane,1
sticky_piston,1
brown_shulker_box,1
golden_chestplate,1
black_dye,1
iron_leggings,1
black_wool,1
pink_shulker_box,1
acacia_button,1
honey_block,1
pumpkin_seeds,1
crying_obsidian,1
chiseled_tuff_bricks,1
polished_granite_slab,1
slime_block,1
light_gray_dye,1
bell,1
iron_chestplate,1
axolotl_bucket,1
iron_helmet,1
golden_boots,1
note_block,1
dripstone_block,1
medium_amethyst_bud,1
diamond_helmet,1
stone_pressure_plate,1
copper_block,1
purple_dye,1
white_banner,1
