Stat Name,Value
dark_oak_planks,2584
spruce_planks,2044
stick,1300
oak_planks,1200
wheat,891
packed_mud,704
spruce_slab,702
torch,616
iron_ingot,476
spruce_trapdoor,468
iron_nugget,441
bread,335
mud_bricks,260
white_concrete_powder,256
chest,233
dark_oak_slab,210
quartz_block,205
sandstone,205
mangrove_planks,196
smooth_quartz,192
bone_meal,192
oak_trapdoor,192
spruce_fence,183
spruce_stairs,160
paper,159
crimson_planks,148
white_dye,132
cooked_beef,130
hay_block,119
white_wool,104
shears,75
red_concrete_powder,72
stone,72
dark_oak_trapdoor,72
hopper,69
copper_ingot,67
red_carpet,66
oak_slab,66
oxidized_cut_copper_slab,64
brick,64
book,60
scaffolding,60
bookshelf,59
barrel,58
lightning_rod,58
coarse_dirt,56
cooked_mutton,55
copper_block,54
waxed_weathered_cut_copper_slab,52
spruce_fence_gate,52
oak_sign,51
moss_carpet,48
rail,48
charcoal,48
red_dye,46
cooked_porkchop,45
birch_planks,44
purple_dye,34
oxidized_cut_copper_stairs,32
mossy_cobblestone,30
bow,30
dark_oak_fence_gate,29
oxidized_cut_copper,28
dark_oak_fence,27
chain,26
red_banner,26
cobblestone_wall,25
lantern,23
iron_shovel,22
oak_button,22
item_frame,22
purple_wool,22
blue_dye,22
glass,21
stone_pickaxe,21
purple_carpet,21
oak_fence_gate,21
mangrove_fence,21
minecart,21
glowstone,20
iron_pickaxe,19
hopper_minecart,19
dispenser,19
observer,19
ladder,18
baked_potato,18
dark_oak_sign,18
gold_nugget,18
lectern,17
mangrove_stairs,16
candle,16
warped_planks,16
bricks,16
redstone_torch,16
furnace,16
dark_oak_stairs,16
light_gray_carpet,15
spruce_sign,15
melon_seeds,14
polished_blackstone_button,14
crafting_table,14
gold_ingot,13
beehive,13
iron_axe,13
acacia_planks,12
composter,11
stone_shovel,11
magenta_dye,10
painting,10
leather_helmet,10
warped_button,10
waxed_weathered_cut_copper_stairs,10
flower_pot,9
purple_candle,9
oak_fence,9
raw_iron,9
smooth_stone,8
birch_stairs,8
smooth_stone_slab,8
oak_stairs,8
waxed_weathered_cut_copper,8
mud_brick_stairs,8
green_concrete_powder,8
spruce_wood,8
armor_stand,7
iron_sword,7
orange_carpet,6
melon,6
spruce_door,6
stone_slab,6
light_blue_carpet,6
cobblestone_slab,6
brown_carpet,6
stone_hoe,6
gray_carpet,6
cyan_carpet,6
green_carpet,6
stone_button,6
powered_rail,6
iron_trapdoor,5
polished_blackstone,4
cyan_banner,4
magenta_wool,4
pink_dye,4
daylight_detector,4
waxed_weathered_copper,4
iron_hoe,4
stonecutter,4
lever,3
repeater,3
purple_banner,3
mangrove_sign,3
campfire,3
iron_block,3
white_carpet,3
blue_carpet,3
pink_carpet,3
light_blue_banner,3
smoker,3
cauldron,3
brown_dye,3
brewing_stand,3
warped_door,3
lime_carpet,3
oak_door,3
mangrove_door,3
black_carpet,3
green_banner,2
black_dye,2
waxed_cut_copper_stairs,2
chest_minecart,2
lime_banner,2
brown_banner,2
blue_banner,2
red_bed,2
orange_dye,2
grindstone,2
magenta_banner,2
yellow_banner,2
white_banner,2
light_gray_banner,2
diamond_pickaxe,2
yellow_dye,2
shield,2
light_blue_dye,2
tripwire_hook,2
gray_dye,2
lime_dye,2
gray_banner,2
orange_banner,2
cyan_dye,2
black_banner,2
brown_wool,2
pink_banner,2
loom,1
diamond_shovel,1
diamond_helmet,1
diamond_leggings,1
redstone_lamp,1
diamond_axe,1
fletching_table,1
dark_oak_chest_boat,1
cartography_table,1
compass,1
light_gray_dye,1
diamond_boots,1
enchanting_table,1
cyan_bed,1
light_blue_wool,1
wooden_axe,1
writable_book,1
iron_leggings,1
white_bed,1
dark_oak_boat,1
iron_boots,1
comparator,1
golden_boots,1
iron_helmet,1
wooden_pickaxe,1
iron_chestplate,1
piston,1
flint_and_steel,1
diamond_sword,1
bucket,1
stone_axe,1
acacia_boat,1
anvil,1
diamond_chestplate,1
air,0
