Stat Name,Value
walk_one_cm,13722563
sprint_one_cm,11387666
fly_one_cm,11065344
play_time,4007042
total_world_time,4007042
time_since_death,2703105
horse_one_cm,2369356
fall_one_cm,1034633
boat_one_cm,746821
swim_one_cm,394807
crouch_one_cm,363416
walk_under_water_one_cm,337988
walk_on_water_one_cm,211261
climb_one_cm,168869
sneak_time,130337
damage_dealt,97232
jump,51980
damage_taken,10910
open_chest,4995
damage_blocked_by_shield,2260
time_since_rest,1406
mob_kills,1262
pig_one_cm,669
open_barrel,504
interact_with_crafting_table,472
interact_with_furnace,332
sleep_in_bed,203
drop,145
animals_bred,121
inspect_dispenser,96
interact_with_stonecutter,62
damage_dealt_resisted,60
leave_game,46
enchant_item,17
talked_to_villager,13
interact_with_grindstone,8
interact_with_anvil,7
pot_flower,7
interact_with_loom,5
deaths,4
interact_with_smoker,4
inspect_hopper,4
use_cauldron,3
interact_with_lectern,3
interact_with_blast_furnace,3
open_shulker_box,3
interact_with_cartography_table,1
fill_cauldron,1
interact_with_campfire,1
