Stat Name,Value
arrow,598
cobblestone,60
hay_block,55
bread,54
wheat_seeds,44
cooked_porkchop,21
raw_copper,14
dark_oak_sapling,13
stick,12
cooked_beef,9
bow,9
orange_tulip,8
dripstone_block,7
oak_log,7
apple,6
nether_wart_block,6
dirt,5
granite,5
iron_shovel,5
spruce_sapling,5
rotten_flesh,4
charcoal,4
iron_ingot,4
iron_pickaxe,3
golden_chestplate,3
golden_boots,3
stone_shovel,3
gravel,3
leather_helmet,2
wheat,2
egg,2
coal,2
player_head,2
stone_sword,2
flint,2
stone_hoe,2
diorite,2
torch,2
iron_axe,2
raw_iron,2
iron_sword,1
diamond,1
glass_bottle,1
crafting_table,1
bone,1
azure_bluet,1
leather_boots,1
campfire,1
wooden_axe,1
rabbit,1
string,1
chicken,1
spider_eye,1
red_tulip,1
magma_block,1
brown_mushroom,1
poppy,1
leather_chestplate,1
chainmail_boots,1
water_bucket,1
golden_helmet,1
iron_hoe,1
filled_map,1
shield,1
andesite,1
golden_leggings,1
wooden_pickaxe,1
stone_pickaxe,1
