Stat Name,Value
deepslate,3933
stone,2815
grass_block,1957
dirt,1657
coarse_dirt,1208
grass,1099
mud,958
nether_quartz_ore,883
spruce_log,791
dark_oak_log,712
sand,688
wheat,646
diorite,602
moss_block,563
oak_leaves,499
oak_log,480
iron_ore,442
mangrove_roots,432
netherrack,396
calcite,359
coal_ore,354
andesite,332
stripped_spruce_log,258
white_concrete,256
granite,254
mangrove_leaves,218
mangrove_log,217
smooth_basalt,214
cobblestone,209
hay_block,208
nether_bricks,203
tuff,200
deepslate_iron_ore,175
gravel,160
sugar_cane,157
bamboo,149
dirt_path,143
copper_ore,140
dripstone_block,135
scaffolding,126
stripped_oak_log,123
blackstone,116
torch,105
cyan_bed,105
stripped_mangrove_log,99
fire,93
azalea_leaves,80
muddy_mangrove_roots,76
jungle_log,69
basalt,68
red_concrete,64
birch_log,60
chest,58
jungle_leaves,57
oxidized_copper,54
white_bed,52
weathered_cut_copper_slab,52
glowstone,50
red_bed,49
tall_grass,46
cobblestone_wall,40
crimson_stem,37
glass,36
wall_torch,36
cobbled_deepslate,32
melon,32
packed_mud,32
deepslate_gold_ore,32
deepslate_diamond_ore,32
dandelion,31
spruce_slab,31
clay,30
nether_brick_fence,30
pumpkin,29
amethyst_block,28
deepslate_redstone_ore,28
poppy,27
dark_oak_fence,26
orange_tulip,26
crafting_table,26
flowering_azalea_leaves,25
fern,24
bookshelf,24
oak_wall_sign,23
birch_leaves,22
moss_carpet,21
powder_snow,21
spruce_planks,21
oak_planks,21
mangrove_propagule,21
spruce_trapdoor,20
seagrass,20
barrel,19
red_tulip,17
bone_block,15
soul_sand,15
rose_bush,15
oak_trapdoor,14
rail,13
nether_gold_ore,13
obsidian,12
vine,12
pointed_dripstone,12
granite_wall,12
oak_stairs,11
deepslate_lapis_ore,10
cut_sandstone,10
weathered_cut_copper_stairs,10
lightning_rod,10
furnace,10
polished_deepslate,10
lapis_ore,10
cactus,10
emerald_ore,9
tnt,9
sandstone,9
soul_fire,8
stripped_spruce_wood,8
weathered_cut_copper,8
nether_wart_block,8
smooth_sandstone,7
stonecutter,6
redstone_wire,6
potatoes,6
dispenser,6
redstone_wall_torch,6
stone_slab,6
spruce_stairs,6
piston,5
observer,5
podzol,5
player_head,4
azalea,4
red_carpet,4
weathered_copper,4
peony,4
flowering_azalea,4
acacia_log,3
hopper,3
mud_brick_stairs,3
dead_bush,3
warped_fungus,3
black_bed,3
farmland,3
polished_diorite,3
azure_bluet,3
powered_rail,3
ladder,3
spruce_leaves,3
large_fern,3
sea_pickle,3
deepslate_bricks,2
tall_seagrass,2
player_wall_head,2
oak_slab,2
brown_carpet,2
campfire,2
mud_bricks,2
sandstone_stairs,2
raw_iron_block,2
dark_oak_stairs,2
orange_terracotta,2
crimson_planks,2
waxed_weathered_cut_copper,2
dark_oak_leaves,2
lever,2
oxidized_cut_copper_slab,2
cut_copper_stairs,2
waxed_weathered_cut_copper_slab,2
bee_nest,2
gray_carpet,2
magma_block,1
cyan_wall_banner,1
enchanting_table,1
smooth_sandstone_stairs,1
kelp_plant,1
smoker,1
spruce_wall_sign,1
lilac,1
copper_block,1
smooth_quartz,1
deepslate_tiles,1
warped_door,1
spruce_fence,1
mangrove_stairs,1
comparator,1
stone_pressure_plate,1
composter,1
grindstone,1
iron_door,1
exposed_cut_copper_slab,1
blackstone_wall,1
oak_door,1
glow_lichen,1
polished_andesite_slab,1
light_blue_wall_banner,1
carrots,1
lantern,1
spruce_door,1
purple_wall_banner,1
lectern,1
gray_wool,1
beehive,1
mangrove_planks,1
flower_pot,1
