Stat Name,Value
dirt,4547
cobbled_deepslate,3952
honeycomb,3446
cobblestone,3030
sand,2092
bamboo,2032
wheat_seeds,1899
arrow,1535
coarse_dirt,1378
bone,1328
mud,1104
raw_iron,982
diorite,932
quartz,875
spruce_log,859
raw_copper,830
mangrove_roots,781
wheat,756
dark_oak_log,709
oak_log,617
coal,608
spruce_slab,485
moss_block,471
red_wool,420
stripped_spruce_log,414
netherrack,405
spruce_planks,400
calcite,399
hay_block,396
cyan_wool,380
oak_leaves,359
andesite,332
torch,320
granite,308
sugar_cane,294
redstone,277
white_concrete,263
gravel,250
oak_sapling,243
lapis_lazuli,242
mangrove_log,237
smooth_basalt,236
glowstone_dust,218
moss_carpet,201
tuff,199
scaffolding,198
clay_ball,196
book,196
nether_bricks,185
stick,183
spruce_trapdoor,182
beef,169
dripstone_block,159
stripped_oak_log,158
packed_mud,157
glass,156
grass,154
oak_trapdoor,144
stone,134
leather,129
jungle_log,127
basalt,119
blackstone,117
birch_log,109
spruce_stairs,109
cyan_bed,105
stripped_mangrove_log,99
oak_planks,99
iron_ingot,95
bread,93
spruce_fence,90
red_concrete,90
muddy_mangrove_roots,87
bow,81
azalea_leaves,78
mangrove_planks,76
melon_slice,75
deepslate_tiles,62
chest,61
gold_nugget,56
mutton,55
white_bed,55
oxidized_copper,54
mangrove_propagule,54
weathered_cut_copper_slab,52
mangrove_leaves,52
red_bed,50
quartz_block,48
porkchop,46
cobblestone_wall,45
rail,44
raw_gold,43
gold_ingot,42
azalea,41
string,39
smooth_quartz,39
pointed_dripstone,39
diamond,39
crimson_stem,37
cooked_mutton,37
cooked_porkchop,35
rose_bush,34
rotten_flesh,33
chain,33
bone_block,30
crimson_planks,30
oak_sign,29
pumpkin,29
dandelion,28
amethyst_block,27
flowering_azalea_leaves,27
gunpowder,27
crafting_table,26
poppy,26
dark_oak_sapling,26
nether_brick_fence,25
orange_tulip,25
stripped_spruce_wood,24
spruce_sapling,24
oak_button,24
potato,24
flint,23
dispenser,23
birch_planks,23
hopper,22
observer,22
granite_wall,21
spruce_fence_gate,21
brick,20
lead,19
lightning_rod,19
barrel,19
dark_oak_fence,19
birch_sapling,19
oak_slab,19
hopper_minecart,18
cactus,18
egg,17
redstone_torch,17
glow_ink_sac,17
flowering_azalea,16
red_tulip,15
sandstone,15
melon,15
soul_sand,15
ink_sac,13
oak_fence_gate,12
obsidian,12
player_head,12
nether_wart_block,12
oak_stairs,11
golden_chestplate,11
shears,11
polished_diorite,11
emerald,11
weathered_cut_copper_stairs,10
blaze_rod,10
hanging_roots,10
iron_shovel,10
kelp,10
furnace,10
lilac,10
glistering_melon_slice,10
spider_eye,10
dark_oak_chest_boat,10
golden_boots,9
polished_deepslate,8
golden_helmet,8
apple,8
birch_stairs,8
golden_leggings,8
weathered_cut_copper,8
smooth_sandstone,8
red_carpet,8
stone_slab,7
red_dye,7
powered_rail,7
gray_carpet,7
stonecutter,6
iron_nugget,6
piston,6
sandstone_stairs,6
ladder,6
bricks,5
tnt,5
white_wool,5
sweet_berries,5
leather_helmet,5
painting,5
gray_wool,5
iron_pickaxe,5
leather_boots,5
cut_sandstone,5
chainmail_boots,4
warped_button,4
water_bucket,4
carrot,4
peony,4
weathered_copper,4
leather_chestplate,4
magma_cream,4
spruce_sign,4
cocoa_beans,4
iron_axe,4
item_frame,4
mud_brick_wall,4
iron_chestplate,3
acacia_log,3
brown_carpet,3
stone_sword,3
blackstone_wall,3
leather_leggings,3
beetroot_seeds,3
iron_leggings,3
sea_pickle,3
activator_rail,3
iron_boots,3
mangrove_stairs,3
black_bed,3
mud_brick_stairs,3
acacia_boat,3
golden_apple,3
shield,3
warped_fungus,3
spruce_door,3
iron_helmet,3
cut_copper_stairs,2
warped_door,2
waxed_weathered_cut_copper_slab,2
lever,2
white_dye,2
deepslate_bricks,2
mud_bricks,2
light_blue_banner,2
iron_sword,2
dark_oak_stairs,2
ender_pearl,2
mangrove_fence,2
ghast_tear,2
charcoal,2
azure_bluet,2
brown_mushroom,2
waxed_weathered_cut_copper,2
polished_andesite_slab,2
oxidized_cut_copper,2
raw_iron_block,2
flower_pot,1
enchanted_book,1
composter,1
black_dye,1
honey_bottle,1
blue_dye,1
magma_block,1
cooked_beef,1
feather,1
iron_door,1
copper_block,1
smoker,1
lantern,1
rabbit,1
granite_slab,1
cyan_dye,1
flint_and_steel,1
oak_door,1
stone_shovel,1
yellow_dye,1
filled_map,1
paper,1
warped_stem,1
stone_pickaxe,1
waxed_weathered_cut_copper_stairs,1
pink_dye,1
purple_banner,1
comparator,1
enchanting_table,1
magenta_dye,1
light_gray_dye,1
smooth_sandstone_stairs,1
wither_skeleton_skull,1
light_blue_dye,1
grindstone,1
oxidized_cut_copper_slab,1
polished_blackstone_button,1
chicken,1
lectern,1
orange_dye,1
gray_dye,1
brown_dye,1
saddle,1
purple_dye,1
oxidized_cut_copper_stairs,1
chainmail_chestplate,1
orange_terracotta,1
heart_of_the_sea,1
green_dye,1
cyan_banner,1
lime_dye,1
campfire,1
chainmail_leggings,1
exposed_cut_copper_slab,1
