Stat Name,Value
diamond_pickaxe,6874
iron_shovel,5462
iron_pickaxe,3457
iron_axe,2856
stone_pickaxe,2516
diamond_axe,1634
dirt,1564
iron_sword,1500
stone_shovel,1331
coarse_dirt,1208
iron_hoe,1022
wheat_seeds,966
spruce_planks,787
torch,697
spruce_slab,647
cobblestone,597
diamond_sword,535
stone_hoe,493
shears,475
spruce_trapdoor,464
packed_mud,442
stone_bricks,400
moss_block,363
diamond_shovel,315
bread,310
oak_planks,290
cobbled_deepslate,282
white_concrete_powder,256
calcite,255
spruce_log,254
white_concrete,249
netherrack,242
bone_meal,228
diorite,219
stripped_spruce_log,207
chest,206
mud_bricks,188
nether_bricks,185
spruce_fence,183
cooked_beef,172
scaffolding,170
stone,165
oak_trapdoor,164
spruce_stairs,157
smooth_sandstone,157
smooth_quartz,155
crimson_planks,153
oxidized_cut_copper_slab,140
moss_carpet,138
deepslate_tiles,134
oak_leaves,133
diorite_wall,130
glass,124
oak_log,123
stripped_oak_log,112
mud,110
granite_wall,109
bow,108
mangrove_log,108
grass,107
cyan_bed,105
white_wool,103
stripped_mangrove_log,99
polished_andesite_slab,95
mangrove_planks,84
red_wool,81
mangrove_roots,80
bucket,80
barrel,77
water_bucket,76
polished_deepslate,74
oak_sign,74
polished_diorite,72
lightning_rod,68
red_concrete_powder,65
bamboo,64
shield,63
muddy_mangrove_roots,55
dripstone_block,55
cooked_mutton,55
mud_brick_slab,55
copper_block,55
white_bed,54
dark_oak_trapdoor,53
waxed_weathered_cut_copper_slab,52
hopper,52
red_bed,51
oak_slab,51
polished_andesite,50
sand,48
deepslate_bricks,47
bookshelf,46
flowering_azalea_leaves,40
rail,40
cobblestone_wall,40
wooden_axe,40
red_concrete,38
crafting_table,36
red_carpet,35
spruce_fence_gate,34
blackstone_wall,33
golden_shovel,32
chain,32
oxidized_cut_copper_stairs,31
cooked_porkchop,29
smooth_basalt,28
andesite,28
redstone,28
mud_brick_wall,28
dark_oak_fence_gate,26
oxidized_cut_copper,26
hopper_minecart,26
red_banner,26
dispenser,25
item_frame,25
dark_oak_fence,24
observer,24
lantern,24
blackstone,23
andesite_wall,21
ladder,20
oak_button,20
glowstone,19
dark_oak_sign,19
stone_brick_wall,19
lectern,18
baked_potato,18
mangrove_fence,17
rose_bush,17
basalt,16
cut_sandstone,16
mangrove_stairs,15
furnace,15
dandelion,15
egg,14
oak_fence_gate,14
melon_seeds,14
sandstone_stairs,14
lead,14
granite,14
purple_carpet,14
light_gray_carpet,13
oxidized_copper,13
spruce_sign,13
painting,13
polished_blackstone_button,13
cactus,12
brick_wall,11
dark_oak_chest_boat,11
waxed_weathered_cut_copper,10
birch_planks,10
mangrove_propagule,10
kelp,10
stonecutter,10
flower_pot,10
stone_slab,10
stone_axe,10
waxed_weathered_cut_copper_stairs,9
dark_oak_slab,9
purple_candle,9
smooth_sandstone_stairs,9
beehive,9
brown_carpet,9
composter,8
mud_brick_stairs,8
spruce_sapling,8
spruce_wood,8
oak_fence,8
powered_rail,7
armor_stand,7
mossy_cobblestone,7
candle,7
redstone_torch,7
pumpkin,7
potato,6
stone_button,6
polished_blackstone_wall,6
sandstone_wall,6
polished_deepslate_wall,6
melon,6
player_head,6
sandstone,6
gravel,6
warped_button,6
flint_and_steel,6
spruce_door,5
wooden_pickaxe,5
purple_wool,5
iron_trapdoor,5
polished_deepslate_slab,5
cyan_wool,5
stripped_spruce_wood,5
sugar_cane,5
lever,5
cyan_banner,5
piston,5
magenta_wool,4
orange_carpet,4
deepslate_tile_wall,4
green_carpet,4
tuff,4
dark_oak_stairs,4
daylight_detector,4
waxed_weathered_copper,4
purple_banner,4
smoker,4
yellow_wool,4
orange_wool,3
azure_bluet,3
cyan_carpet,3
brewing_stand,3
cauldron,3
mangrove_sign,3
light_blue_banner,3
green_wool,3
repeater,3
gray_carpet,3
light_blue_wool,3
brown_wool,3
blackstone_slab,3
granite_slab,3
oak_door,3
warped_door,3
pink_carpet,3
acacia_boat,3
blue_wool,3
black_wool,3
sea_pickle,3
gray_wool,3
polished_blackstone,2
black_carpet,2
green_banner,2
lime_banner,2
birch_sapling,2
pink_wool,2
blue_banner,2
gray_banner,2
waxed_cut_copper_stairs,2
enchanting_table,2
tripwire_hook,2
pointed_dripstone,2
yellow_banner,2
lime_wool,2
light_gray_banner,2
comparator,2
campfire,2
blue_carpet,2
azalea_leaves,2
orange_banner,2
honey_bottle,2
black_banner,2
black_bed,2
grindstone,2
chest_minecart,2
white_carpet,2
oak_stairs,2
light_gray_wool,2
pink_banner,2
brown_banner,2
magenta_banner,2
white_banner,2
birch_stairs,2
peony,1
writable_book,1
poppy,1
soul_sand,1
lava_bucket,1
exposed_cut_copper_slab,1
light_blue_carpet,1
blackstone_stairs,1
blue_dye,1
mangrove_door,1
lilac,1
green_concrete_powder,1
anvil,1
cartography_table,1
smooth_sandstone_slab,1
fletching_table,1
glow_ink_sac,1
redstone_lamp,1
written_book,1
loom,1
lime_carpet,1
iron_door,1
azalea,1
powder_snow_bucket,1
brown_mushroom,1
cobblestone_slab,1
