Stat Name,Value
oak_planks,4980
stick,2292
iron_ingot,2278
torch,1320
redstone,954
oak_fence,897
stone_bricks,888
spruce_planks,884
gold_nugget,801
coal,679
gray_stained_glass,512
lapis_lazuli,432
wheat,405
iron_nugget,387
black_stained_glass,384
birch_planks,332
blue_terracotta,320
oak_slab,300
andesite_wall,294
gold_ingot,283
ladder,267
mossy_cobblestone,261
polished_andesite_slab,252
bone_meal,252
chest,251
polished_andesite,224
raw_copper_block,211
rail,208
cracked_stone_bricks,200
mossy_stone_bricks,200
crimson_planks,200
diamond,198
cooked_porkchop,193
cooked_beef,193
scaffolding,180
tinted_glass,172
redstone_block,156
coarse_dirt,152
paper,147
raw_iron,144
glass,136
cooked_mutton,135
iron_block,121
shears,121
black_dye,117
polished_andesite_stairs,112
oak_trapdoor,108
raw_copper,108
dispenser,105
dropper,103
lapis_block,102
golden_carrot,98
end_rod,96
smooth_stone_slab,96
bow,94
redstone_torch,94
oak_sign,93
raw_gold,90
nether_brick_stairs,88
observer,87
cobblestone_wall,84
gray_dye,84
emerald,81
coal_block,80
hopper,78
stone_brick_slab,72
white_dye,72
shield,66
stone_brick_stairs,64
smooth_stone,64
bucket,64
hay_block,63
blue_dye,57
stone,56
oak_stairs,56
spruce_fence,54
bookshelf,49
soul_torch,48
iron_bars,48
book,48
glass_pane,48
birch_sign,42
bread,41
black_concrete_powder,32
stone_button,32
netherite_scrap,31
item_frame,30
crafting_table,29
gold_block,29
baked_potato,28
diamond_block,28
polished_deepslate,28
red_dye,27
soul_lantern,25
spruce_stairs,24
crimson_slab,24
birch_trapdoor,24
brown_carpet,24
red_wool,24
glass_bottle,24
andesite_slab,24
cobblestone_stairs,24
dark_oak_slab,24
birch_fence,24
popped_chorus_fruit,24
minecart,24
shulker_box,22
iron_pickaxe,22
lantern,21
blaze_powder,20
furnace,20
piston,20
dark_oak_planks,20
ender_eye,19
cobblestone_slab,18
slime_ball,18
dripstone_block,17
red_stained_glass_pane,16
anvil,16
lever,16
brown_banner,16
light_blue_dye,16
repeater,15
sticky_piston,14
light_gray_dye,14
raw_iron_block,13
hopper_minecart,13
barrel,12
birch_wood,12
black_carpet,12
granite_slab,12
spruce_slab,12
light_gray_carpet,12
brown_dye,11
ender_chest,11
iron_axe,11
raw_gold_block,10
note_block,10
cyan_dye,10
slime_block,9
spruce_sign,9
stone_pickaxe,8
crimson_stairs,8
red_stained_glass,8
oak_button,8
light_blue_stained_glass,8
polished_blackstone,8
iron_chestplate,8
dark_oak_stairs,8
stone_pressure_plate,7
iron_shovel,7
diamond_pickaxe,7
stone_sword,7
red_carpet,6
comparator,6
iron_sword,6
copper_ingot,6
stone_shovel,6
white_bed,6
powered_rail,6
activator_rail,6
stone_axe,6
iron_helmet,5
iron_trapdoor,5
green_dye,5
oak_boat,5
cooked_chicken,4
warped_planks,4
mangrove_planks,4
iron_leggings,4
iron_boots,4
iron_door,3
oak_door,3
furnace_minecart,3
diamond_boots,3
wooden_pickaxe,3
diamond_shovel,2
diamond_helmet,2
polished_blackstone_pressure_plate,2
polished_blackstone_button,2
tnt,2
black_bed,2
flint_and_steel,2
stonecutter,2
oak_pressure_plate,2
target,2
diamond_axe,2
campfire,2
blackstone_wall,2
iron_hoe,2
diamond_sword,2
gray_wool,1
lectern,1
diamond_hoe,1
light_gray_wool,1
red_shulker_box,1
light_blue_wool,1
writable_book,1
copper_block,1
light_blue_shulker_box,1
spruce_button,1
glistering_melon_slice,1
orange_bed,1
diamond_chestplate,1
diamond_leggings,1
stone_hoe,1
brewing_stand,1
air,0
