Stat Name,Value
fly_one_cm,42537465
aviate_one_cm,39447668
horse_one_cm,26289361
sprint_one_cm,17748865
walk_one_cm,15428901
play_time,9989686
total_world_time,9989686
fall_one_cm,5070687
time_since_death,2792613
crouch_one_cm,2414440
walk_under_water_one_cm,2184475
boat_one_cm,1378732
climb_one_cm,1152616
swim_one_cm,1108111
walk_on_water_one_cm,726667
sneak_time,437547
damage_dealt,281364
damage_taken,157985
jump,144718
minecart_one_cm,128761
damage_blocked_by_shield,95634
time_since_rest,22941
pig_one_cm,16415
open_chest,11454
mob_kills,8705
drop,2181
interact_with_crafting_table,808
interact_with_furnace,641
strider_one_cm,623
open_enderchest,581
open_barrel,555
inspect_dispenser,507
open_shulker_box,436
damage_dealt_resisted,310
leave_game,275
animals_bred,248
damage_absorbed,185
sleep_in_bed,146
deaths,135
inspect_hopper,117
inspect_dropper,67
enchant_item,65
interact_with_lectern,48
interact_with_anvil,45
interact_with_grindstone,44
talked_to_villager,24
interact_with_stonecutter,19
interact_with_brewingstand,18
bell_ring,12
damage_resisted,8
traded_with_villager,6
raid_win,4
raid_trigger,4
interact_with_blast_furnace,3
interact_with_smoker,1
tune_noteblock,1
trigger_trapped_chest,1
