Stat Name,Value
netherrack,2542
deepslate,1860
sand,1447
wheat_seeds,988
cobblestone,977
black_wool,963
dirt,685
arrow,508
tuff,504
cobbled_deepslate,453
bone,400
torch,366
red_terracotta,323
emerald,273
scaffolding,273
glass,261
stone,253
rail,234
cyan_wool,230
ender_pearl,222
brown_wool,178
carrot,170
rotten_flesh,168
oak_sapling,168
mutton,152
cooked_beef,150
bow,148
glass_bottle,133
stick,117
golden_carrot,116
soul_sand,105
string,105
white_wool,99
gravel,84
dripstone_block,81
raw_gold,76
oak_planks,75
birch_log,73
baked_potato,71
oak_sign,68
spider_eye,68
wheat,67
peony,66
bricks,64
spruce_log,64
blackstone,64
firework_rocket,64
yellow_stained_glass,63
spruce_stairs,63
stone_button,61
cooked_porkchop,53
pointed_dripstone,53
birch_sapling,53
iron_ingot,53
black_stained_glass,52
dandelion,51
andesite,49
candle,48
cobweb,45
oak_fence,45
granite,43
rose_bush,43
dark_oak_leaves,40
kelp,39
grass_block,39
bucket,37
oak_log,35
sandstone,33
orange_tulip,32
cactus,31
bread,28
crimson_roots,28
raw_copper,28
apple,26
gunpowder,26
tnt,25
moss_carpet,25
lily_of_the_valley,25
cooked_mutton,24
diorite,24
glowstone,23
shield,21
porkchop,20
player_head,20
red_wool,19
leather,17
bone_meal,17
golden_chestplate,17
egg,17
diamond,16
iron_bars,16
polished_granite,16
white_banner,15
diamond_pickaxe,15
terracotta,15
coal,15
brown_mushroom,15
iron_leggings,15
golden_boots,14
iron_pickaxe,14
polished_andesite_slab,14
cobblestone_wall,14
chicken,14
red_tulip,14
spectral_arrow,14
gold_nugget,13
iron_nugget,13
leather_boots,13
white_candle,13
iron_ore,13
nether_wart_block,13
white_tulip,13
iron_sword,12
bamboo,12
golden_helmet,12
birch_trapdoor,12
raw_iron,12
weeping_vines,11
potion,11
iron_boots,11
soul_lantern,11
leather_chestplate,11
iron_axe,11
stone_axe,10
leather_leggings,10
end_stone,10
iron_shovel,10
crimson_nylium,10
water_bucket,10
iron_chestplate,10
bone_block,9
ladder,9
feather,9
polished_andesite_stairs,8
golden_leggings,8
stone_sword,8
stone_slab,8
orange_terracotta,8
stone_pickaxe,8
lever,7
deepslate_lapis_ore,7
oak_slab,7
crafting_table,6
chainmail_leggings,6
cracked_polished_blackstone_bricks,6
copper_ore,6
leather_helmet,6
detector_rail,6
charcoal,6
spruce_sapling,6
lantern,6
flint,6
quartz,6
deepslate_iron_ore,6
spruce_planks,5
warped_fungus,5
dark_oak_sapling,5
amethyst_block,5
sweet_berries,5
sculk,5
birch_planks,5
deepslate_gold_ore,5
amethyst_shard,5
diamond_shovel,5
powered_rail,5
oak_leaves,5
black_carpet,4
glowstone_dust,4
azure_bluet,4
deepslate_redstone_ore,4
stone_bricks,4
chiseled_polished_blackstone,4
oak_button,4
wooden_pickaxe,4
crossbow,4
sugar,4
pink_bed,4
white_bed,4
iron_helmet,4
furnace,4
diamond_hoe,4
yellow_bed,4
birch_boat,4
diamond_axe,4
crimson_fungus,4
chainmail_chestplate,4
minecart,4
hopper_minecart,4
nether_gold_ore,4
golden_sword,4
glow_ink_sac,3
jungle_log,3
lava_bucket,3
stone_shovel,3
white_terracotta,3
shears,3
diamond_sword,3
mycelium,3
stone_brick_wall,3
stone_hoe,3
lilac,3
golden_axe,3
melon_slice,3
blue_terracotta,3
chainmail_helmet,3
paper,3
spruce_sign,3
poppy,3
chest,3
lead,3
diamond_boots,3
lapis_lazuli,2
gold_block,2
cooked_chicken,2
warped_planks,2
coal_ore,2
stone_brick_stairs,2
gray_wool,2
beetroot_seeds,2
totem_of_undying,2
flint_and_steel,2
red_carpet,2
grass,2
blue_wool,2
light_gray_carpet,2
deepslate_copper_ore,2
enchanted_book,2
polished_blackstone,2
nether_sprouts,2
pink_tulip,2
slime_block,2
spruce_fence,2
potato,2
chiseled_stone_bricks,2
melon_seeds,2
poisonous_potato,2
diamond_chestplate,2
oak_boat,2
calcite,2
warped_fungus_on_a_stick,1
black_bed,1
red_bed,1
diorite_slab,1
obsidian,1
beef,1
golden_apple,1
stripped_crimson_stem,1
name_tag,1
piglin_banner_pattern,1
redstone_torch,1
red_sand,1
magma_block,1
moss_block,1
chest_minecart,1
iron_horse_armor,1
carrot_on_a_stick,1
snowball,1
activator_rail,1
jungle_leaves,1
polished_basalt,1
light_gray_terracotta,1
sculk_sensor,1
stripped_oak_log,1
deepslate_bricks,1
piston,1
saddle,1
phantom_membrane,1
sugar_cane,1
brick_stairs,1
white_dye,1
crimson_planks,1
birch_leaves,1
rabbit,1
diamond_helmet,1
bowl,1
glow_lichen,1
light_gray_dye,1
warped_stem,1
cornflower,1
mangrove_roots,1
azalea,1
diamond_leggings,1
smooth_basalt,1
redstone,1
ender_chest,1
iron_hoe,1
filled_map,1
black_concrete_powder,1
stripped_warped_stem,1
nether_quartz_ore,1
