Stat Name,Value
deepslate,10174
netherrack,6384
stone,5782
sand,4222
grass_block,3259
dirt,2531
sculk,1786
oak_log,1743
oak_leaves,1297
andesite,1201
grass,1054
gravel,883
tuff,840
wheat,804
cobblestone,751
coal_ore,701
black_wool,680
nether_quartz_ore,617
gray_stained_glass,608
vine,554
iron_ore,511
carrots,500
rail,417
deepslate_iron_ore,382
birch_log,371
warped_stem,362
terracotta,349
soul_sand,341
red_terracotta,328
oak_planks,324
scaffolding,301
deepslate_gold_ore,292
copper_ore,282
obsidian,276
crimson_stem,275
deepslate_copper_ore,272
spruce_log,244
deepslate_diamond_ore,242
fire,241
deepslate_redstone_ore,241
granite,235
sandstone,228
ladder,223
birch_leaves,222
oak_slab,209
cobweb,191
blackstone,184
oak_fence,179
torch,178
chest,162
soul_soil,159
podzol,158
white_wool,157
sculk_vein,156
glowstone,140
kelp,133
warped_nylium,132
dirt_path,127
tall_grass,126
sugar_cane,124
redstone_wire,113
cobbled_deepslate,110
nether_sprouts,108
stone_bricks,107
nether_wart_block,98
pointed_dripstone,93
magma_block,90
moss_block,89
wall_torch,88
deepslate_lapis_ore,87
polished_blackstone_bricks,83
sticky_piston,83
observer,83
oak_stairs,81
crimson_nylium,80
dispenser,77
nether_bricks,76
dandelion,73
dripstone_block,73
diorite,71
brown_wool,70
cut_sandstone,68
mycelium,67
shulker_box,66
kelp_plant,60
polished_andesite,60
glass,57
oak_trapdoor,54
crafting_table,53
gold_ore,52
ender_chest,51
peony,50
calcite,48
rose_bush,48
cobblestone_wall,40
amethyst_cluster,39
black_concrete,36
white_bed,35
basalt,33
polished_andesite_slab,33
tnt,32
ancient_debris,31
prismarine_bricks,31
orange_tulip,31
lapis_ore,30
pink_tulip,29
orange_terracotta,29
nether_gold_ore,29
lily_of_the_valley,25
bamboo,25
cobblestone_slab,24
polished_basalt,24
shroomlight,24
end_stone,23
hopper,23
black_stained_glass,22
furnace,22
blue_terracotta,21
smooth_basalt,20
dark_prismarine,20
mossy_cobblestone,18
polished_andesite_stairs,18
prismarine,18
gray_wool,18
tinted_glass,17
sea_lantern,17
redstone_ore,17
cracked_polished_blackstone_bricks,17
seagrass,17
red_tulip,16
oxeye_daisy,16
brown_mushroom,16
glass_pane,15
cracked_stone_bricks,15
cave_vines,15
birch_trapdoor,15
barrel,14
dead_bush,14
stripped_oak_log,14
weeping_vines_plant,14
black_bed,14
white_tulip,14
birch_fence,14
potatoes,13
emerald_block,13
nether_wart,12
birch_planks,12
cyan_wool,12
mud_bricks,12
birch_wall_sign,12
chorus_plant,12
mossy_stone_bricks,11
twisting_vines_plant,11
weeping_vines,11
cactus,11
redstone_torch,11
player_head,10
moss_carpet,10
crimson_roots,10
snow,10
azure_bluet,10
polished_deepslate,10
bricks,9
brown_terracotta,9
light_gray_terracotta,9
polished_granite,9
poppy,9
warped_planks,8
piston,8
birch_wood,8
diorite_slab,8
sculk_sensor,8
oak_wall_sign,7
amethyst_block,7
mangrove_roots,7
tall_seagrass,7
lantern,7
light_blue_shulker_box,7
red_shulker_box,6
repeater,6
coarse_dirt,6
iron_bars,6
lever,6
player_wall_head,6
soul_fire,6
cobblestone_stairs,6
crimson_planks,6
oak_door,6
chorus_flower,5
azalea,5
cocoa,5
spruce_sapling,5
spawner,4
spruce_fence,4
birch_sign,4
brewing_stand,4
polished_diorite,4
powered_rail,4
smooth_stone_slab,4
gold_block,4
snow_block,4
white_wall_banner,4
crimson_stairs,4
stone_brick_stairs,4
stonecutter,4
anvil,4
light_gray_wool,4
red_carpet,4
chiseled_sandstone,4
andesite_wall,4
melon,3
spruce_wall_sign,3
birch_sapling,3
white_terracotta,3
dark_oak_sapling,3
packed_mud,3
big_dripleaf_stem,3
bone_block,3
stone_pressure_plate,3
raw_copper_block,3
quartz_stairs,3
spruce_leaves,3
deepslate_coal_ore,3
red_sand,3
stone_brick_wall,3
jungle_log,3
black_concrete_powder,3
big_dripleaf,3
raw_iron_block,3
soul_lantern,3
activator_rail,3
flowering_azalea,3
brick_wall,3
twisting_vines,2
white_banner,2
white_candle,2
crimson_slab,2
campfire,2
chipped_anvil,2
iron_trapdoor,2
spruce_trapdoor,2
budding_amethyst,2
sculk_catalyst,2
dark_oak_slab,2
chiseled_stone_bricks,2
sculk_shrieker,2
comparator,2
brown_carpet,2
emerald_ore,2
smooth_stone,2
azalea_leaves,2
slime_block,2
iron_door,2
infested_stone_bricks,2
dragon_wall_head,1
light_gray_bed,1
tripwire,1
orange_bed,1
white_stained_glass_pane,1
mangrove_log,1
stripped_crimson_stem,1
dark_oak_log,1
brown_banner,1
redstone_block,1
polished_blackstone_brick_wall,1
cornflower,1
warped_roots,1
mangrove_leaves,1
fern,1
farmland,1
dragon_head,1
purpur_stairs,1
dark_oak_leaves,1
glow_lichen,1
bookshelf,1
stripped_warped_stem,1
jungle_leaves,1
deepslate_bricks,1
crimson_fungus,1
pumpkin,1
piston_head,1
mud_brick_stairs,1
lilac,1
warped_fungus,1
black_stained_glass_pane,1
light_gray_carpet,1
spruce_button,1
spruce_planks,1
cave_vines_plant,1
black_carpet,1
clay,1
diorite_wall,1
brick_stairs,1
lectern,1
spruce_stairs,1
yellow_bed,1
end_rod,1
