Stat Name,Value
deepslate,6622
netherrack,5535
cobblestone,5507
dirt,5220
sand,4408
cobbled_deepslate,3523
wheat_seeds,3127
black_wool,3098
stone,3058
brown_wool,2949
oak_log,2381
carrot,2304
arrow,2247
rail,2216
grass_block,2065
torch,2052
raw_copper,1977
bone,1629
glass,1544
white_wool,1525
redstone,1274
scaffolding,1256
andesite,1199
raw_iron,1177
stick,1037
lapis_lazuli,980
wheat,903
kelp,864
coal,839
tuff,797
string,783
oak_sapling,769
quartz,693
ender_pearl,677
gravel,665
red_terracotta,644
cyan_wool,620
gray_stained_glass,601
vine,583
golden_carrot,527
birch_log,503
oak_planks,423
cooked_mutton,384
cooked_porkchop,380
raw_gold,379
soul_sand,379
cooked_beef,378
emerald,377
diamond,373
bamboo,358
obsidian,356
warped_stem,350
terracotta,349
nether_quartz_ore,335
amethyst_shard,334
pointed_dripstone,326
granite,313
tnt,310
spruce_log,306
blackstone,298
firework_rocket,297
polished_andesite_slab,288
ladder,279
chorus_fruit,277
crimson_stem,261
dripstone_block,253
oak_slab,228
rotten_flesh,222
mossy_cobblestone,219
sugar_cane,219
baked_potato,199
bow,192
oak_fence,186
spider_eye,177
chest,169
oak_leaves,156
mutton,153
moss_block,153
sandstone,153
grass,151
glowstone,149
ink_sac,145
coarse_dirt,135
shield,134
stone_bricks,134
glass_bottle,134
birch_sapling,130
iron_ingot,127
warped_nylium,127
soul_soil,126
nether_wart,118
gold_ingot,117
deepslate_diamond_ore,107
lever,105
calcite,105
nether_sprouts,104
end_rod,96
coal_ore,96
sticky_piston,95
cobblestone_wall,94
cut_sandstone,92
magma_block,88
nether_wart_block,87
glow_berries,85
crimson_nylium,84
observer,81
basalt,79
dandelion,79
redstone_block,79
moss_carpet,78
nether_bricks,76
oak_stairs,76
dispenser,76
deepslate_gold_ore,76
shears,75
black_stained_glass,73
bricks,73
polished_andesite_stairs,71
diorite,69
mycelium,69
peony,69
oak_trapdoor,68
ender_chest,66
shulker_box,66
polished_andesite,64
spruce_stairs,64
yellow_stained_glass,63
cobblestone_stairs,63
polished_blackstone_bricks,62
crafting_table,61
redstone_lamp,60
player_head,59
apple,57
rose_bush,57
bone_meal,57
mossy_stone_bricks,56
spruce_sapling,55
diamond_pickaxe,53
nether_brick_stairs,53
iron_leggings,52
potato,49
end_stone,47
twisting_vines,47
cactus,47
brown_mushroom,46
soul_torch,46
cobweb,46
book,46
white_bed,46
flint,45
candle,45
polished_deepslate,44
egg,44
gunpowder,41
lapis_block,40
iron_chestplate,39
paper,38
furnace,38
gold_block,38
leather,37
gold_nugget,37
white_banner,37
black_concrete,36
powered_rail,35
birch_planks,35
pink_tulip,34
water_bucket,33
smooth_stone,33
orange_tulip,33
weeping_vines,33
clay_ball,32
smooth_basalt,32
dark_oak_log,31
ancient_debris,31
stone_button,31
cobblestone_slab,30
prismarine_bricks,30
cracked_stone_bricks,30
diamond_axe,30
minecart,29
diamond_hoe,29
diamond_shovel,29
orange_terracotta,29
crimson_roots,28
pumpkin,28
big_dripleaf,27
white_tulip,26
lily_of_the_valley,26
saddle,26
birch_sign,25
melon_slice,25
smooth_stone_slab,25
iron_axe,25
copper_ingot,25
glow_ink_sac,25
polished_basalt,24
light_blue_stained_glass,24
iron_boots,24
shroomlight,23
iron_ore,23
bread,23
red_tulip,22
hopper,22
iron_pickaxe,22
andesite_wall,22
porkchop,22
iron_helmet,22
blue_terracotta,21
azalea,21
glowstone_dust,21
sea_lantern,21
magma_cream,21
golden_chestplate,20
warped_roots,20
dark_prismarine,20
lantern,19
chicken,19
snowball,18
oxeye_daisy,18
deepslate_lapis_ore,18
prismarine,18
golden_boots,18
hopper_minecart,17
totem_of_undying,17
sweet_berries,17
gray_wool,17
tinted_glass,17
deepslate_redstone_ore,16
black_bed,16
azure_bluet,16
diamond_boots,16
activator_rail,16
redstone_torch,16
polished_granite,16
iron_shovel,15
copper_ore,15
stripped_oak_log,15
cocoa_beans,15
feather,14
flint_and_steel,14
birch_trapdoor,14
spectral_arrow,14
melon_seeds,14
glass_pane,13
cracked_polished_blackstone_bricks,13
birch_fence,13
emerald_block,13
golden_helmet,13
barrel,13
white_candle,13
iron_sword,13
leather_boots,13
oak_boat,13
poppy,12
bone_block,12
mud_bricks,12
chainmail_helmet,12
oak_door,12
lead,11
blaze_rod,11
leather_chestplate,11
leather_leggings,10
comparator,10
ender_eye,10
chorus_flower,10
repeater,10
sugar,10
stone_pressure_plate,10
sculk,10
furnace_minecart,9
diamond_helmet,9
piston,9
black_carpet,9
bucket,9
golden_leggings,9
light_gray_terracotta,9
flowering_azalea,9
stone_axe,9
oak_sign,9
brown_terracotta,9
stone_slab,8
white_dye,8
stone_pickaxe,8
mangrove_roots,8
birch_wood,8
slime_block,8
golden_apple,8
diorite_slab,8
brown_dye,8
light_blue_dye,8
birch_boat,8
crying_obsidian,7
light_blue_shulker_box,7
enchanted_golden_apple,7
iron_nugget,7
crimson_planks,7
nether_gold_ore,7
enchanted_book,6
iron_bars,6
leather_helmet,6
deepslate_iron_ore,6
crossbow,6
spruce_sign,6
red_shulker_box,6
chainmail_leggings,6
coal_block,6
warped_planks,6
stone_shovel,5
emerald_ore,5
red_sand,5
stone_brick_wall,5
warped_fungus,5
brewing_stand,5
amethyst_block,5
spruce_fence,5
music_disc_13,5
diamond_horse_armor,5
item_frame,5
diamond_leggings,4
brown_carpet,4
stone_sword,4
stonecutter,4
chiseled_polished_blackstone,4
cornflower,4
diamond_chestplate,4
stone_brick_stairs,4
crimson_fungus,4
chainmail_chestplate,4
yellow_bed,4
red_carpet,4
pink_bed,4
anvil,4
golden_sword,4
black_concrete_powder,4
polished_diorite,4
potion,4
charcoal,4
light_gray_wool,4
phantom_membrane,4
chiseled_stone_bricks,4
brick_wall,3
white_terracotta,3
cyan_dye,3
dragon_head,3
packed_mud,3
crimson_stairs,3
lilac,3
name_tag,3
soul_lantern,3
diamond_sword,3
black_dye,3
jungle_log,3
quartz_stairs,3
raw_copper_block,3
dark_oak_slab,3
stone_hoe,3
spruce_boat,3
dark_oak_sapling,3
raw_iron_block,3
golden_axe,2
iron_hoe,2
light_gray_carpet,2
elytra,2
blue_wool,2
deepslate_copper_ore,2
blaze_powder,2
piglin_banner_pattern,2
brick_stairs,2
cooked_chicken,2
light_blue_wool,2
iron_door,2
chipped_anvil,2
beetroot_seeds,2
crimson_slab,2
lapis_ore,2
iron_trapdoor,2
light_gray_dye,2
oak_pressure_plate,2
poisonous_potato,2
allium,2
spruce_trapdoor,2
orange_bed,1
copper_block,1
rabbit,1
stripped_crimson_stem,1
spruce_button,1
purpur_block,1
stripped_warped_stem,1
purpur_stairs,1
slime_ball,1
polished_blackstone_brick_wall,1
warped_fungus_on_a_stick,1
mud_brick_stairs,1
black_stained_glass_pane,1
jungle_leaves,1
polished_blackstone_pressure_plate,1
sculk_catalyst,1
sculk_sensor,1
spruce_planks,1
mangrove_log,1
red_bed,1
beef,1
amethyst_cluster,1
deepslate_bricks,1
red_stained_glass,1
brown_banner,1
target,1
music_disc_pigstep,1
chest_minecart,1
wooden_pickaxe,1
lectern,1
iron_horse_armor,1
