Stat Name,Value
diamond_pickaxe,28716
diamond_shovel,9589
black_wool,9416
white_wool,7081
iron_pickaxe,5149
diamond_axe,4364
dirt,3887
diamond_hoe,3124
netherrack,2563
brown_wool,2150
cobblestone,2037
diamond_sword,1966
torch,1906
iron_axe,1686
carrot,1484
iron_shovel,1416
deepslate,1394
wheat_seeds,1329
firework_rocket,1304
gray_wool,1300
grass_block,1124
shears,981
scaffolding,959
bucket,908
oak_fence,898
cobbled_deepslate,839
water_bucket,829
stone_shovel,759
stone,700
light_gray_wool,667
cooked_beef,662
shield,661
stone_pickaxe,647
gray_stained_glass,631
oak_slab,581
rail,561
stone_sword,502
iron_sword,483
andesite,474
oak_planks,456
ladder,397
oak_log,365
stone_axe,362
black_stained_glass,339
kelp,328
cyan_wool,322
stone_bricks,320
andesite_wall,292
nether_quartz_ore,290
chest,288
warped_stem,287
tnt,286
cooked_mutton,285
bow,252
cooked_porkchop,217
mossy_cobblestone,213
oak_stairs,200
cracked_stone_bricks,194
mossy_stone_bricks,191
redstone,184
ender_pearl,170
bone_meal,165
golden_carrot,160
crimson_planks,154
blue_terracotta,151
obsidian,147
tuff,129
flint_and_steel,128
sandstone,121
soul_soil,116
oak_leaves,111
crimson_stem,105
oak_trapdoor,104
granite,102
observer,99
sticky_piston,98
tinted_glass,97
cobblestone_wall,97
gravel,96
deepslate_diamond_ore,95
lever,93
cobblestone_stairs,93
baked_potato,92
sand,92
polished_andesite_slab,91
iron_hoe,87
polished_andesite_stairs,84
smooth_stone_slab,81
dispenser,80
mangrove_roots,80
moss_block,78
crafting_table,75
crimson_nylium,74
grass,70
hopper,70
shulker_box,70
soul_sand,67
sugar_cane,67
red_terracotta,64
end_rod,61
birch_sign,60
glass,60
polished_andesite,60
lava_bucket,59
ender_chest,57
spruce_fence,53
nether_wart_block,50
vine,48
bookshelf,48
glow_berries,46
birch_log,45
glowstone,45
deepslate_gold_ore,42
warped_nylium,41
mycelium,41
cobblestone_slab,41
nether_sprouts,39
furnace,38
iron_bars,38
glass_pane,37
coal_ore,37
birch_fence,36
white_bed,36
polished_deepslate,36
black_concrete_powder,35
nether_brick_stairs,35
oak_sign,33
coarse_dirt,32
black_concrete,32
lantern,31
iron_leggings,31
iron_chestplate,30
dripstone_block,29
egg,27
chorus_fruit,26
barrel,26
diorite,26
player_head,26
light_blue_wool,25
magma_block,25
brown_carpet,24
glass_bottle,24
calcite,23
polished_basalt,23
redstone_torch,23
item_frame,22
milk_bucket,21
repeater,21
basalt,19
birch_trapdoor,19
potato,19
spruce_stairs,19
stone_hoe,18
iron_helmet,18
snowball,17
spruce_sapling,17
potion,17
big_dripleaf,17
oak_door,17
brown_banner,17
iron_boots,16
anvil,16
hopper_minecart,16
dark_oak_slab,15
bread,15
soul_lantern,15
birch_wood,15
stone_pressure_plate,15
white_banner,15
blackstone,14
prismarine_bricks,14
crimson_slab,14
minecart,14
raw_copper_block,14
black_bed,14
air,14
black_carpet,13
smooth_basalt,13
wooden_pickaxe,12
light_gray_carpet,12
nether_wart,12
cut_sandstone,12
spruce_slab,12
sweet_berries,12
mud_bricks,12
deepslate_redstone_ore,12
oak_boat,11
crimson_stairs,11
diamond_boots,11
deepslate_lapis_ore,11
piston,11
powered_rail,11
birch_planks,10
golden_sword,10
end_stone,10
stone_brick_stairs,10
polished_blackstone_bricks,10
dark_prismarine,10
smooth_stone,10
dandelion,9
bricks,9
brown_terracotta,9
spruce_sign,9
twisting_vines,9
slime_block,9
totem_of_undying,9
sea_lantern,8
stripped_oak_log,8
warped_planks,8
comparator,8
red_carpet,8
light_gray_terracotta,8
andesite_slab,8
terracotta,8
writable_book,7
diorite_slab,7
light_blue_shulker_box,7
copper_ore,7
shroomlight,7
iron_trapdoor,7
red_tulip,7
cracked_polished_blackstone_bricks,7
brewing_stand,6
red_shulker_box,6
pointed_dripstone,6
nether_bricks,6
dark_oak_stairs,6
string,6
stonecutter,6
azure_bluet,5
glow_ink_sac,5
rose_bush,5
orange_terracotta,5
redstone_block,5
white_dye,5
apple,5
cocoa_beans,4
oak_button,4
furnace_minecart,4
dropper,4
cooked_chicken,4
polished_diorite,4
gilded_blackstone,4
granite_slab,4
spruce_planks,4
emerald_block,4
activator_rail,4
quartz_stairs,3
rotten_flesh,3
red_wool,3
bamboo,3
diamond_leggings,3
moss_carpet,3
mutton,3
dark_oak_sapling,3
chainmail_helmet,3
iron_door,3
white_tulip,3
birch_boat,3
brick_wall,3
packed_mud,3
note_block,3
stone_brick_slab,3
nether_gold_ore,3
splash_potion,3
oak_sapling,2
golden_apple,2
oak_pressure_plate,2
chipped_anvil,2
campfire,2
spruce_trapdoor,2
bone_block,2
crossbow,2
lapis_ore,2
allium,2
red_stained_glass_pane,2
dragon_head,2
emerald_ore,2
stone_button,2
lectern,2
orange_bed,2
target,2
spruce_button,2
cornflower,2
blackstone_wall,2
light_blue_stained_glass,2
polished_blackstone_pressure_plate,2
polished_blackstone_button,2
lily_of_the_valley,1
spruce_boat,1
prismarine,1
coal_block,1
mud_brick_stairs,1
leather_boots,1
amethyst_cluster,1
suspicious_stew,1
polished_blackstone_brick_wall,1
gold_block,1
dark_oak_log,1
enchanted_golden_apple,1
brown_mushroom,1
chicken,1
sculk_catalyst,1
peony,1
elytra,1
black_stained_glass_pane,1
orange_tulip,1
purpur_stairs,1
fire_charge,1
brick_stairs,1
sculk_sensor,1
cobweb,1
diamond_helmet,1
dark_oak_planks,1
red_dye,1
map,1
