Stat Name,Value
spruce_planks,1336
torch,1132
spruce_slab,1008
iron_ingot,723
mangrove_planks,516
stick,504
packed_mud,346
raw_iron,315
coarse_dirt,312
dark_oak_planks,296
oak_planks,276
cooked_beef,273
spruce_stairs,248
smooth_sandstone,218
bone_meal,198
cooked_porkchop,160
spruce_fence,147
birch_planks,144
warped_planks,128
spruce_trapdoor,120
stone,108
warped_slab,108
lapis_lazuli,99
coal,90
bread,82
glass,80
dark_oak_stairs,80
cooked_mutton,77
stone_bricks,76
gold_ingot,76
iron_block,66
diorite_slab,66
iron_bars,64
warped_stairs,64
mossy_cobblestone,64
mud_bricks,64
iron_nugget,63
sandstone_wall,60
redstone_block,53
mangrove_stairs,48
polished_basalt,48
glass_pane,48
birch_trapdoor,48
diorite_stairs,40
jungle_planks,40
lapis_block,40
oak_fence,36
dark_oak_slab,36
dark_oak_trapdoor,36
mangrove_slab,36
raw_iron_block,33
coal_block,33
chest,30
dark_oak_fence,30
spruce_sign,30
copper_ingot,29
mangrove_fence,21
hay_block,21
birch_sign,21
acacia_planks,20
dark_oak_fence_gate,18
sandstone_slab,18
mud_brick_wall,18
crimson_planks,16
ladder,15
chain,14
stone_slab,12
crafting_table,10
shears,10
furnace,8
charcoal,6
smooth_sandstone_slab,6
diamond_pickaxe,4
lantern,4
iron_door,3
iron_pickaxe,3
jungle_sign,3
stone_shovel,3
white_bed,3
grindstone,2
diamond_shovel,2
diamond_axe,2
spruce_button,2
oak_boat,2
oak_chest_boat,2
ender_chest,1
mangrove_boat,1
iron_boots,1
birch_button,1
ender_eye,1
cauldron,1
iron_helmet,1
wooden_pickaxe,1
iron_chestplate,1
wooden_hoe,1
acacia_chest_boat,1
stone_sword,1
mangrove_chest_boat,1
diamond_hoe,1
iron_axe,1
stone_pickaxe,1
iron_sword,1
bucket,1
stone_axe,1
acacia_boat,1
wooden_axe,1
iron_leggings,1
anvil,1
air,0
