Stat Name,Value
fly_one_cm,5733488
sprint_one_cm,4845816
walk_one_cm,4125912
play_time,1519838
total_world_time,1519838
fall_one_cm,817403
aviate_one_cm,518080
time_since_death,313799
crouch_one_cm,291168
boat_one_cm,282477
time_since_rest,218982
swim_one_cm,160276
sneak_time,91571
horse_one_cm,88090
walk_on_water_one_cm,79142
damage_dealt,57729
walk_under_water_one_cm,52946
climb_one_cm,30462
jump,27735
pig_one_cm,15842
damage_taken,12344
open_chest,805
mob_kills,527
animals_bred,427
interact_with_crafting_table,289
interact_with_furnace,273
damage_dealt_resisted,198
drop,175
enchant_item,31
open_barrel,24
leave_game,22
sleep_in_bed,21
interact_with_grindstone,16
interact_with_anvil,7
open_shulker_box,2
deaths,2
inspect_hopper,2
interact_with_lectern,2
bell_ring,1
talked_to_villager,1
open_enderchest,1
inspect_dispenser,1
