Stat Name,Value
feather,292
sandstone,89
spruce_slab,65
dirt,64
wheat_seeds,49
rotten_flesh,39
oak_log,34
cobbled_deepslate,33
white_wool,27
oak_planks,24
poppy,23
acacia_log,20
warped_stairs,20
cobblestone,13
warped_slab,13
packed_mud,11
stick,11
stone,11
bone,10
wheat,10
gunpowder,10
acacia_planks,9
tuff,9
beetroot_seeds,8
rail,6
beef,5
granite,5
stone_shovel,5
flint,4
iron_nugget,4
arrow,4
diorite,4
smooth_basalt,4
spider_eye,4
soul_sand,3
sand,3
iron_pickaxe,3
mangrove_roots,3
activator_rail,3
ink_sac,3
oak_sapling,3
bow,3
crimson_stem,2
diamond_axe,2
diamond,2
gravel,2
birch_sapling,2
water_bucket,2
dripstone_block,2
coal,2
iron_door,2
furnace,2
moss_carpet,2
stone_sword,2
spruce_planks,2
iron_sword,1
glass_bottle,1
dark_oak_sapling,1
birch_fence,1
crimson_roots,1
dark_oak_planks,1
stone_axe,1
golden_chestplate,1
beetroot,1
white_bed,1
warped_planks,1
oak_chest_boat,1
hopper,1
chest,1
basalt,1
egg,1
enchanted_book,1
golden_helmet,1
apple,1
wooden_hoe,1
wooden_axe,1
iron_axe,1
spruce_sapling,1
player_head,1
spruce_fence,1
shears,1
diamond_pickaxe,1
wooden_pickaxe,1
magma_block,1
