Stat Name,Value
dirt,2300
grass_block,2199
stone,2019
wheat,1756
deepslate,1636
mangrove_roots,1371
sandstone,1051
mangrove_leaves,1019
sand,877
oak_log,764
calcite,738
moss_block,724
andesite,716
mangrove_log,680
spruce_log,657
coal_ore,635
diorite,633
mud,620
dark_oak_log,597
oak_leaves,454
netherrack,449
basalt,418
birch_log,409
carrots,392
short_grass,388
iron_ore,294
smooth_basalt,237
gravel,183
dripstone_block,182
vine,179
deepslate_iron_ore,159
spruce_slab,144
warped_stem,135
sugar_cane,127
brown_mushroom_block,91
deepslate_redstone_ore,86
cobblestone,79
warped_wart_block,75
blackstone,73
sculk,71
moss_carpet,66
amethyst_block,65
birch_leaves,59
oak_fence,54
tall_grass,53
crafting_table,52
fire,47
deepslate_gold_ore,47
potatoes,46
tuff,42
oak_planks,38
spruce_leaves,37
torch,34
spruce_planks,33
spruce_trapdoor,32
chest,32
iron_bars,31
poppy,28
nether_wart_block,28
lapis_ore,28
cobweb,25
spruce_sapling,23
warped_roots,23
spruce_fence,22
spruce_stairs,22
coarse_dirt,22
soul_fire,21
shroomlight,21
dirt_path,18
deepslate_diamond_ore,18
granite,17
deepslate_lapis_ore,17
furnace,17
obsidian,16
pointed_dripstone,14
redstone_ore,13
copper_ore,13
jungle_log,12
azalea,12
mangrove_propagule,12
dandelion,12
mushroom_stem,11
wall_torch,10
packed_mud,10
bone_block,10
gold_ore,10
oak_sapling,9
acacia_log,9
podzol,9
soul_soil,8
tripwire,8
warped_fungus,7
infested_deepslate,7
dark_oak_leaves,7
warped_stairs,6
crimson_stem,6
warped_slab,6
crimson_nylium,5
mossy_cobblestone,5
mangrove_planks,4
magma_block,3
sandstone_slab,3
player_wall_head,3
amethyst_cluster,3
diorite_slab,3
nether_sprouts,3
white_bed,2
sculk_vein,2
budding_amethyst,2
diorite_stairs,2
crimson_fungus,2
raw_iron_block,2
dark_oak_sapling,2
flowering_azalea,2
smooth_sandstone,2
emerald_ore,2
sculk_sensor,2
weeping_vines_plant,1
dark_oak_trapdoor,1
cobbled_deepslate,1
dark_oak_stairs,1
cave_vines,1
medium_amethyst_bud,1
spruce_wall_sign,1
nether_quartz_ore,1
grindstone,1
spruce_sign,1
birch_sapling,1
beetroots,1
ladder,1
dark_oak_fence,1
crimson_roots,1
peony,1
nether_brick_fence,1
ender_chest,1
scaffolding,1
glass_pane,1
jungle_sign,1
cobbled_deepslate_wall,1
birch_planks,1
polished_blackstone_slab,1
muddy_mangrove_roots,1
stone_bricks,1
chipped_anvil,1
jungle_wall_sign,1
