Stat Name,Value
dirt,9114
cobbled_deepslate,5928
sandstone,4544
wheat_seeds,4516
sand,4158
calcite,2829
oak_log,2787
andesite,2754
moss_block,2684
cobblestone,2618
diorite,2297
mangrove_roots,2195
dark_oak_log,2165
spruce_log,2063
mangrove_log,2010
wheat,1678
carrot,1369
mud,1288
basalt,1217
oak_leaves,1151
birch_log,1069
packed_mud,969
white_wool,944
coal,845
mangrove_leaves,802
smooth_basalt,772
vine,742
raw_iron,702
stone,671
stick,649
short_grass,557
redstone,498
warped_stem,476
lapis_lazuli,471
moss_carpet,415
sugar_cane,412
netherrack,398
spruce_slab,308
oak_sapling,288
warped_wart_block,284
beef,284
leather,282
blackstone,280
birch_sapling,254
torch,195
dripstone_block,180
gravel,161
porkchop,160
brown_mushroom_block,159
potato,148
cooked_beef,146
mutton,130
amethyst_block,128
cooked_porkchop,128
nether_wart_block,112
spruce_sapling,112
mangrove_propagule,112
dark_oak_planks,106
bone,101
mangrove_planks,99
warped_roots,92
smooth_sandstone,91
spruce_planks,87
dark_oak_sapling,85
iron_bars,84
shroomlight,80
spruce_trapdoor,80
arrow,80
cooked_mutton,77
raw_gold,76
oak_fence,64
firework_rocket,64
pointed_dripstone,63
string,60
gold_ingot,59
oak_planks,58
iron_block,55
redstone_block,53
crafting_table,52
light_gray_wool,51
rotten_flesh,49
glass,46
diamond,46
bread,45
spruce_stairs,43
warped_stairs,42
birch_trapdoor,40
tuff,40
bone_block,40
raw_copper,38
azalea,38
gunpowder,37
sandstone_wall,33
polished_basalt,33
mangrove_slab,32
chest,32
warped_slab,30
diorite_slab,30
lapis_block,29
dark_oak_trapdoor,29
copper_ingot,29
apple,29
dark_oak_stairs,28
warped_fungus,28
warped_planks,26
acacia_log,25
diorite_stairs,25
mangrove_stairs,24
poppy,24
mud_bricks,24
flint,23
birch_planks,23
coarse_dirt,22
mushroom_stem,22
flowering_azalea,22
spruce_sign,21
spruce_fence,21
dark_oak_slab,19
furnace,17
jungle_planks,17
glass_pane,17
soul_soil,16
obsidian,16
ladder,15
egg,14
coal_block,13
jungle_log,12
amethyst_shard,12
glow_ink_sac,10
mangrove_fence,9
granite,9
magma_cream,8
ghast_tear,8
player_head,8
beetroot_seeds,8
crimson_stem,8
crimson_fungus,8
grass_block,7
iron_nugget,7
stone_shovel,7
oak_chest_boat,7
rail,7
acacia_planks,6
iron_ingot,6
spider_eye,6
stone_slab,5
bow,5
mossy_cobblestone,5
stone_bricks,5
iron_door,4
diamond_pickaxe,4
jungle_sign,4
smooth_sandstone_slab,4
mud_brick_wall,4
coal_ore,4
diamond_axe,4
activator_rail,3
magma_block,3
ink_sac,3
sandstone_slab,3
soul_sand,3
iron_pickaxe,2
fishing_rod,2
emerald,2
golden_horse_armor,2
acacia_chest_boat,2
jungle_sapling,2
raw_iron_block,2
white_bed,2
iron_chestplate,1
chainmail_boots,1
ender_chest,1
nether_brick_fence,1
enchanted_book,1
potion,1
iron_leggings,1
beetroot,1
golden_helmet,1
golden_chestplate,1
stone_sword,1
muddy_mangrove_roots,1
mangrove_chest_boat,1
water_bucket,1
golden_leggings,1
leather_boots,1
chipped_anvil,1
cobbled_deepslate_wall,1
grindstone,1
polished_blackstone_slab,1
dark_oak_fence,1
crimson_roots,1
azure_bluet,1
chest_minecart,1
diamond_horse_armor,1
elytra,1
white_carpet,1
birch_fence,1
oak_boat,1
weeping_vines,1
peony,1
saddle,1
golden_boots,1
glass_bottle,1
acacia_sapling,1
dandelion,1
diamond_shovel,1
iron_helmet,1
hopper,1
ender_pearl,1
