Stat Name,Value
diamond_pickaxe,9307
diamond_axe,6441
diamond_shovel,6124
dirt,1844
wheat_seeds,1706
torch,1231
shears,1142
spruce_slab,1139
diamond_hoe,914
air,613
potion,613
glass_bottle,612
iron_pickaxe,436
carrot,434
netherrack,384
mangrove_planks,317
bone_meal,314
cobblestone,285
coarse_dirt,271
spruce_stairs,242
mangrove_roots,237
iron_sword,236
mangrove_log,210
short_grass,207
moss_block,204
andesite,198
iron_axe,165
sandstone,159
packed_mud,152
oak_sapling,142
spruce_fence,141
cooked_beef,139
oak_log,136
stone,134
stone_pickaxe,131
stone_shovel,131
diorite,130
spruce_planks,126
smooth_sandstone,126
spruce_trapdoor,119
bread,106
warped_slab,101
calcite,100
white_wool,95
basalt,95
spruce_sapling,83
potato,81
mud,81
oak_fence,80
brown_mushroom_block,77
stone_bricks,73
sand,72
iron_bars,67
stone_sword,66
mossy_cobblestone,64
chest,57
crafting_table,57
birch_sapling,53
egg,53
stone_axe,53
dark_oak_stairs,52
dark_oak_sapling,48
warped_stairs,46
bucket,46
water_bucket,45
dark_oak_log,43
diorite_slab,40
glass_pane,33
mangrove_propagule,32
cooked_porkchop,32
dark_oak_fence,31
sugar_cane,30
vine,30
ladder,28
cobbled_deepslate,28
string,27
sandstone_wall,27
mangrove_stairs,24
mud_bricks,22
birch_sign,21
sandstone_slab,21
furnace,20
diorite_stairs,19
dark_oak_fence_gate,18
fishing_rod,18
dark_oak_slab,17
polished_basalt,15
chain,14
mud_brick_wall,14
dripstone_block,13
spruce_sign,13
mangrove_fence,12
firework_rocket,10
dark_oak_trapdoor,9
birch_trapdoor,8
birch_log,8
pointed_dripstone,8
warped_stem,8
player_head,7
dark_oak_planks,7
spruce_log,7
moss_carpet,6
hay_block,6
oak_chest_boat,6
wooden_axe,6
jungle_sign,5
lantern,4
mangrove_slab,4
white_bed,4
wooden_pickaxe,3
grindstone,3
tuff,2
jungle_sapling,2
glow_berries,2
iron_door,2
gravel,2
spruce_button,2
jungle_log,2
smooth_sandstone_slab,2
apple,2
peony,1
nether_brick_fence,1
elytra,1
poppy,1
weeping_vines,1
polished_blackstone_slab,1
birch_button,1
magma_block,1
bow,1
oak_boat,1
mangrove_chest_boat,1
ender_chest,1
cooked_chicken,1
anvil,1
chipped_anvil,1
muddy_mangrove_roots,1
cobbled_deepslate_wall,1
birch_planks,1
cauldron,1
rail,1
warped_planks,1
wooden_hoe,1
acacia_chest_boat,1
dandelion,1
