Stat Name,Value
mangrove_planks,5792
spruce_planks,5364
iron_nugget,5193
mangrove_slab,3996
mossy_cobblestone,3691
stone_bricks,3616
mossy_stone_bricks,3482
bone_meal,3269
torch,3160
iron_ingot,3095
glass,2589
black_concrete_powder,2456
stick,2253
red_stained_glass,1728
scaffolding,1323
firework_rocket,1276
copper_ingot,1238
mangrove_stairs,1104
dark_oak_planks,1040
emerald,783
paper,780
gold_ingot,762
mangrove_trapdoor,744
jungle_planks,680
cooked_beef,655
chest,640
stone,605
chain,532
red_concrete_powder,512
brown_concrete_powder,512
spruce_trapdoor,504
lantern,452
iron_bars,448
red_dye,393
ladder,387
oak_planks,308
black_dye,307
packed_mud,265
mangrove_fence,207
diamond,198
red_sand,192
tnt,172
redstone_torch,161
piston,138
coarse_dirt,128
deepslate_brick_slab,120
hopper,120
deepslate_brick_stairs,112
book,112
deepslate,111
jungle_slab,108
cobbled_deepslate_slab,106
lever,90
smooth_stone,80
cobblestone_slab,76
dark_oak_slab,72
iron_block,68
gold_block,68
cobbled_deepslate_stairs,66
blackstone_slab,66
redstone_block,65
stone_brick_stairs,64
brown_dye,64
deepslate_bricks,64
mud_bricks,64
dark_oak_trapdoor,60
oak_trapdoor,60
stone_shovel,59
emerald_block,55
observer,53
diamond_block,51
rail,48
powered_rail,48
birch_planks,44
repeater,43
oak_button,40
spruce_fence,39
grindstone,38
iron_door,36
raw_iron,36
black_carpet,36
item_frame,33
red_sandstone,32
smooth_red_sandstone,32
bookshelf,29
furnace,28
dropper,26
cooked_porkchop,24
campfire,24
cracked_deepslate_bricks,24
iron_pickaxe,21
comparator,21
dispenser,20
bucket,20
stone_slab,18
stripped_dark_oak_wood,16
deepslate_tile_stairs,16
bow,16
chiseled_polished_blackstone,16
diamond_pickaxe,16
glass_bottle,15
deepslate_brick_wall,15
stone_pickaxe,15
enchanted_book,13
cobbled_deepslate_wall,12
polished_blackstone_brick_slab,12
blast_furnace,12
diamond_hoe,11
crafting_table,11
blaze_powder,10
white_carpet,9
gold_nugget,9
stone_stairs,8
arrow,8
stone_button,8
iron_shovel,7
oak_sign,6
hay_block,6
polished_deepslate_slab,6
diamond_boots,6
cobblestone_wall,6
diamond_sword,6
mangrove_door,6
golden_helmet,5
stone_hoe,5
shield,5
stone_sword,5
flint_and_steel,5
netherite_scrap,5
iron_sword,5
ender_chest,4
mangrove_fence_gate,4
dark_oak_wood,4
ender_eye,4
polished_deepslate,4
iron_hoe,4
diamond_shovel,3
spruce_door,3
spruce_boat,3
white_bed,3
hopper_minecart,3
dark_oak_fence_gate,3
shears,3
iron_axe,3
minecart,3
stonecutter,3
anvil,3
diamond_axe,2
cooked_chicken,2
oak_boat,2
birch_boat,1
slime_block,1
cooked_mutton,1
diamond_leggings,1
beacon,1
jungle_boat,1
smithing_table,1
clock,1
sticky_piston,1
netherite_ingot,1
composter,1
golden_carrot,1
netherite_pickaxe,1
enchanting_table,1
conduit,1
fermented_spider_eye,1
wooden_axe,1
iron_leggings,1
dark_oak_boat,1
iron_boots,1
smoker,1
wooden_pickaxe,1
spruce_chest_boat,1
brewing_stand,1
iron_chestplate,1
wooden_sword,1
birch_chest_boat,1
sugar,1
golden_shovel,1
stone_axe,1
diamond_chestplate,1
air,0
