Stat Name,Value
aviate_one_cm,61539072
sprint_one_cm,29373366
walk_one_cm,26194140
fly_one_cm,17377387
crouch_one_cm,14976868
play_time,13848747
total_world_time,13848747
walk_under_water_one_cm,10118139
swim_one_cm,4296004
boat_one_cm,3982803
sneak_time,3023084
horse_one_cm,2553341
fall_one_cm,1841572
climb_one_cm,1590025
walk_on_water_one_cm,1575931
damage_dealt,583189
time_since_death,190870
jump,92607
damage_taken,35419
time_since_rest,19618
mob_kills,14806
open_chest,8619
damage_blocked_by_shield,4580
drop,1065
sleep_in_bed,707
interact_with_crafting_table,566
animals_bred,426
leave_game,413
interact_with_furnace,366
interact_with_blast_furnace,344
open_enderchest,226
interact_with_stonecutter,202
pig_one_cm,181
open_barrel,127
enchant_item,116
open_shulker_box,95
interact_with_anvil,76
interact_with_smoker,55
talked_to_villager,51
inspect_dispenser,44
interact_with_grindstone,29
inspect_hopper,20
deaths,13
traded_with_villager,13
interact_with_brewingstand,11
inspect_dropper,9
interact_with_smithing_table,6
interact_with_lectern,5
interact_with_beacon,5
