Stat Name,Value
rotten_flesh,3363
netherrack,1680
ender_pearl,843
cobbled_deepslate,798
sand,783
moss_carpet,642
gravel,626
basalt,532
stone,496
snowball,304
wheat_seeds,287
dirt,281
azalea,245
deepslate,219
tuff,209
redstone,203
flint,188
granite,181
kelp,135
torch,128
scaffolding,115
andesite,95
raw_copper,82
mangrove_slab,64
cobbled_deepslate_stairs,64
deepslate_brick_stairs,64
sculk_vein,59
flowering_azalea,56
mangrove_planks,53
gold_ingot,51
stone_shovel,50
blackstone,49
oak_log,47
player_head,43
deepslate_tiles,41
deepslate_redstone_ore,36
copper_ore,36
bone,31
cobblestone,28
birch_log,24
slime_ball,24
stick,23
dandelion,22
feather,15
sunflower,14
chicken,14
smooth_basalt,14
golden_leggings,14
leather_leggings,13
leather,13
carrot,13
amethyst_block,13
bubble_coral_fan,12
brain_coral_fan,12
fire_coral_fan,12
golden_boots,11
oak_sapling,11
stone_pickaxe,11
golden_chestplate,10
leather_boots,10
pointed_dripstone,10
gunpowder,10
potato,9
horn_coral_fan,9
iron_ore,9
raw_gold,9
tube_coral_fan,8
golden_helmet,8
diorite,8
string,7
leather_chestplate,7
copper_ingot,7
leather_helmet,6
coal_ore,6
apple,6
oxeye_daisy,6
oak_stairs,6
iron_shovel,6
lead,6
fire_coral,6
calcite,6
egg,5
coal,5
red_sand,5
bubble_coral,5
stripped_dark_oak_wood,4
azure_bluet,4
ladder,4
spruce_door,4
ink_sac,4
baked_potato,4
chest,4
blackstone_slab,4
written_book,4
iron_sword,3
glass_bottle,3
mossy_stone_brick_stairs,3
horn_coral,3
cooked_chicken,3
salmon,3
chainmail_helmet,3
allium,3
chainmail_boots,3
raw_iron,3
brain_coral,3
crafting_table,2
orange_tulip,2
wheat,2
birch_sapling,2
oak_planks,2
iron_boots,2
spider_eye,2
jungle_planks,2
poppy,2
firework_rocket,2
sculk_catalyst,2
cactus,2
oak_boat,2
cooked_beef,1
bone_meal,1
dark_oak_planks,1
fishing_rod,1
white_wool,1
sugar_cane,1
grindstone,1
clock,1
cobbled_deepslate_wall,1
lapis_ore,1
chainmail_leggings,1
spruce_sapling,1
stone_sword,1
bow,1
red_tulip,1
tube_coral,1
diamond_shovel,1
trident,1
arrow,1
oak_leaves,1
stone_hoe,1
poisonous_potato,1
shield,1
iron_chestplate,1
