Stat Name,Value
deepslate,51020
mangrove_leaves,25975
stone,22737
dirt,11267
blackstone,9440
sand,6646
tuff,4742
moss_block,4427
grass_block,4229
mangrove_roots,4037
netherrack,3647
gravel,3133
sculk,3025
andesite,2663
mangrove_log,2099
coal_ore,2051
spruce_log,1936
diorite,1807
basalt,1678
scaffolding,1498
short_grass,1481
dark_oak_log,1478
calcite,1278
wheat,1231
stripped_dark_oak_log,1159
dark_oak_leaves,1153
magma_block,1093
granite,984
iron_ore,984
bubble_coral_block,906
dripstone_block,804
black_concrete,758
deepslate_bricks,737
deepslate_diamond_ore,663
deepslate_iron_ore,651
deepslate_gold_ore,634
deepslate_redstone_ore,597
torch,591
cobblestone,581
cobbled_deepslate,575
dead_bubble_coral_block,550
brain_coral_block,545
jungle_leaves,516
mossy_stone_bricks,512
mangrove_slab,494
smooth_basalt,474
spruce_leaves,466
stone_slab,465
vine,462
copper_ore,446
amethyst_block,424
sugar_cane,417
wall_torch,369
deepslate_tiles,360
mossy_cobblestone,334
mud,313
stripped_mangrove_log,309
tall_grass,297
dead_brain_coral_block,284
deepslate_brick_stairs,266
chest,240
deepslate_lapis_ore,225
oak_leaves,219
cobbled_deepslate_stairs,209
sculk_vein,202
moss_carpet,200
obsidian,197
nether_quartz_ore,197
jungle_log,182
oak_log,161
fire,147
mangrove_planks,140
seagrass,123
lapis_ore,117
bamboo,112
azalea,112
tall_seagrass,103
cocoa,102
polished_blackstone_bricks,101
crafting_table,90
kelp_plant,75
cobbled_deepslate_wall,72
deepslate_brick_slab,70
kelp,66
mangrove_trapdoor,66
prismarine_bricks,63
poppy,59
chain,56
budding_amethyst,56
mangrove_stairs,54
gold_ore,54
birch_log,54
lily_of_the_valley,52
mangrove_propagule,50
deepslate_brick_wall,49
pointed_dripstone,47
flowering_azalea,46
cobbled_deepslate_slab,43
red_tulip,43
carrots,43
polished_blackstone_brick_slab,41
stone_bricks,39
polished_deepslate,39
hopper,37
dandelion,37
blackstone_slab,34
bubble_coral_wall_fan,34
potatoes,33
cobblestone_slab,33
sculk_sensor,32
packed_mud,31
bookshelf,30
lantern,30
horn_coral_wall_fan,29
ladder,28
sandstone,28
repeater,27
redstone_ore,26
amethyst_cluster,25
brain_coral_wall_fan,25
campfire,24
white_bed,23
fire_coral_wall_fan,22
tube_coral_wall_fan,21
dark_oak_planks,20
black_concrete_powder,20
iron_bars,20
sunflower,18
end_stone,17
diorite_wall,17
ender_chest,15
pumpkin,13
fire_coral,13
brown_mushroom,12
polished_blackstone_brick_stairs,12
muddy_mangrove_roots,12
deepslate_tile_wall,11
mossy_cobblestone_stairs,11
stonecutter,11
redstone_wire,11
spruce_trapdoor,11
observer,10
furnace,10
bubble_coral,10
blackstone_stairs,9
stripped_dark_oak_wood,9
piston,9
horn_coral,9
mossy_stone_brick_stairs,9
brain_coral,9
mangrove_fence,9
oak_trapdoor,9
spruce_sapling,9
tube_coral_fan,8
dark_oak_sapling,8
stone_brick_slab,8
grindstone,8
red_concrete_powder,8
andesite_slab,8
red_sand,7
deepslate_tile_stairs,7
dirt_path,7
glass,7
mud_bricks,7
orange_tulip,7
rose_bush,7
sea_pickle,7
nether_bricks,6
cornflower,6
birch_leaves,6
spruce_planks,6
red_stained_glass,6
oxeye_daisy,5
brain_coral_fan,5
sculk_catalyst,5
azure_bluet,5
fire_coral_fan,5
dispenser,5
ancient_debris,5
dark_oak_fence_gate,5
sculk_shrieker,4
polished_blackstone_brick_wall,4
raw_iron_block,4
mossy_cobblestone_wall,4
mossy_stone_brick_wall,4
tnt,4
tube_coral,4
nether_wart,3
polished_deepslate_slab,3
oak_stairs,3
deepslate_tile_slab,3
blast_furnace,3
dead_bush,3
allium,3
soul_sand,3
chipped_anvil,3
cobblestone_stairs,3
mossy_cobblestone_slab,3
powered_rail,3
nether_gold_ore,3
glow_lichen,3
nether_brick_fence,3
horn_coral_fan,2
enchanting_table,2
stone_brick_stairs,2
dropper,2
white_carpet,2
farmland,2
anvil,2
mangrove_fence_gate,2
prismarine,2
lever,2
redstone_torch,2
oak_wall_sign,1
player_wall_head,1
smoker,1
brown_concrete,1
fire_coral_block,1
comparator,1
cobblestone_wall,1
mossy_stone_brick_slab,1
bubble_coral_fan,1
glowstone,1
clay,1
oak_planks,1
iron_door,1
dark_oak_slab,1
horn_coral_block,1
stripped_oak_log,1
podzol,1
