Stat Name,Value
cobbled_deepslate,48216
dirt,13917
stone,11653
cobblestone,11003
blackstone,9477
sand,8809
deepslate,5054
tuff,4895
moss_block,4504
mangrove_roots,4012
wheat_seeds,3821
sculk,3757
rotten_flesh,3385
gravel,3272
andesite,2867
scaffolding,2827
netherrack,2810
lapis_lazuli,2689
coal,2485
redstone,2204
mangrove_log,2107
spruce_log,1930
raw_iron,1897
torch,1783
basalt,1740
diorite,1713
mangrove_leaves,1709
raw_copper,1612
moss_carpet,1509
stick,1495
dark_oak_log,1490
bamboo,1428
kelp,1350
calcite,1251
wheat,1205
stripped_dark_oak_log,1196
ender_pearl,1097
magma_block,1012
granite,999
deepslate_tiles,904
deepslate_brick_stairs,894
cobbled_deepslate_stairs,773
cooked_beef,764
diamond,760
black_concrete,752
dripstone_block,748
sugar_cane,743
dead_bubble_coral_block,742
deepslate_bricks,723
beef,718
leather,713
raw_gold,704
coal_ore,694
bubble_coral_block,681
mossy_stone_bricks,605
mangrove_slab,549
dead_brain_coral_block,508
ink_sac,457
smooth_basalt,456
stone_slab,434
polished_deepslate,418
amethyst_block,399
iron_ore,371
flint,356
deepslate_gold_ore,339
deepslate_diamond_ore,339
mossy_cobblestone,334
deepslate_iron_ore,333
brain_coral_block,316
cocoa_beans,310
azalea,308
mud,307
mangrove_planks,306
stripped_mangrove_log,305
snowball,304
mangrove_propagule,295
chest,291
deepslate_redstone_ore,290
vine,262
mangrove_stairs,240
copper_ore,232
obsidian,231
rose_bush,229
spruce_sapling,221
dark_oak_sapling,216
deepslate_brick_wall,211
sculk_vein,203
cobbled_deepslate_wall,201
jungle_log,181
carrot,176
oak_log,172
arrow,168
deepslate_brick_slab,153
ladder,149
nether_quartz_ore,146
firework_rocket,137
dark_oak_leaves,133
potato,133
deepslate_tile_wall,132
quartz,132
sea_pickle,127
flowering_azalea,125
prismarine_bricks,119
bone,119
crafting_table,115
lantern,106
deepslate_lapis_ore,106
white_wool,103
pointed_dripstone,86
mangrove_trapdoor,82
polished_blackstone_bricks,76
slime_ball,71
tnt,66
poppy,64
lily_of_the_valley,62
red_tulip,58
player_head,58
dandelion,58
deepslate_tile_stairs,57
cobbled_deepslate_slab,57
paper,56
chain,55
birch_log,53
jungle_fence,48
lapis_ore,43
amethyst_shard,40
string,39
stone_bricks,39
gunpowder,39
blackstone_slab,37
hopper,36
polished_blackstone_brick_slab,34
gold_ore,31
bookshelf,30
oak_sapling,30
sculk_sensor,30
packed_mud,29
repeater,27
azure_bluet,27
copper_ingot,27
white_bed,27
cobblestone_slab,26
spruce_planks,24
bubble_coral_fan,24
amethyst_cluster,24
porkchop,24
dark_oak_planks,24
iron_ingot,24
soul_sand,24
blaze_rod,23
glow_ink_sac,23
sandstone,21
oxeye_daisy,21
fire_coral_fan,21
book,21
spectral_arrow,20
horn_coral_fan,19
feather,19
apple,19
nautilus_shell,19
magma_cream,18
pink_tulip,18
brain_coral_fan,18
sunflower,18
lead,17
golden_helmet,17
end_stone,17
piston,16
ender_chest,16
chicken,16
diamond_pickaxe,15
jungle_sapling,15
tube_coral_fan,15
golden_leggings,14
item_frame,14
black_concrete_powder,13
leather_leggings,13
redstone_ore,13
stripped_dark_oak_wood,13
pumpkin,13
diamond_sword,12
iron_nugget,12
muddy_mangrove_roots,12
bow,12
mossy_stone_brick_stairs,12
diorite_wall,12
stonecutter,11
golden_boots,11
diamond_axe,11
potion,11
cooked_porkchop,11
grass_block,11
spruce_trapdoor,11
