Stat Name,Value
diamond_pickaxe,78234
diamond_hoe,34514
netherite_pickaxe,34267
diamond_shovel,22817
diamond_axe,14361
deepslate_bricks,13588
dirt,13417
cobbled_deepslate,12270
diamond_sword,7546
deepslate_tiles,7343
stone,6440
iron_pickaxe,5486
mangrove_slab,4276
polished_blackstone_bricks,4002
cobblestone,3953
torch,3721
mossy_stone_bricks,3696
mossy_cobblestone,3508
scaffolding,3279
deepslate,2707
sculk,2587
bone_meal,2550
blackstone,2414
tuff,2320
mangrove_planks,2224
black_concrete_powder,2214
wheat_seeds,2072
deepslate_brick_stairs,2062
iron_shovel,2012
cobbled_deepslate_stairs,1600
red_stained_glass,1553
firework_rocket,1507
andesite,1394
iron_sword,1277
sand,1216
deepslate_brick_slab,1181
mangrove_stairs,1129
stripped_dark_oak_log,1088
iron_hoe,1071
cobbled_deepslate_slab,1001
cooked_beef,956
cobbled_deepslate_wall,936
stone_shovel,931
dark_oak_log,841
iron_axe,813
stone_slab,774
gravel,745
chest,736
stone_hoe,735
calcite,704
black_concrete,699
deepslate_brick_wall,683
mangrove_trapdoor,681
coal_ore,646
dead_bubble_coral_block,638
netherrack,633
polished_deepslate,607
diorite_wall,555
bubble_coral_block,541
diorite,540
stone_pickaxe,527
stone_sword,484
chain,480
ladder,468
moss_block,434
iron_bars,412
dripstone_block,407
shears,399
kelp,390
lantern,386
cobblestone_slab,375
blackstone_slab,362
dead_brain_coral_block,348
iron_ore,343
bucket,343
water_bucket,325
bow,319
deepslate_iron_ore,301
mangrove_log,291
granite,291
brain_coral_block,286
deepslate_diamond_ore,285
deepslate_gold_ore,285
spruce_trapdoor,275
stripped_mangrove_log,271
red_concrete_powder,247
stone_bricks,242
brown_concrete_powder,233
deepslate_tile_wall,230
basalt,221
deepslate_redstone_ore,215
polished_deepslate_slab,211
polished_blackstone_brick_stairs,206
stone_brick_slab,203
polished_blackstone_brick_slab,189
deepslate_tile_stairs,187
andesite_slab,173
dark_oak_sapling,168
copper_ore,160
mangrove_fence,156
iron_block,155
polished_blackstone_brick_wall,155
glass,147
obsidian,146
mangrove_propagule,145
flint_and_steel,145
stone_axe,134
mossy_stone_brick_slab,128
hopper,120
cocoa_beans,118
mossy_cobblestone_slab,109
spruce_sapling,105
blackstone_stairs,101
packed_mud,100
deepslate_lapis_ore,100
crafting_table,98
shield,97
tnt,90
redstone,89
glass_bottle,81
deepslate_tile_slab,79
mossy_cobblestone_stairs,76
potion,75
air,73
cobblestone_stairs,73
dark_oak_leaves,64
piston,61
nether_quartz_ore,59
repeater,58
sugar_cane,55
oak_trapdoor,53
bookshelf,53
black_carpet,50
carrot,50
mossy_stone_brick_stairs,48
observer,47
item_frame,47
prismarine_bricks,45
stone_brick_stairs,43
wooden_pickaxe,43
potato,40
mud_bricks,35
spruce_fence,34
lapis_ore,34
dark_oak_slab,33
wooden_axe,31
powered_rail,30
polished_blackstone,28
wooden_sword,27
red_sand,27
dark_oak_planks,27
white_bed,26
furnace,25
campfire,24
cooked_porkchop,24
coarse_dirt,24
gold_ore,21
oak_button,20
blackstone_wall,20
iron_door,20
lever,18
mossy_cobblestone_wall,18
redstone_block,17
ender_chest,17
dispenser,15
grindstone,15
soul_sand,14
smooth_red_sandstone,13
redstone_ore,13
stonecutter,13
bamboo,12
spruce_log,12
blast_furnace,11
birch_chest_boat,9
diamond_block,9
vine,9
moss_carpet,9
string,9
white_carpet,9
oak_sapling,8
jungle_log,8
comparator,8
mossy_stone_brick_wall,8
grass_block,7
dark_oak_fence_gate,7
end_stone,7
mangrove_fence_gate,6
stripped_dark_oak_wood,6
oak_boat,6
anvil,6
nether_wart,6
sculk_catalyst,6
smooth_basalt,5
oak_sign,5
player_head,5
dropper,5
spruce_boat,4
jungle_sapling,4
lava_bucket,4
mangrove_door,4
hopper_minecart,4
spruce_planks,4
enchanting_table,3
chipped_anvil,3
spruce_chest_boat,3
sunflower,3
dark_oak_wood,3
written_book,3
wither_skeleton_skull,3
chiseled_deepslate,2
jungle_boat,2
stone_stairs,2
pointed_dripstone,2
redstone_torch,2
cooked_chicken,2
cobblestone_wall,2
baked_potato,2
birch_boat,2
smoker,2
elytra,1
dark_oak_boat,1
egg,1
spruce_door,1
composter,1
smithing_table,1
birch_log,1
brewing_stand,1
slime_block,1
podzol,1
conduit,1
oak_log,1
mud,1
sculk_vein,1
milk_bucket,1
magma_block,1
chiseled_polished_blackstone,1
oak_planks,1
ender_pearl,1
sticky_piston,1
rose_bush,1
iron_boots,1
cooked_mutton,1
beacon,1
apple,1
