Stat Name,Value
iron_ingot,2165
paper,1797
raw_copper,1602
copper_ingot,1539
emerald,1513
torch,1456
firework_rocket,1146
emerald_block,1065
oak_planks,860
stick,698
spruce_planks,688
bone_meal,672
packed_mud,558
glass,540
cooked_beef,511
dark_oak_planks,492
rail,464
deepslate_bricks,452
polished_deepslate,452
stone_bricks,420
charcoal,392
mud_bricks,364
iron_block,351
raw_copper_block,348
deepslate_tiles,336
stone_brick_slab,288
raw_iron,261
brick,252
golden_carrot,231
spruce_slab,228
cobblestone_stairs,224
gold_ingot,219
redstone,207
redstone_block,195
spruce_stairs,184
copper_block,179
lapis_lazuli,144
mangrove_slab,138
spruce_trapdoor,132
dark_oak_slab,132
book,131
raw_gold,117
mangrove_planks,112
deepslate_tile_slab,96
wheat,91
deepslate_tile_stairs,88
lapis_block,88
iron_nugget,72
cooked_salmon,68
deepslate_brick_slab,66
iron_bars,64
white_stained_glass_pane,64
jungle_planks,64
diamond,63
bookshelf,55
lantern,54
oak_slab,54
scaffolding,54
cooked_mutton,52
ladder,51
bone_block,49
enchanted_book,46
spruce_fence,45
oak_sign,42
mud_brick_wall,42
mangrove_stairs,40
chest,40
oak_fence,39
quartz_block,36
deepslate_brick_stairs,32
bricks,32
crafting_table,32
glass_bottle,30
raw_iron_block,29
birch_planks,28
moss_carpet,27
redstone_torch,27
diamond_block,26
cooked_porkchop,25
white_stained_glass,24
mud_brick_stairs,24
gold_block,24
oak_trapdoor,24
light_gray_carpet,21
barrel,19
oak_boat,19
stone_slab,18
smooth_stone_slab,18
dark_oak_fence,18
dropper,18
gray_carpet,18
smooth_stone,16
spruce_fence_gate,16
brick_stairs,16
stone,16
iron_axe,16
dark_oak_stairs,16
gray_wool,14
bow,14
gray_dye,14
raw_gold_block,13
brick_slab,12
oak_fence_gate,12
mangrove_trapdoor,12
dark_oak_trapdoor,12
jungle_trapdoor,12
bucket,11
loom,10
hay_block,10
white_bed,10
hopper,10
bread,10
white_dye,10
shulker_box,9
dispenser,9
nether_wart,9
piston,9
slime_ball,9
spruce_sign,9
gold_nugget,9
lever,8
flower_pot,8
black_dye,7
repeater,7
yellow_bed,7
furnace,7
white_carpet,6
mud_brick_slab,6
diamond_pickaxe,6
stone_brick_wall,6
sticky_piston,5
orange_dye,5
cooked_chicken,5
blaze_powder,4
armor_stand,4
pumpkin_seeds,4
observer,4
diamond_sword,4
iron_sword,4
anvil,4
diamond_shovel,3
melon_seeds,3
spruce_door,3
campfire,3
iron_pickaxe,3
composter,3
stone_shovel,3
diamond_boots,3
glowstone,3
dark_oak_boat,3
golden_boots,3
smoker,3
stone_button,3
dark_oak_sign,3
minecart,3
diamond_helmet,2
lectern,2
chainmail_boots,2
iron_shovel,2
grindstone,2
comparator,2
oak_button,2
yellow_dye,2
tripwire_hook,2
blast_furnace,2
red_dye,2
diamond_chestplate,2
ender_chest,1
chainmail_helmet,1
diamond_leggings,1
diamond_axe,1
painting,1
light_gray_bed,1
orange_shulker_box,1
diamond_hoe,1
blue_shulker_box,1
red_shulker_box,1
stone_pickaxe,1
chainmail_leggings,1
enchanting_table,1
iron_leggings,1
iron_boots,1
ender_eye,1
wooden_pickaxe,1
iron_helmet,1
chainmail_chestplate,1
iron_chestplate,1
shield,1
stone_sword,1
shears,1
wooden_sword,1
flint_and_steel,1
iron_hoe,1
purple_terracotta,1
stone_axe,1
blue_dye,1
trapped_chest,1
air,0
