Stat Name,Value
aviate_one_cm,16303706
fly_one_cm,15279014
sprint_one_cm,11575216
walk_one_cm,9638943
play_time,5552482
total_world_time,5552482
time_since_death,5552416
horse_one_cm,4681300
fall_one_cm,1817928
boat_one_cm,1407859
swim_one_cm,1078020
crouch_one_cm,970062
climb_one_cm,812452
walk_under_water_one_cm,811969
walk_on_water_one_cm,538741
sneak_time,311242
damage_dealt,237247
time_since_rest,136134
jump,72938
damage_taken,23582
mob_kills,6883
open_barrel,3292
open_chest,3195
drop,1872
minecart_one_cm,1464
pig_one_cm,1007
traded_with_villager,669
animals_bred,553
open_shulker_box,530
interact_with_furnace,451
interact_with_crafting_table,435
talked_to_villager,344
interact_with_blast_furnace,324
open_enderchest,321
inspect_hopper,310
sleep_in_bed,228
interact_with_smoker,202
damage_blocked_by_shield,170
interact_with_grindstone,161
leave_game,145
damage_dealt_resisted,99
raid_trigger,84
enchant_item,51
inspect_dispenser,48
interact_with_anvil,44
damage_absorbed,40
raid_win,30
interact_with_brewingstand,19
player_kills,9
inspect_dropper,8
interact_with_lectern,6
trigger_trapped_chest,5
play_record,1
interact_with_loom,1
pot_flower,1
