Stat Name,Value
cobbled_deepslate,1845
potato,1720
arrow,1000
gold_ingot,840
emerald,781
stone,758
white_banner,554
bone,479
wheat_seeds,455
torch,422
redstone_block,307
sand,302
totem_of_undying,295
crossbow,279
spider_eye,252
iron_ingot,201
ender_pearl,192
sugar,188
iron_axe,179
netherrack,173
scaffolding,160
player_head,135
cobblestone,133
stone_brick_slab,128
cobblestone_stairs,128
bow,123
lapis_block,120
copper_block,109
glowstone_dust,105
cooked_porkchop,104
redstone,103
dark_oak_log,94
wheat,92
gravel,91
moss_block,89
coal,87
oak_log,76
glass,74
blaze_rod,69
lapis_lazuli,68
granite,68
stone_bricks,68
dark_oak_planks,66
white_wool,64
red_mushroom_block,64
firework_rocket,64
polished_deepslate,60
smooth_stone_slab,59
iron_block,58
cooked_mutton,55
coal_ore,53
potion,49
rotten_flesh,47
piston,45
leather,45
oak_fence,44
ice,44
cut_sandstone,40
pointed_dripstone,40
stick,40
mushroom_stem,39
deepslate,37
diamond,36
oak_sapling,36
soul_soil,34
amethyst_shard,32
raw_copper,31
cobbled_deepslate_stairs,30
mud,29
cooked_beef,28
soul_sand,28
nether_brick_fence,26
andesite,25
book,22
crimson_nylium,21
diamond_block,20
warped_wart_block,20
tropical_fish,20
leather_leggings,19
gunpowder,19
cooked_salmon,18
bamboo,18
glass_bottle,17
bone_meal,16
stripped_mangrove_log,16
leather_chestplate,16
sculk_catalyst,16
mud_bricks,16
beetroot_seeds,15
polished_andesite_slab,14
jungle_log,14
golden_boots,13
mangrove_log,13
poisonous_potato,13
dark_oak_sapling,12
warped_nylium,12
raw_iron,12
leather_helmet,11
emerald_block,11
brick_stairs,11
crimson_roots,11
nether_wart,11
oak_sign,10
quartz,10
iron_boots,9
spruce_sign,9
lantern,9
iron_sword,8
dirt,8
feather,8
spruce_sapling,8
stone_slab,8
lead,8
leather_boots,7
iron_helmet,7
coal_block,7
mangrove_planks,7
mutton,7
iron_leggings,7
ancient_debris,6
white_bed,6
egg,6
end_rod,6
chainmail_helmet,6
black_stained_glass,6
iron_chestplate,6
magma_cream,6
golden_chestplate,5
enchanted_book,5
iron_shovel,5
diamond_sword,5
spruce_planks,5
flint,5
carrot,5
poppy,5
bread,5
water_bucket,5
copper_ingot,5
oak_boat,5
nether_quartz_ore,5
purpur_stairs,4
iron_pickaxe,4
apple,4
red_stained_glass,4
smooth_stone,4
string,4
diamond_hoe,4
diamond_pickaxe,4
packed_ice,4
crimson_fungus,4
golden_helmet,4
oak_slab,4
golden_leggings,4
porkchop,3
lever,3
golden_horse_armor,3
golden_apple,3
moss_carpet,3
spruce_boat,3
music_disc_13,3
azalea,3
splash_potion,3
flowering_azalea,3
bucket,3
glow_ink_sac,2
saddle,2
elytra,2
stone_axe,2
black_carpet,2
azure_bluet,2
deepslate_tiles,2
ladder,2
orange_wool,2
big_dripleaf,2
shroomlight,2
magenta_stained_glass,2
diamond_shovel,2
spruce_pressure_plate,2
ochre_froglight,2
repeater,2
smooth_basalt,2
light_gray_wool,2
orange_tulip,1
glow_berries,1
black_stained_glass_pane,1
stone_button,1
sugar_cane,1
oak_planks,1
blaze_powder,1
dripstone_block,1
purpur_slab,1
paper,1
stone_sword,1
stone_shovel,1
name_tag,1
shears,1
allium,1
spruce_trapdoor,1
yellow_bed,1
iron_horse_armor,1
birch_log,1
music_disc_otherside,1
diamond_leggings,1
milk_bucket,1
diorite,1
music_disc_cat,1
oak_trapdoor,1
tuff,1
wither_skeleton_skull,1
iron_hoe,1
shulker_box,1
flint_and_steel,1
shield,1
diamond_boots,1
stone_pickaxe,1
wooden_pickaxe,1
crimson_stem,1
