Stat Name,Value
stone,9244
deepslate,3002
mangrove_leaves,2580
wheat,2121
spruce_log,1601
grass_block,1338
sugar_cane,1309
netherrack,1249
dirt,841
dark_oak_log,718
mangrove_roots,644
potatoes,593
sand,519
granite,492
copper_ore,469
end_stone,441
mud,423
carrots,405
coal_ore,398
oak_leaves,373
cobblestone,366
rail,361
deepslate_redstone_ore,308
andesite,294
short_grass,294
scaffolding,286
oak_log,276
diorite,267
tuff,260
gravel,248
mangrove_log,223
fire,204
dark_oak_leaves,177
deepslate_diamond_ore,167
podzol,156
stone_bricks,155
stone_brick_slab,154
deepslate_iron_ore,144
iron_ore,143
lectern,132
blackstone,105
oak_planks,99
deepslate_gold_ore,94
blue_ice,91
chest,89
dirt_path,84
wall_torch,81
torch,80
azalea_leaves,78
soul_sand,69
ice,69
spruce_fence,64
stone_button,64
spruce_leaves,64
shulker_box,63
smooth_stone,63
oak_stairs,61
end_stone_bricks,61
deepslate_lapis_ore,60
jungle_leaves,58
purpur_block,52
deepslate_copper_ore,44
lapis_ore,41
white_bed,38
soul_soil,35
basalt,35
jungle_log,34
moss_block,34
dripstone_block,34
bamboo,33
cobbled_deepslate,32
ender_chest,32
flowering_azalea_leaves,30
dark_oak_slab,29
vine,28
crafting_table,27
player_head,25
pointed_dripstone,23
crimson_nylium,22
spruce_wall_sign,22
tall_grass,22
nether_gold_ore,22
piston,21
spruce_trapdoor,21
oak_trapdoor,21
moss_carpet,20
spruce_planks,20
obsidian,18
cut_sandstone,18
end_rod,18
dandelion,16
seagrass,16
oak_wall_sign,15
barrel,15
glass,15
nether_bricks,15
tall_seagrass,14
sculk,14
mangrove_slab,14
spruce_stairs,13
hopper,12
gold_ore,12
warped_nylium,12
birch_log,12
diamond_ore,12
bookshelf,12
redstone_wire,11
purpur_pillar,11
deepslate_tiles,10
dark_oak_stairs,10
player_wall_head,9
dark_oak_sapling,9
mangrove_stairs,9
spruce_slab,9
mangrove_propagule,9
stone_slab,9
amethyst_cluster,8
mud_bricks,8
clay,8
end_stone_brick_slab,8
smooth_stone_slab,8
oak_fence,8
smoker,7
light_gray_carpet,7
stone_brick_wall,6
deepslate_bricks,6
deepslate_tile_stairs,6
weeping_vines_plant,6
pumpkin,6
blast_furnace,6
packed_mud,6
observer,6
mud_brick_wall,6
lantern,6
light_gray_bed,5
oak_sapling,5
red_tulip,5
purpur_stairs,5
nether_quartz_ore,5
orange_tulip,5
spruce_sapling,5
nether_brick_fence,5
cocoa,5
dragon_wall_head,4
purpur_slab,4
crimson_fungus,4
oxeye_daisy,4
mud_brick_stairs,4
loom,4
cobweb,4
cobblestone_stairs,4
brewing_stand,4
azure_bluet,4
green_bed,4
poppy,4
nether_wart_block,4
lever,4
polished_andesite_slab,4
deepslate_brick_slab,4
furnace,4
redstone_torch,4
dark_oak_planks,3
damaged_anvil,3
bricks,3
repeater,3
infested_deepslate,3
dark_oak_fence,3
allium,3
oak_slab,3
glass_pane,3
black_stained_glass,3
white_carpet,3
spruce_fence_gate,3
sculk_vein,3
polished_deepslate_stairs,3
grindstone,3
brick_stairs,3
lime_bed,3
polished_deepslate_slab,2
jungle_trapdoor,2
piston_head,2
brown_mushroom,2
soul_fire,2
deepslate_tile_slab,2
spruce_sign,2
chain,2
lilac,2
smooth_basalt,2
blue_shulker_box,2
jungle_planks,2
crimson_roots,2
redstone_block,2
lily_of_the_valley,2
brown_carpet,2
big_dripleaf,2
black_carpet,2
iron_bars,2
hay_block,2
stripped_spruce_log,2
shroomlight,2
magenta_stained_glass,2
rose_bush,2
andesite_wall,2
red_shulker_box,1
bubble_column,1
dark_oak_trapdoor,1
sticky_piston,1
cave_vines,1
oak_sign,1
melon,1
cyan_bed,1
stone_brick_stairs,1
yellow_stained_glass,1
mossy_cobblestone,1
cobbled_deepslate_slab,1
jungle_sapling,1
white_wool,1
cornflower,1
warped_roots,1
trapped_chest,1
dark_oak_wall_sign,1
iron_trapdoor,1
azalea,1
cauldron,1
light_gray_wool,1
beetroots,1
dispenser,1
red_carpet,1
glow_lichen,1
ladder,1
rooted_dirt,1
spore_blossom,1
peony,1
bell,1
polished_deepslate,1
stripped_oak_log,1
packed_ice,1
chorus_plant,1
spruce_door,1
sculk_sensor,1
birch_planks,1
bee_nest,1
yellow_bed,1
polished_andesite,1
small_dripleaf,1
