Stat Name,Value
stone,8600
wheat_seeds,5328
arrow,4885
bone,4667
cobbled_deepslate,4620
potato,2327
wheat,2175
cobblestone,2170
raw_copper,2160
sugar_cane,2138
dirt,1872
redstone,1845
spruce_log,1705
carrot,1610
grass_block,1161
mangrove_roots,1028
lapis_lazuli,962
dark_oak_log,940
scaffolding,826
gold_ingot,706
gravel,594
netherrack,587
sand,564
beef,563
mud,560
emerald,557
granite,542
glass,529
torch,524
stick,504
leather,482
ink_sac,470
coal,463
end_stone,440
rail,414
raw_iron,380
smooth_stone,378
oak_log,354
iron_ingot,344
diamond,337
stone_brick_slab,328
mangrove_log,321
bone_meal,317
blue_ice,312
andesite,312
ender_pearl,307
redstone_block,301
bow,288
white_wool,281
diorite,268
tuff,260
stone_bricks,255
bamboo,252
copper_ore,228
deepslate,218
coal_ore,211
player_head,203
blackstone,200
spruce_sapling,188
lapis_block,177
raw_gold,163
red_mushroom_block,157
cobblestone_stairs,153
soul_sand,153
totem_of_undying,150
cooked_beef,148
salmon,147
white_banner,141
lectern,132
spectral_arrow,128
oak_planks,124
spider_eye,123
shulker_shell,119
spruce_fence,116
copper_block,112
gunpowder,111
blaze_rod,110
oak_sapling,108
gold_nugget,106
glass_bottle,104
dark_oak_sapling,103
moss_carpet,100
cooked_porkchop,98
quartz,94
polished_andesite,91
mutton,90
chest,87
book,87
moss_block,86
stone_button,81
dark_oak_planks,79
iron_block,78
andesite_wall,78
azalea_leaves,77
cut_sandstone,77
piston,76
crossbow,76
pointed_dripstone,75
repeater,74
soul_soil,68
firework_rocket,67
nether_brick,67
shulker_box,63
weeping_vines,63
oak_stairs,61
porkchop,58
rotten_flesh,58
dark_oak_slab,57
end_stone_bricks,57
iron_nugget,56
amethyst_shard,56
mangrove_propagule,54
basalt,53
nether_brick_fence,52
ice,52
cobbled_deepslate_wall,49
jungle_log,48
deepslate_redstone_ore,48
red_stained_glass_pane,48
string,47
spruce_sign,46
glowstone_dust,45
purpur_block,45
magma_cream,44
packed_ice,43
crimson_nylium,42
black_stained_glass,41
apple,41
deepslate_iron_ore,41
potion,40
smooth_stone_slab,40
cocoa_beans,40
warped_wart_block,39
mushroom_stem,39
oak_sign,39
oak_boat,39
white_bed,39
golden_boots,38
spruce_trapdoor,37
comparator,36
iron_axe,35
dark_oak_trapdoor,34
polished_basalt,34
deepslate_diamond_ore,34
crafting_table,33
black_stained_glass_pane,33
lead,32
polished_deepslate,32
clay_ball,32
polished_andesite_stairs,32
ender_chest,32
dandelion,32
yellow_wool,30
brick_stairs,29
dripstone_block,29
spruce_planks,28
obsidian,28
diamond_block,28
mangrove_planks,27
cooked_mutton,27
egg,26
flowering_azalea_leaves,26
polished_andesite_slab,26
packed_mud,25
mangrove_trapdoor,24
crying_obsidian,24
slime_ball,24
warped_nylium,24
hopper,24
deepslate_tile_wall,24
tropical_fish,23
polished_deepslate_slab,23
splash_potion,23
cobbled_deepslate_stairs,23
mangrove_leaves,23
polished_deepslate_wall,22
