Stat Name,Value
diamond_pickaxe,19391
diamond_axe,4074
diamond_sword,2921
diamond_shovel,2714
diamond_hoe,2443
wheat_seeds,2132
stone,1396
dirt,1369
torch,1346
iron_axe,1120
cobblestone,728
iron_sword,664
cobbled_deepslate,656
firework_rocket,613
potato,608
scaffolding,576
potion,515
glass_bottle,515
air,507
stone_brick_slab,505
chest,482
stone_shovel,461
cooked_beef,461
carrot,428
stone_bricks,396
iron_pickaxe,367
rail,362
iron_shovel,334
iron_hoe,320
netherrack,319
mud_bricks,304
grass_block,279
bone_meal,276
hopper,255
end_stone,254
bow,240
smooth_stone,219
spruce_slab,204
granite,192
deepslate_tiles,186
dark_oak_slab,182
stone_button,173
cut_sandstone,165
packed_mud,162
mangrove_slab,160
cobblestone_stairs,159
redstone,153
blue_ice,148
stone_slab,145
tuff,144
copper_ore,136
dark_oak_log,136
lectern,134
spruce_stairs,128
mangrove_roots,124
glass,113
bucket,110
stone_pickaxe,105
blackstone,103
azalea_leaves,103
polished_deepslate,103
water_bucket,95
bricks,94
deepslate_tile_slab,93
spruce_trapdoor,92
sugar_cane,88
black_stained_glass,88
stone_axe,87
mangrove_log,85
deepslate,80
oak_planks,79
spruce_sapling,78
deepslate_tile_stairs,78
redstone_block,77
spruce_log,75
coal_ore,68
deepslate_brick_slab,67
dark_oak_sapling,67
shulker_box,67
red_stained_glass,65
ladder,61
wooden_sword,59
deepslate_bricks,59
flint_and_steel,59
mangrove_stairs,58
spruce_fence,57
crafting_table,54
andesite,54
cooked_salmon,52
golden_carrot,51
mud_brick_wall,50
oak_boat,49
deepslate_redstone_ore,48
cooked_mutton,48
white_stained_glass_pane,45
soul_sand,43
spruce_sign,43
bookshelf,42
deepslate_iron_ore,41
lantern,39
deepslate_diamond_ore,38
stone_stairs,37
diorite,36
basalt,36
white_bed,35
barrel,34
oak_sign,34
dark_oak_stairs,34
moss_carpet,33
deepslate_gold_ore,33
repeater,31
flowering_azalea_leaves,30
packed_ice,29
smooth_stone_slab,29
oak_trapdoor,28
redstone_torch,27
piston,27
sand,26
deepslate_brick_stairs,26
deepslate_lapis_ore,24
oak_slab,23
polished_andesite_stairs,22
egg,22
ender_chest,22
dark_oak_planks,22
moss_block,21
light_gray_carpet,21
player_head,20
polished_deepslate_stairs,20
oak_fence,20
lapis_ore,20
weeping_vines,19
iron_bars,18
spruce_fence_gate,18
nether_bricks,18
splash_potion,18
wooden_pickaxe,17
nether_wart_block,17
ender_pearl,17
blue_stained_glass,16
mud_brick_stairs,16
comparator,16
bamboo,15
polished_deepslate_slab,15
oak_sapling,14
dark_oak_fence,14
polished_deepslate_wall,14
observer,14
mud,14
mangrove_propagule,14
oak_stairs,14
nether_wart,12
brick_stairs,11
cobbled_deepslate_wall,11
mangrove_trapdoor,11
nether_gold_ore,11
dispenser,10
cocoa_beans,10
stone_sword,10
obsidian,10
loom,10
lever,10
gravel,10
stripped_spruce_log,9
blast_furnace,9
iron_ore,9
jungle_sapling,8
polished_andesite_slab,8
oak_fence_gate,8
jungle_log,8
end_stone_brick_slab,8
stone_brick_wall,8
sticky_piston,8
white_carpet,8
polished_andesite,8
smoker,8
brick_slab,7
andesite_wall,7
painting,7
yellow_bed,7
lava_bucket,6
glow_berries,6
diamond_ore,6
end_rod,6
cobbled_deepslate_stairs,6
bread,6
chain,6
light_gray_bed,6
grindstone,5
rose_bush,5
cooked_chicken,5
furnace,4
end_stone_bricks,4
spruce_door,4
purpur_pillar,4
oak_leaves,4
lilac,4
anvil,4
smooth_sandstone_slab,4
glow_ink_sac,4
cooked_porkchop,4
spruce_planks,4
sculk,4
green_bed,4
peony,3
writable_book,3
black_carpet,3
spruce_boat,3
sweet_berries,3
damaged_anvil,3
golden_apple,3
pumpkin_seeds,3
melon_seeds,3
glowstone,3
podzol,3
cauldron,3
gold_ore,3
shield,3
milk_bucket,3
dark_oak_sign,3
crossbow,3
tropical_fish,3
pumpkin,3
lime_bed,3
cobbled_deepslate_slab,3
orange_dye,2
lily_of_the_valley,2
allium,2
stone_brick_stairs,2
stripped_mangrove_log,2
dark_oak_boat,2
dark_oak_trapdoor,2
white_stained_glass,2
ice,2
armor_stand,2
jungle_trapdoor,2
shroomlight,2
trapped_chest,2
salmon,2
campfire,2
oak_button,2
mutton,2
jungle_planks,2
brown_carpet,2
blue_shulker_box,2
beetroot_seeds,2
mangrove_leaves,2
experience_bottle,2
azalea,2
minecart,2
mud_brick_slab,2
flower_pot,2
orange_shulker_box,1
orange_tulip,1
composter,1
purpur_stairs,1
purple_terracotta,1
spore_blossom,1
enchanting_table,1
brewing_stand,1
red_shulker_box,1
flowering_azalea,1
iron_trapdoor,1
birch_planks,1
mossy_cobblestone,1
oak_log,1
dandelion,1
bell,1
spruce_leaves,1
iron_helmet,1
red_carpet,1
redstone_lamp,1
magma_block,1
mangrove_planks,1
white_wool,1
ochre_froglight,1
cyan_bed,1
string,1
music_disc_otherside,1
diamond_helmet,1
yellow_stained_glass,1
light_gray_wool,1
iron_leggings,1
warped_roots,1
