Stat Name,Value
copper_ingot,3666
torch,2588
stick,1544
iron_ingot,1442
spruce_planks,1404
dark_oak_planks,964
oak_planks,920
stone_slab,512
smooth_stone,489
stone,476
copper_block,447
bone_meal,426
paper,390
cooked_beef,364
lever,256
mangrove_wood,228
glass,192
sugar,184
spruce_fence,183
gold_ingot,168
powered_rail,168
spruce_slab,162
andesite_slab,144
smooth_stone_slab,138
grindstone,128
dark_oak_slab,126
iron_trapdoor,124
jungle_planks,124
book,121
furnace,106
blast_furnace,103
lightning_rod,94
redstone,90
birch_planks,88
redstone_torch,86
wheat,81
chest,74
polished_andesite,68
spruce_wood,68
white_stained_glass,64
stone_bricks,64
oak_slab,60
spruce_trapdoor,60
dark_oak_fence,57
iron_nugget,54
gray_stained_glass,48
white_dye,46
waxed_oxidized_copper,45
stone_stairs,41
spruce_stairs,40
blackstone_wall,36
polished_andesite_slab,36
barrel,32
cracked_stone_bricks,28
cut_copper_stairs,28
shears,25
hopper,22
bookshelf,21
lectern,21
stone_pickaxe,21
bread,21
waxed_cut_copper_stairs,20
stone_brick_stairs,20
cobblestone_slab,20
cobblestone_stairs,20
stone_brick_slab,20
andesite_stairs,20
oak_fence,18
oxidized_cut_copper_slab,16
gray_stained_glass_pane,16
polished_andesite_stairs,16
white_stained_glass_pane,16
waxed_oxidized_cut_copper_slab,16
shulker_box,15
dark_oak_trapdoor,12
jungle_trapdoor,12
iron_pickaxe,11
redstone_block,11
polished_blackstone_stairs,10
crafting_table,9
birch_sign,9
waxed_cut_copper_slab,8
polished_blackstone_slab,8
polished_blackstone,8
spruce_fence_gate,8
cut_copper_slab,8
comparator,8
dispenser,8
dark_oak_stairs,8
mangrove_planks,8
cut_copper,8
oak_sign,6
dark_oak_pressure_plate,6
stone_shovel,6
jungle_slab,6
gray_dye,6
stone_button,5
oxidized_cut_copper_stairs,4
soul_campfire,4
muddy_mangrove_roots,4
waxed_oxidized_cut_copper_stairs,4
charcoal,4
iron_axe,4
stone_axe,4
black_dye,3
yellow_wool,3
spruce_door,3
iron_block,3
diamond_pickaxe,3
yellow_dye,3
oak_door,3
spruce_sign,3
jungle_door,3
birch_boat,2
chain,2
stone_hoe,2
wooden_pickaxe,2
light_blue_dye,2
stone_sword,2
minecart,2
blue_dye,2
oak_boat,2
diamond_shovel,1
diamond_axe,1
campfire,1
orange_shulker_box,1
yellow_bed,1
blue_shulker_box,1
andesite_wall,1
diamond_boots,1
spruce_boat,1
orange_dye,1
oak_chest_boat,1
iron_shovel,1
bamboo_block,1
dropper,1
light_blue_shulker_box,1
fishing_rod,1
piston,1
cobblestone_wall,1
diamond_sword,1
iron_sword,1
bucket,1
anvil,1
carrot_on_a_stick,1
air,0
