Stat Name,Value
walk_one_cm,14997740
sprint_one_cm,13935684
fly_one_cm,11371455
aviate_one_cm,9196217
horse_one_cm,7827757
play_time,5678715
total_world_time,5678715
time_since_death,2987031
boat_one_cm,2803242
fall_one_cm,1200918
swim_one_cm,453129
crouch_one_cm,436577
walk_under_water_one_cm,399431
damage_dealt,282449
walk_on_water_one_cm,253606
climb_one_cm,241963
sneak_time,163298
minecart_one_cm,116179
time_since_rest,106730
jump,61752
pig_one_cm,61338
mob_kills,13718
damage_taken,12108
open_barrel,4018
damage_dealt_resisted,2597
open_chest,1914
drop,1880
sleep_in_bed,307
animals_bred,293
interact_with_furnace,268
leave_game,229
interact_with_crafting_table,225
interact_with_blast_furnace,217
open_shulker_box,199
enchant_item,198
damage_blocked_by_shield,90
interact_with_grindstone,58
interact_with_anvil,31
interact_with_stonecutter,31
talked_to_villager,14
inspect_dispenser,13
tune_noteblock,6
deaths,5
interact_with_lectern,5
open_enderchest,4
play_noteblock,3
bell_ring,2
interact_with_smoker,2
traded_with_villager,1
inspect_dropper,1
inspect_hopper,1
