Stat Name,Value
ender_pearl,998
arrow,509
bone,433
flint,298
bamboo,232
dirt,157
jungle_log,99
shulker_shell,98
stone,76
deepslate,73
mangrove_roots,59
bow,45
stick,40
rotten_flesh,28
spruce_sapling,27
cocoa_beans,24
redstone_torch,24
kelp,21
wheat_seeds,20
glow_ink_sac,19
cobblestone,19
gravel,19
spruce_planks,16
scaffolding,16
oak_sapling,16
oak_planks,15
diamond,14
terracotta,11
sandstone,9
egg,8
player_head,8
orange_terracotta,6
birch_sign,6
golden_boots,5
furnace,5
cut_sandstone,5
sugar_cane,4
cobbled_deepslate,4
apple,4
coal,4
bamboo_slab,4
cod,4
poppy,4
oak_leaves,4
poisonous_potato,4
dandelion,4
golden_chestplate,3
diamond_pickaxe,3
dark_prismarine,3
diamond_axe,3
leather,3
melon_seeds,3
jungle_door,3
pink_petals,3
crafting_table,2
cracked_stone_bricks,2
azure_bluet,2
white_bed,2
acacia_sapling,2
deepslate_redstone_ore,2
diamond_sword,2
potato,2
oxidized_copper_trapdoor,2
spider_eye,2
red_sand,2
carrot,2
leather_chestplate,2
gunpowder,2
golden_helmet,2
lead,2
torch,2
red_terracotta,2
golden_leggings,2
stone_pickaxe,2
porkchop,1
stone_axe,1
wheat,1
leather_leggings,1
paper,1
stone_shovel,1
lily_of_the_valley,1
carrot_on_a_stick,1
diamond_shovel,1
chest,1
chiseled_sandstone,1
shield,1
