Stat Name,Value
deepslate,11138
stone,6733
calcite,4990
gravel,4339
dirt,3167
tuff,3152
sand,2850
andesite,2742
grass_block,2361
coal_ore,2063
mangrove_leaves,1246
copper_ore,1204
spruce_log,1184
wheat,879
rail,718
sugar_cane,705
dark_oak_log,677
mud,647
mangrove_roots,551
jungle_log,525
iron_ore,516
scaffolding,422
diorite,400
red_wool,358
oak_log,356
short_grass,297
oak_leaves,277
mangrove_log,259
spruce_leaves,258
deepslate_diamond_ore,232
jungle_leaves,224
amethyst_block,215
deepslate_copper_ore,186
smooth_basalt,185
cobblestone,161
white_bed,149
dark_oak_leaves,134
powered_rail,132
deepslate_gold_ore,130
oxidized_copper,123
netherrack,122
deepslate_redstone_ore,117
spruce_planks,113
granite,112
torch,108
pink_tulip,107
nether_gold_ore,104
deepslate_iron_ore,95
packed_ice,95
deepslate_lapis_ore,94
muddy_mangrove_roots,90
weathered_copper,80
birch_log,74
nether_quartz_ore,72
stripped_spruce_wood,67
blackstone,67
sandstone,67
wall_torch,59
podzol,58
tall_grass,57
vine,55
mossy_cobblestone,47
copper_block,43
acacia_log,42
obsidian,41
cherry_leaves,40
chest,39
azalea_leaves,38
stone_slab,34
stripped_spruce_log,33
lapis_ore,32
carrots,30
oak_planks,28
pink_wool,27
budding_amethyst,27
hay_block,26
terracotta,26
orange_shulker_box,25
hopper,24
spruce_fence,24
birch_leaves,24
exposed_copper,24
mangrove_propagule,24
smooth_stone_slab,22
glass,21
red_tulip,21
cherry_log,20
gold_ore,20
basalt,20
bamboo,18
rooted_dirt,18
cobbled_deepslate,15
mangrove_wood,15
azure_bluet,15
water_cauldron,14
dripstone_block,14
cobweb,14
orange_tulip,14
birch_planks,14
redstone_torch,14
black_wool,13
emerald_ore,12
flowering_azalea_leaves,12
white_tulip,12
crafting_table,12
barrel,11
white_concrete,11
cut_sandstone,10
bee_nest,10
player_wall_head,9
blast_furnace,9
stonecutter,9
allium,9
tnt,9
redstone_ore,8
pointed_dripstone,8
grindstone,8
stone_stairs,8
warped_nylium,8
white_stained_glass,8
spruce_sapling,8
stripped_dark_oak_log,8
oak_fence,8
moss_block,7
furnace,7
dirt_path,6
dandelion,6
iron_trapdoor,6
orange_terracotta,6
bell,6
shroomlight,6
andesite_slab,6
black_concrete_powder,5
redstone_wall_torch,5
sweet_berry_bush,5
melon,4
acacia_trapdoor,4
jungle_sapling,4
lightning_rod,4
brewing_stand,4
composter,4
birch_wall_sign,4
lever,4
large_fern,4
polished_andesite,4
player_head,3
jungle_trapdoor,3
amethyst_cluster,3
spruce_sign,3
piston,3
redstone_block,3
spruce_fence_gate,3
spruce_slab,3
jungle_door,3
stone_button,3
oxidized_copper_trapdoor,3
light_blue_shulker_box,3
gray_stained_glass,3
sculk,3
cocoa,3
dark_prismarine_stairs,2
red_sand,2
warped_fungus,2
cartography_table,2
lily_of_the_valley,2
warped_wart_block,2
mangrove_door,2
polished_diorite,2
dark_oak_stairs,2
waxed_cut_copper_stairs,2
quartz_block,2
poppy,2
pink_petals,2
polished_basalt,2
spruce_door,2
yellow_bed,2
cracked_stone_bricks,2
oak_wall_sign,1
pumpkin,1
stripped_dark_oak_wood,1
oak_sign,1
spruce_wood,1
smoker,1
bricks,1
bamboo_planks,1
stone_brick_stairs,1
dark_oak_sapling,1
dark_prismarine,1
potted_spruce_sapling,1
gray_concrete,1
red_terracotta,1
stone_bricks,1
fern,1
cobbled_deepslate_stairs,1
andesite_stairs,1
cobblestone_stairs,1
spruce_trapdoor,1
soul_soil,1
azalea,1
light_gray_terracotta,1
jungle_stairs,1
seagrass,1
dark_oak_slab,1
waxed_oxidized_copper,1
blackstone_wall,1
chiseled_sandstone,1
acacia_leaves,1
lectern,1
spruce_stairs,1
cactus,1
polished_blackstone_stairs,1
