Stat Name,Value
deepslate,13316
stone,6770
raw_copper,5712
dirt,5425
calcite,5114
gravel,4201
cobblestone,3280
tuff,3256
andesite,2910
sand,2845
wheat_seeds,2403
coal,1979
bone,1399
spruce_log,1261
lapis_lazuli,1223
sugar_cane,1125
coal_ore,1113
ender_pearl,1105
cobbled_deepslate,1047
arrow,961
mud,921
mangrove_leaves,907
wheat,837
rail,745
scaffolding,686
dark_oak_log,676
raw_iron,648
beef,634
leather,605
mangrove_roots,551
torch,538
jungle_log,522
copper_ore,511
flint,479
gold_nugget,475
diorite,472
oak_log,396
cooked_beef,377
stick,371
red_wool,357
blackstone,332
bamboo,311
iron_ore,270
mangrove_log,257
smooth_basalt,247
amethyst_block,246
redstone,228
pink_wool,219
grass_block,215
deepslate_diamond_ore,201
diamond,186
shulker_shell,182
smooth_stone_slab,169
spruce_planks,155
white_bed,154
raw_gold,148
powered_rail,143
stone_slab,140
oxidized_copper,139
bone_meal,139
stone_stairs,136
rotten_flesh,134
andesite_slab,132
spruce_sapling,129
basalt,128
netherrack,122
granite,119
deepslate_redstone_ore,115
string,112
pink_tulip,107
carrot,106
dark_oak_sapling,103
packed_ice,94
muddy_mangrove_roots,90
quartz,88
gunpowder,81
weathered_copper,80
mangrove_propagule,80
deepslate_copper_ore,78
oak_sapling,78
birch_log,74
bow,74
moss_carpet,74
oak_planks,72
deepslate_gold_ore,68
stripped_spruce_log,66
iron_trapdoor,66
stripped_spruce_wood,65
egg,65
cobbled_deepslate_stairs,63
glow_ink_sac,61
cooked_chicken,58
jungle_sapling,54
redstone_torch,53
nether_gold_ore,52
deepslate_lapis_ore,51
obsidian,48
mossy_cobblestone,47
copper_block,43
acacia_log,41
chest,40
lead,39
polished_andesite,38
player_head,38
black_concrete_powder,37
azure_bluet,37
polished_andesite_slab,36
nether_quartz_ore,36
cocoa_beans,33
apple,31
podzol,30
kelp,28
deepslate_iron_ore,28
hay_block,26
black_wool,26
orange_shulker_box,25
terracotta,25
spruce_fence,24
hopper,24
exposed_copper,24
smooth_stone,24
sandstone,23
red_tulip,21
honeycomb,21
painting,21
cherry_log,20
melon_slice,19
pointed_dripstone,19
gray_stained_glass,19
chest_minecart,19
rooted_dirt,18
soul_soil,17
lapis_ore,17
cobblestone_stairs,17
polished_andesite_stairs,16
glass,16
jungle_trapdoor,15
furnace,15
mangrove_wood,15
oak_leaves,15
cauldron,14
crafting_table,14
minecart,14
sweet_berries,14
orange_tulip,14
birch_planks,14
barrel,13
stone_pickaxe,13
dripstone_block,13
emerald_ore,12
slime_ball,12
white_tulip,12
grindstone,12
soul_sand,12
amethyst_shard,12
cherry_sapling,12
white_concrete,11
dandelion,11
spider_eye,11
bee_nest,10
birch_sapling,10
gold_ore,10
stonecutter,9
leather_leggings,9
tnt,9
white_stained_glass,8
poppy,8
oak_chest_boat,8
redstone_ore,8
warped_nylium,8
stripped_dark_oak_log,8
oak_fence,8
bell,8
spruce_boat,8
allium,8
blast_furnace,8
moss_block,7
diamond_pickaxe,7
golden_boots,7
oxidized_copper_trapdoor,7
oak_boat,7
stone_button,7
shroomlight,6
bamboo_slab,6
feather,6
diamond_axe,6
jungle_door,6
orange_terracotta,6
acacia_sapling,6
birch_boat,6
iron_chestplate,5
diamond_sword,5
golden_helmet,5
pink_petals,5
cut_sandstone,5
iron_helmet,5
chainmail_boots,4
brewing_stand,4
composter,4
lightning_rod,4
golden_chestplate,4
lever,4
cracked_stone_bricks,4
mutton,4
diamond_shovel,4
birch_sign,4
azalea,4
iron_pickaxe,4
vine,4
cactus,4
cod,4
leather_chestplate,4
golden_leggings,4
leather_boots,4
dark_prismarine,4
acacia_trapdoor,4
ink_sac,3
spruce_slab,3
piston,3
diamond_boots,3
white_wool,3
redstone_block,3
potato,3
light_blue_shulker_box,3
lily_of_the_valley,3
spruce_fence_gate,3
spruce_sign,3
dark_prismarine_stairs,3
chainmail_leggings,3
polished_basalt,2
mangrove_door,2
water_bucket,2
warped_wart_block,2
red_terracotta,2
cartography_table,2
stone_shovel,2
paper,2
dark_oak_stairs,2
sculk,2
leather_helmet,2
polished_diorite,2
oak_sign,2
red_sand,2
quartz_block,2
cooked_porkchop,2
poisonous_potato,2
chain,2
saddle,2
chainmail_chestplate,2
yellow_bed,2
warped_fungus,2
bamboo_planks,2
spruce_door,2
flower_pot,1
enchanted_book,1
cherry_boat,1
waxed_cut_copper_stairs,1
stone_sword,1
blackstone_wall,1
smoker,1
gray_concrete,1
bricks,1
elytra,1
waxed_oxidized_copper,1
stone_bricks,1
dark_oak_slab,1
stone_axe,1
warped_roots,1
baked_potato,1
stone_brick_stairs,1
iron_boots,1
spruce_stairs,1
porkchop,1
name_tag,1
chiseled_sandstone,1
light_gray_terracotta,1
chicken,1
shield,1
iron_axe,1
item_frame,1
andesite_stairs,1
lectern,1
spruce_trapdoor,1
copper_ingot,1
stripped_dark_oak_wood,1
spruce_wood,1
pumpkin,1
