Stat Name,Value
diamond_pickaxe,31699
diamond_shovel,11869
diamond_sword,4408
dirt,3252
diamond_axe,3025
stone_pickaxe,2760
torch,2645
iron_pickaxe,2351
wheat_seeds,1628
shears,1312
stone,1074
iron_axe,937
deepslate,923
gravel,690
stone_shovel,675
cobblestone,629
scaffolding,616
rail,596
coal_ore,527
copper_ore,511
stone_axe,509
blackstone,463
cooked_beef,379
bow,282
powered_rail,270
iron_shovel,250
bone_meal,244
lever,218
mud,213
red_wool,206
firework_rocket,199
stone_sword,194
stone_hoe,185
stone_stairs,182
copper_block,172
smooth_stone_slab,161
stone_slab,159
white_bed,148
iron_sword,147
spruce_planks,146
mangrove_wood,135
cobbled_deepslate_stairs,131
grindstone,128
iron_trapdoor,122
basalt,120
blast_furnace,108
lightning_rod,95
spruce_fence,95
chest,92
spruce_slab,89
spruce_sapling,87
packed_ice,86
weathered_copper,80
deepslate_copper_ore,78
cobbled_deepslate,77
diorite,76
andesite,74
redstone_torch,70
spruce_wood,68
black_wool,64
deepslate_diamond_ore,62
iron_ore,59
bucket,57
water_bucket,56
pink_wool,55
dark_oak_sapling,53
deepslate_gold_ore,53
muddy_mangrove_roots,52
nether_gold_ore,52
mangrove_roots,48
spruce_trapdoor,47
spruce_log,45
bread,45
stone_bricks,44
netherrack,42
andesite_slab,42
barrel,41
sugar_cane,41
oak_planks,40
redstone,40
hopper,40
glass,39
waxed_oxidized_copper,38
deepslate_lapis_ore,37
egg,36
nether_quartz_ore,36
polished_andesite,36
white_stained_glass,35
carrot,33
golden_hoe,32
polished_andesite_slab,31
cooked_chicken,30
black_concrete_powder,29
oak_log,26
jungle_sapling,24
orange_shulker_box,24
oxidized_copper,24
deepslate_redstone_ore,24
exposed_copper,23
wooden_pickaxe,22
mangrove_leaves,22
oak_fence,22
waxed_cut_copper_stairs,21
dark_oak_log,21
painting,21
lectern,20
mangrove_propagule,20
cracked_stone_bricks,19
deepslate_iron_ore,18
jungle_log,18
cobblestone_stairs,18
chest_minecart,17
polished_andesite_stairs,16
andesite_stairs,16
minecart,16
crafting_table,15
birch_planks,14
blackstone_wall,14
spruce_stairs,14
terracotta,14
stripped_spruce_log,13
tuff,13
soul_sand,11
stone_brick_stairs,11
wheat,11
jungle_trapdoor,11
white_concrete,11
bee_nest,11
amethyst_block,11
stone_button,10
stripped_spruce_wood,10
waxed_oxidized_cut_copper_slab,10
player_head,9
polished_blackstone_stairs,9
soul_soil,9
lapis_ore,9
dispenser,8
furnace,8
orange_tulip,8
spruce_fence_gate,8
comparator,8
oak_chest_boat,8
waxed_cut_copper_slab,8
spruce_boat,7
pointed_dripstone,7
birch_boat,7
stonecutter,7
dark_oak_trapdoor,6
gray_stained_glass,6
cobblestone_slab,6
apple,6
grass_block,5
spruce_door,5
oak_boat,5
oxidized_copper_trapdoor,5
ender_pearl,5
melon_slice,5
dark_prismarine_stairs,4
shroomlight,4
birch_sign,4
oak_sign,4
bell,4
soul_campfire,4
dark_oak_stairs,4
waxed_oxidized_cut_copper_stairs,4
stone_brick_slab,4
dark_oak_slab,3
potato,3
sand,3
beef,3
light_blue_shulker_box,3
glow_ink_sac,3
carrot_on_a_stick,3
redstone_block,3
sculk,3
spruce_sign,3
white_dye,3
piston,3
jungle_door,3
yellow_bed,3
rotten_flesh,2
quartz_block,2
sweet_berries,2
mangrove_door,2
polished_diorite,2
calcite,2
bamboo_slab,2
enchanted_book,2
polished_basalt,2
warped_nylium,2
written_book,2
white_stained_glass_pane,2
bamboo_planks,2
stripped_dark_oak_log,2
pink_petals,2
elytra,1
polished_blackstone_slab,1
stripped_dark_oak_wood,1
cactus,1
composter,1
oak_leaves,1
gray_concrete,1
anvil,1
campfire,1
dark_prismarine,1
shield,1
iron_chestplate,1
mangrove_log,1
bricks,1
iron_helmet,1
diamond_boots,1
light_gray_terracotta,1
chain,1
cherry_boat,1
cut_copper_stairs,1
oak_door,1
cobblestone_wall,1
shulker_box,1
granite,1
andesite_wall,1
chainmail_leggings,1
