Stat Name,Value
emerald,102578
brick,29232
bricks,28044
emerald_block,23928
jungle_planks,21401
oak_planks,18331
bone_meal,15562
redstone,12375
stick,11497
iron_block,10757
spruce_planks,9640
glass,9484
arrow,9344
iron_ingot,8916
dark_oak_planks,7408
cut_sandstone,7028
torch,6452
birch_planks,5812
redstone_torch,5348
smooth_stone_slab,5178
white_stained_glass,4672
iron_nugget,4446
chest,4430
copper_ingot,4350
polished_deepslate,4284
golden_carrot,4089
firework_rocket,4032
raw_copper,4014
paper,3507
tipped_arrow,3410
scaffolding,3042
redstone_block,2937
polished_andesite,2912
stone_bricks,2564
moss_carpet,2437
enchanted_book,2343
quartz_block,2337
deepslate_bricks,2304
deepslate_tile_slab,2298
hopper,2238
light_blue_terracotta,2142
white_stained_glass_pane,1984
gold_ingot,1939
smooth_stone,1929
lime_stained_glass_pane,1792
magenta_terracotta,1708
dark_oak_slab,1686
tnt,1599
packed_mud,1587
deepslate_tiles,1581
rail,1568
red_terracotta,1544
glass_bottle,1518
snow_block,1407
bookshelf,1338
glowstone,1325
powered_rail,1314
oak_slab,1274
polished_andesite_stairs,1256
acacia_planks,1248
raw_iron,1173
spruce_slab,1170
dried_kelp_block,1168
charcoal,1155
observer,1137
polished_tuff_slab,1074
chiseled_stone_bricks,1063
lantern,1056
sandstone_slab,1046
polished_tuff,1016
white_dye,1010
piston,1008
oak_trapdoor,1008
spruce_trapdoor,972
mud_bricks,936
cookie,918
brick_stairs,914
raw_copper_block,913
bone_block,886
red_dye,865
polished_andesite_slab,850
chain,843
repeater,830
dark_oak_trapdoor,828
jungle_slab,822
spruce_stairs,816
orange_terracotta,813
brick_slab,802
mossy_cobblestone,795
lapis_lazuli,764
lime_stained_glass,720
slime_ball,693
minecart,667
black_dye,661
coarse_dirt,660
jungle_fence_gate,650
andesite,628
cut_sandstone_slab,616
cooked_beef,599
cobblestone_slab,588
smooth_quartz,587
bow,556
black_concrete_powder,536
stone_brick_slab,534
oak_stairs,520
mangrove_planks,508
coal,504
hopper_minecart,497
pumpkin_pie,484
birch_slab,474
copper_block,466
lever,462
honey_block,459
comparator,453
ice,448
bread,446
tuff_brick_slab,444
polished_deepslate_slab,420
brick_wall,408
ladder,405
polished_granite,392
crossbow,388
apple,384
magenta_dye,382
bamboo_slab,378
spruce_wood,376
smooth_sandstone,372
sticky_piston,369
nether_wart,369
light_gray_stained_glass,368
sandstone,361
dark_oak_stairs,352
dripstone_block,348
stone_slab,338
barrel,325
diamond,324
dark_prismarine,321
warped_planks,312
dark_oak_wood,300
string,292
quartz_pillar,288
iron_bars,288
light_gray_carpet,288
bamboo_planks,286
name_tag,281
stone_button,280
light_gray_dye,276
green_terracotta,272
black_stained_glass,272
jungle_fence,267
cherry_planks,264
book,261
polished_basalt,254
gray_dye,250
tuff_bricks,248
green_concrete_powder,248
composter,240
light_gray_terracotta,240
oak_wood,240
deepslate_tile_wall,240
stone,236
oak_sign,222
bucket,222
furnace,218
yellow_dye,213
green_dye,213
smooth_sandstone_stairs,212
shulker_box,209
sugar,204
chiseled_bookshelf,203
birch_stairs,200
spruce_fence,198
raw_gold,198
red_carpet,192
crimson_planks,188
oak_fence,186
cyan_glazed_terracotta,185
soul_campfire,183
warped_trapdoor,180
acacia_wood,180
blue_stained_glass,176
dispenser,171
stone_brick_stairs,168
jungle_stairs,168
yellow_stained_glass,168
stone_brick_wall,168
red_wool,165
cyan_stained_glass,160
dropper,159
decorated_pot,157
sea_lantern,153
blaze_powder,148
birch_wood,148
iron_trapdoor,148
dark_oak_sign,148
hay_block,147
note_block,144
bamboo_block,140
blue_dye,139
glistering_melon_slice,135
dark_prismarine_slab,134
birch_trapdoor,132
armor_stand,129
mangrove_fence,126
item_frame,124
end_stone_bricks,124
crafting_table,121
end_stone_brick_slab,120
target,120
wheat,117
polished_blackstone,116
quartz_stairs,115
slime_block,113
smooth_sandstone_slab,106
mud_brick_slab,104
tuff_brick_stairs,104
lapis_block,100
jack_o_lantern,96
lime_carpet,96
end_rod,92
gray_stained_glass,88
acacia_stairs,88
cooked_mutton,88
honeycomb_block,88
bamboo_mosaic_slab,86
cyan_dye,86
quartz_slab,84
mangrove_slab,84
redstone_lamp,82
detector_rail,78
raw_iron_block,77
bamboo_mosaic,76
flower_pot,75
mud_brick_stairs,72
cobblestone_wall,72
purple_terracotta,72
mossy_cobblestone_slab,72
gold_block,72
jungle_trapdoor,72
gold_nugget,72
lectern,71
stone_pressure_plate,70
oxidized_copper_trapdoor,70
clock,69
andesite_wall,66
andesite_slab,66
chiseled_tuff,64
mangrove_wood,64
dark_prismarine_stairs,64
yellow_glazed_terracotta,64
cobblestone_stairs,64
sandstone_stairs,64
anvil,62
loom,62
black_glazed_terracotta,61
jungle_hanging_sign,60
oak_hanging_sign,60
spruce_sign,60
cauldron,59
pink_dye,58
compass,57
white_wool,56
netherite_scrap,55
baked_potato,52
shield,52
smooth_quartz_slab,50
shears,50
coal_block,49
bell,48
polished_diorite,44
diamond_shovel,43
mossy_stone_bricks,43
ender_eye,37
mangrove_trapdoor,36
iron_axe,34
dried_kelp,33
spruce_fence_gate,32
suspicious_stew,32
glass_pane,32
oak_fence_gate,31
smithing_table,30
smoker,30
campfire,29
yellow_shulker_box,29
oak_button,28
jungle_sign,27
magma_cream,27
stone_shovel,27
gray_carpet,27
brewing_stand,26
lightning_rod,25
diamond_block,25
oxidized_cut_copper,24
smooth_quartz_stairs,24
stonecutter,24
netherite_upgrade_smithing_template,24
polished_blackstone_button,23
chainmail_chestplate,23
popped_chorus_fruit,23
raw_gold_block,22
ender_chest,21
pink_bed,21
gray_wool,20
flint_and_steel,20
diamond_axe,20
mangrove_button,20
spruce_pressure_plate,20
white_bed,19
iron_boots,19
nether_bricks,19
stone_pickaxe,18
writable_book,18
granite_wall,18
iron_leggings,18
birch_fence,18
mud_brick_wall,18
red_stained_glass_pane,16
fletching_table,16
stone_stairs,16
