Stat Name,Value
aviate_one_cm,257291008
fly_one_cm,84839593
sprint_one_cm,55563712
walk_one_cm,51270476
play_time,26899540
total_world_time,26899540
boat_one_cm,9911452
horse_one_cm,8822362
fall_one_cm,6650211
crouch_one_cm,3644616
walk_under_water_one_cm,3592502
climb_one_cm,3320215
walk_on_water_one_cm,3069895
swim_one_cm,1817199
sneak_time,1062491
damage_dealt,790505
mob_kills,440831
jump,261221
time_since_death,232607
damage_taken,231046
time_since_rest,209544
pig_one_cm,91698
strider_one_cm,82305
open_chest,28086
traded_with_villager,23044
damage_blocked_by_shield,20751
open_shulker_box,14028
raid_trigger,12619
drop,11211
talked_to_villager,5236
open_barrel,3716
raid_win,2531
interact_with_crafting_table,1883
interact_with_furnace,1689
inspect_hopper,1423
open_enderchest,1320
leave_game,966
damage_dealt_resisted,661
inspect_dispenser,555
sleep_in_bed,430
damage_resisted,354
animals_bred,344
interact_with_anvil,342
inspect_dropper,276
damage_absorbed,273
interact_with_brewingstand,244
tune_noteblock,221
interact_with_grindstone,186
enchant_item,166
deaths,87
interact_with_blast_furnace,77
interact_with_smoker,62
interact_with_stonecutter,53
interact_with_lectern,36
bell_ring,32
play_noteblock,27
interact_with_smithing_table,27
use_cauldron,24
interact_with_beacon,23
fill_cauldron,20
interact_with_loom,18
fish_caught,8
play_record,3
trigger_trapped_chest,3
target_hit,1
pot_flower,1
