Stat Name,Value
poppy,9503
netherrack,8264
arrow,7811
emerald,4938
wheat_seeds,4778
cobblestone,4021
stone,2837
sand,2560
emerald_block,2430
bone_meal,2280
player_head,2013
stick,1861
bone,1852
ender_pearl,1832
glass_bottle,1656
dirt,1510
redstone,1470
iron_block,1306
moss_block,1117
sugar,1082
spider_eye,1017
brick,976
minecart,952
bow,741
gunpowder,735
white_banner,699
cookie,663
sandstone,647
grass_block,638
crossbow,626
torch,548
moss_carpet,535
sea_pickle,508
granite,497
gold_ingot,482
glass,474
glowstone_dust,471
iron_ingot,466
chiseled_stone_bricks,449
carrot,449
snowball,436
enchanted_book,419
snow_block,403
chorus_fruit,396
gravel,393
dark_oak_log,388
golden_carrot,357
bamboo,351
deepslate,332
rail,328
bread,319
deepslate_bricks,304
cobbled_deepslate,299
totem_of_undying,297
apple,283
rotten_flesh,276
scaffolding,260
potato,255
kelp,229
oak_trapdoor,220
iron_axe,214
blue_ice,211
azalea_leaves,210
nether_gold_ore,210
oak_log,203
diorite,202
jungle_log,194
cut_sandstone,192
soul_soil,189
smooth_basalt,188
warped_fungus,187
smooth_stone,186
oak_planks,185
bone_block,176
diamond,166
pumpkin_pie,162
polished_andesite,160
end_stone,156
raw_gold,142
packed_ice,129
polished_granite,128
mangrove_leaves,122
iron_nugget,118
cooked_beef,117
chain,108
pumpkin_seeds,107
tuff,102
bricks,101
dripstone_block,100
leather,95
sugar_cane,94
potion,93
ladder,93
hopper_minecart,93
nether_wart,92
redstone_block,90
white_wool,88
book,87
mutton,82
string,82
blaze_rod,82
piston,77
smooth_stone_slab,75
oak_leaves,75
flint,74
firework_rocket,73
slime_ball,69
white_stained_glass,68
pointed_dripstone,66
wither_rose,66
beef,64
warped_wart_block,64
prismarine_shard,64
coarse_dirt,64
andesite,59
lapis_lazuli,58
compass,57
ice,57
splash_potion,57
gold_nugget,55
spruce_sapling,55
armor_stand,54
soul_sand,53
spectral_arrow,51
name_tag,50
blackstone,49
chest,49
jungle_fence,48
azalea,48
lantern,44
oak_fence,41
shield,39
orange_terracotta,38
porkchop,37
glow_ink_sac,37
golden_leggings,36
coal,36
spruce_sign,36
composter,36
mud,35
clock,33
oak_sapling,33
wheat,30
diamond_pickaxe,30
polished_basalt,30
black_stained_glass,30
jungle_planks,29
diamond_axe,29
raw_iron,29
brown_mushroom,28
diamond_shovel,28
powered_rail,27
suspicious_stew,26
golden_helmet,26
stone_shovel,25
spruce_planks,25
stone_bricks,25
white_stained_glass_pane,25
dandelion,24
mangrove_button,24
dark_oak_planks,23
golden_boots,23
jungle_leaves,23
soul_torch,23
written_book,23
diamond_block,22
oak_sign,22
brick_slab,22
nether_quartz_ore,22
redstone_torch,21
golden_chestplate,21
pink_wool,21
dark_oak_slab,20
cocoa_beans,20
birch_slab,20
spruce_leaves,20
bucket,20
leather_boots,19
smithing_table,19
leather_leggings,18
oxidized_copper,18
cooked_porkchop,17
leather_chestplate,17
brick_stairs,17
crying_obsidian,17
diamond_sword,16
soul_lantern,16
magma_cream,16
feather,16
stone_pickaxe,16
spruce_trapdoor,15
barrel,15
cut_sandstone_slab,15
chicken,15
quartz,15
iron_bars,14
hopper,14
charcoal,14
iron_sword,13
stone_brick_stairs,13
pumpkin,13
flint_and_steel,13
jungle_sapling,13
stone_axe,12
clay_ball,12
terracotta,12
pink_glazed_terracotta,12
shulker_box,12
light_blue_terracotta,12
magenta_terracotta,12
clay,12
leather_helmet,12
deepslate_diamond_ore,12
bell,12
observer,12
shears,11
iron_boots,11
beetroot_seeds,11
egg,11
birch_leaves,11
iron_shovel,11
crimson_fungus,11
basalt,11
cooked_chicken,10
lapis_ore,10
baked_potato,10
diamond_hoe,9
yellow_wool,9
obsidian,8
peony,8
mushroom_stem,8
mud_brick_wall,8
copper_ore,8
elytra,8
iron_pickaxe,8
gray_stained_glass,8
snow,8
warped_roots,7
lever,7
coal_ore,7
sticky_piston,7
purpur_block,7
fire_charge,7
short_grass,7
iron_helmet,7
cobblestone_slab,7
glowstone,7
spruce_pressure_plate,7
mossy_cobblestone,7
iron_leggings,7
ender_chest,7
red_mushroom,6
goat_horn,6
oak_stairs,6
red_sand,6
dark_oak_sapling,6
repeater,6
mud_bricks,6
bowl,6
birch_log,6
water_bucket,6
calcite,6
weeping_vines,5
dark_oak_leaves,5
ink_sac,5
white_terracotta,5
spruce_boat,5
ochre_froglight,5
dropper,5
light_gray_stained_glass,5
tripwire_hook,5
melon,5
nether_brick,5
lime_dye,5
purpur_pillar,5
birch_boat,5
lead,5
diamond_boots,5
ancient_debris,4
black_dye,4
smooth_sandstone_slab,4
bamboo_slab,4
jungle_sign,4
stone_brick_wall,4
end_stone_bricks,4
rose_bush,4
diamond_helmet,4
furnace,4
crimson_nylium,4
chainmail_boots,4
oak_slab,4
iron_chestplate,4
warped_fungus_on_a_stick,3
birch_fence,3
fishing_rod,3
azure_bluet,3
prismarine_crystals,3
deepslate_tile_slab,3
cherry_planks,3
magma_block,3
honeycomb,3
cobblestone_stairs,3
cooked_mutton,3
activator_rail,3
stonecutter,3
light_gray_terracotta,3
birch_sapling,3
tnt,3
chainmail_helmet,3
redstone_ore,3
stone_sword,3
dark_oak_sign,3
oxidized_copper_trapdoor,3
birch_planks,3
crimson_roots,3
white_tulip,3
chainmail_chestplate,3
shulker_shell,3
diamond_leggings,3
brewing_stand,3
raw_copper,3
wither_skeleton_skull,3
purple_shulker_box,3
netherite_boots,2
lava_bucket,2
deepslate_lapis_ore,2
cod,2
cauldron,2
lilac,2
nether_wart_block,2
dark_prismarine_stairs,2
fletching_table,2
dark_oak_button,2
item_frame,2
oak_door,2
flowering_azalea_leaves,2
netherite_pickaxe,2
cobbled_deepslate_stairs,2
pufferfish_bucket,2
shroomlight,2
red_tulip,2
warped_stem,2
copper_ingot,2
mud_brick_slab,1
stripped_dark_oak_log,1
nether_brick_fence,1
quartz_block,1
deepslate_redstone_ore,1
diamond_horse_armor,1
gray_wool,1
chainmail_leggings,1
green_bed,1
white_shulker_box,1
blast_furnace,1
magenta_stained_glass,1
ward_armor_trim_smithing_template,1
spruce_stairs,1
polished_deepslate,1
sweet_berries,1
comparator,1
wooden_pickaxe,1
orange_tulip,1
purpur_stairs,1
saddle,1
phantom_membrane,1
polished_andesite_slab,1
netherite_shovel,1
jungle_trapdoor,1
spruce_slab,1
white_dye,1
ghast_tear,1
golden_horse_armor,1
oak_hanging_sign,1
yellow_terracotta,1
sculk,1
rabbit,1
paper,1
bamboo_planks,1
pink_tulip,1
slime_block,1
stone_slab,1
allium,1
yellow_bed,1
light_gray_dye,1
sandstone_slab,1
dispenser,1
furnace_minecart,1
mangrove_roots,1
rabbit_hide,1
music_disc_cat,1
warped_nylium,1
iron_hoe,1
light_gray_wool,1
red_terracotta,1
diamond_chestplate,1
golden_sword,1
stripped_warped_stem,1
beacon,1
