Stat Name,Value
pillager,216981
vindicator,142449
witch,40145
evoker,30229
skeleton,4321
enderman,3776
zombie,462
blaze,407
cow,332
sheep,322
spider,206
magma_cube,160
pig,134
shulker,123
creeper,116
cave_spider,61
slime,53
wither_skeleton,46
piglin,42
squid,36
zombie_villager,33
bat,32
vex,19
villager,19
ghast,18
chicken,17
bee,12
zombified_piglin,11
rabbit,9
drowned,8
husk,7
silverfish,7
pufferfish,7
endermite,5
phantom,5
iron_golem,4
trader_llama,4
elder_guardian,3
frog,3
glow_squid,3
wandering_trader,3
salmon,2
hoglin,2
guardian,1
ender_dragon,1
wither,1
piglin_brute,1
cat,1
