Stat Name,Value
grass_block,42171
stone,37707
deepslate,28380
moss_block,26516
netherrack,17926
dirt,13903
jungle_log,7595
sand,6942
sandstone,6543
oak_leaves,5164
oak_log,5088
packed_ice,4884
tuff,3936
mud,3796
soul_sand,3476
spruce_log,3429
short_grass,3204
ice,3009
dark_oak_log,2756
andesite,2745
bricks,2737
end_stone,2564
dripstone_block,2550
terracotta,2510
gravel,2449
granite,2437
wheat,2349
red_terracotta,1982
birch_log,1949
brown_mushroom_block,1934
diorite,1735
orange_terracotta,1710
calcite,1667
copper_ore,1656
cobblestone,1607
azalea_leaves,1556
sugar_cane,1517
coal_ore,1413
magma_block,1356
snow,1317
bamboo,1309
deepslate_tile_slab,1131
rail,1131
sculk,1077
fire,1031
obsidian,994
lectern,989
soul_soil,972
deepslate_redstone_ore,940
warped_wart_block,931
shulker_box,925
bookshelf,924
podzol,888
cherry_leaves,882
vine,881
jungle_leaves,846
kelp,768
nether_quartz_ore,757
stone_bricks,733
moss_carpet,731
tall_grass,730
acacia_leaves,708
blue_ice,693
scaffolding,664
carrots,646
mangrove_leaves,628
polished_andesite_slab,608
birch_leaves,604
spruce_leaves,602
acacia_log,586
white_terracotta,577
nether_gold_ore,545
flowering_azalea_leaves,527
cobbled_deepslate,517
smooth_basalt,479
oxidized_copper,449
stone_slab,434
iron_ore,415
azalea,414
chest,408
dirt_path,401
nether_bricks,400
deepslate_bricks,386
basalt,385
smooth_stone_slab,366
polished_andesite,360
deepslate_iron_ore,359
amethyst_block,354
blackstone,343
torch,341
deepslate_gold_ore,341
deepslate_diamond_ore,339
pointed_dripstone,323
black_concrete,323
gold_ore,322
mangrove_roots,320
polished_deepslate_slab,315
warped_stem,310
hopper,297
iron_block,296
redstone_block,276
farmland,275
fern,274
glass,269
stripped_birch_log,262
smooth_stone,254
dark_oak_leaves,242
redstone_wire,222
mushroom_stem,216
cut_sandstone,215
light_gray_stained_glass,213
deepslate_copper_ore,196
spruce_trapdoor,193
flowering_azalea,182
pumpkin,180
potatoes,177
carved_pumpkin,173
warped_nylium,172
nether_wart_block,161
white_stained_glass,158
crimson_stem,154
powered_rail,143
dandelion,140
mud_bricks,139
yellow_shulker_box,135
purpur_block,133
red_mushroom_block,130
coarse_dirt,129
wall_torch,128
slime_block,128
rooted_dirt,128
oak_planks,126
polished_deepslate,123
pink_petals,121
observer,117
stripped_oak_log,115
stone_brick_slab,110
packed_mud,108
light_gray_terracotta,106
smooth_sandstone,106
composter,105
seagrass,102
white_stained_glass_pane,101
polished_andesite_stairs,101
sculk_sensor,101
shroomlight,99
cobweb,97
lapis_ore,95
brick_slab,94
clay,93
brick_stairs,93
sea_pickle,91
smooth_sandstone_slab,91
dark_oak_planks,89
sticky_piston,86
deepslate_lapis_ore,85
oak_stairs,85
kelp_plant,84
ender_chest,82
oak_slab,80
spruce_slab,78
dark_prismarine_slab,77
orange_tulip,77
snow_block,75
white_bed,74
stone_stairs,74
mossy_cobblestone,73
chorus_plant,73
piston,72
spruce_wood,71
mangrove_fence,71
light_gray_shulker_box,70
furnace,69
jungle_planks,67
cornflower,66
cherry_log,66
crafting_table,66
dark_oak_slab,65
stripped_spruce_log,63
mangrove_log,62
barrel,61
cyan_glazed_terracotta,60
dark_prismarine,59
brick_wall,59
brown_mushroom,58
stone_brick_stairs,57
ancient_debris,55
nether_brick_fence,55
end_rod,55
melon,53
end_stone_bricks,53
repeater,52
birch_planks,52
glowstone,52
fletching_table,51
oak_trapdoor,50
crimson_nylium,48
spruce_fence,48
warped_fungus,48
dark_prismarine_stairs,46
spruce_planks,45
bamboo_slab,44
redstone_wall_torch,44
dark_oak_trapdoor,43
birch_stairs,42
peony,42
chiseled_bookshelf,41
brown_terracotta,39
lime_stained_glass_pane,39
stripped_jungle_log,39
redstone_torch,39
birch_slab,38
allium,38
emerald_block,38
nether_brick_stairs,37
honey_block,37
jungle_slab,37
oak_wall_sign,36
polished_tuff_slab,36
spruce_stairs,36
sandstone_slab,35
cobblestone_slab,35
purpur_pillar,35
jungle_stairs,35
iron_bars,34
lantern,34
tall_seagrass,33
comparator,33
poppy,33
dead_bush,32
chiseled_stone_bricks,32
smooth_sandstone_stairs,32
redstone_ore,30
red_tulip,30
black_carpet,30
white_wool,29
bee_nest,28
rose_bush,28
tuff_brick_slab,27
lever,27
quartz_block,26
oak_fence,25
horn_coral_block,25
red_mushroom,24
warped_roots,23
oak_sign,23
acacia_planks,23
bamboo_block,22
smooth_quartz_slab,22
deepslate_tiles,22
mangrove_wood,22
light_blue_terracotta,22
dispenser,22
stripped_dark_oak_log,22
jungle_fence,22
polished_tuff,22
green_bed,22
chiseled_sandstone,22
nether_wart,21
cobblestone_wall,21
brewing_stand,20
gray_shulker_box,20
cracked_polished_blackstone_bricks,19
red_sand,18
sculk_shrieker,18
red_bed,18
soul_fire,18
lilac,18
jack_o_lantern,18
chiseled_tuff,18
azure_bluet,18
dark_oak_stairs,18
ochre_froglight,17
stone_brick_wall,17
bamboo_sapling,17
green_shulker_box,17
verdant_froglight,16
purpur_stairs,16
ladder,16
stonecutter,16
cobblestone_stairs,16
mangrove_propagule,16
cut_sandstone_slab,15
tripwire,15
beacon,15
tnt,15
polished_basalt,15
crimson_fungus,15
player_wall_head,15
lily_pad,15
tinted_glass,14
sunflower,14
purpur_slab,14
pink_shulker_box,14
spruce_fence_gate,14
stripped_acacia_log,14
campfire,13
black_stained_glass,13
budding_amethyst,13
tube_coral_block,13
pumpkin_stem,13
black_stained_glass_pane,13
twisting_vines_plant,13
oak_hanging_sign,12
dropper,12
sculk_vein,12
red_shulker_box,11
horn_coral,11
crying_obsidian,11
glow_lichen,11
anvil,11
spruce_sapling,11
yellow_bed,11
twisting_vines,10
dark_oak_wood,10
chain,10
fire_coral_block,10
cauldron,10
quartz_stairs,10
lime_carpet,10
prismarine_bricks,10
yellow_concrete,10
bubble_coral_block,10
oxidized_cut_copper_stairs,10
blast_furnace,10
loom,10
acacia_wood,10
fire_coral_wall_fan,9
polished_blackstone_bricks,9
jungle_trapdoor,9
bamboo_mosaic_slab,9
weeping_vines_plant,9
birch_wall_sign,9
iron_door,9
dragon_wall_head,8
green_concrete,8
dark_oak_sapling,8
lily_of_the_valley,8
stone_pressure_plate,8
sculk_catalyst,8
magenta_wall_banner,8
stone_button,8
red_concrete,8
blue_concrete,8
grindstone,8
note_block,7
attached_pumpkin_stem,7
pink_stained_glass,7
big_dripleaf,7
light_blue_shulker_box,7
oak_sapling,6
dead_horn_coral,6
gilded_blackstone,6
wet_sponge,6
mossy_stone_bricks,6
stripped_dark_oak_wood,6
piston_head,6
yellow_stained_glass,6
sponge,6
tuff_bricks,6
mangrove_button,6
redstone_lamp,6
oxidized_copper_trapdoor,6
white_tulip,6
pink_bed,5
glass_pane,5
dark_oak_button,5
detector_rail,5
jungle_fence_gate,5
black_concrete_powder,5
copper_block,5
infested_stone,5
large_amethyst_bud,5
birch_trapdoor,5
acacia_stairs,5
chorus_flower,4
spruce_pressure_plate,4
player_head,4
bamboo_planks,4
mud_brick_slab,4
dark_oak_wall_sign,4
iron_trapdoor,4
nether_sprouts,4
magenta_stained_glass,4
polished_granite,4
deepslate_coal_ore,4
mangrove_planks,4
cocoa,4
quartz_slab,4
amethyst_cluster,4
bamboo_mosaic,4
damaged_anvil,4
cobbled_deepslate_slab,4
cherry_planks,4
sandstone_stairs,4
raw_iron_block,4
prismarine,4
oak_door,4
andesite_slab,4
light_gray_bed,3
spruce_wall_sign,3
cyan_stained_glass,3
sea_lantern,3
brain_coral_wall_fan,3
bone_block,3
birch_sign,3
polished_blackstone,3
mossy_cobblestone_slab,3
polished_blackstone_wall,3
end_stone_brick_slab,3
oxidized_copper_bulb,3
bubble_coral,3
muddy_mangrove_roots,3
flower_pot,3
purple_shulker_box,3
stripped_warped_stem,3
cave_vines,3
crimson_roots,3
horn_coral_wall_fan,3
smooth_quartz_stairs,3
smithing_table,3
white_carpet,3
cobbled_deepslate_stairs,3
target,3
tripwire_hook,3
andesite_wall,3
gray_wool,3
cactus,3
bubble_coral_wall_fan,3
gray_carpet,3
deepslate_tile_wall,2
oak_wall_hanging_sign,2
pink_tulip,2
white_banner,2
jukebox,2
acacia_button,2
light_blue_bed,2
oak_button,2
mangrove_door,2
bubble_coral_fan,2
medium_amethyst_bud,2
decorated_pot,2
gold_block,2
cracked_stone_bricks,2
horn_coral_fan,2
chiseled_tuff_bricks,2
mud_brick_stairs,2
birch_door,2
oak_fence_gate,2
blue_shulker_box,2
crafter,2
polished_blackstone_button,2
brain_coral,2
light_gray_carpet,2
mangrove_stairs,2
cobbled_deepslate_wall,2
emerald_ore,2
dried_kelp_block,2
polished_deepslate_stairs,2
mangrove_fence_gate,2
acacia_sapling,2
diorite_wall,2
stripped_cherry_log,2
weeping_vines,2
oxidized_cut_copper,2
spruce_door,2
oak_wood,2
jungle_button,1
birch_sapling,1
light_blue_wool,1
cherry_sapling,1
green_terracotta,1
big_dripleaf_stem,1
lightning_rod,1
trapped_chest,1
stripped_spruce_wood,1
polished_diorite,1
jungle_door,1
jungle_wall_hanging_sign,1
tube_coral_wall_fan,1
soul_campfire,1
bamboo_pressure_plate,1
polished_blackstone_brick_stairs,1
polished_blackstone_slab,1
white_wall_banner,1
jungle_wall_sign,1
coal_block,1
lime_stained_glass,1
oxeye_daisy,1
stripped_bamboo_block,1
blue_stained_glass,1
green_concrete_powder,1
spruce_sign,1
yellow_terracotta,1
blue_stained_glass_pane,1
jungle_sapling,1
warped_trapdoor,1
cracked_deepslate_bricks,1
pearlescent_froglight,1
black_shulker_box,1
granite_wall,1
tube_coral,1
blackstone_wall,1
lime_bed,1
sweet_berry_bush,1
birch_fence,1
